TICKER,Nome da Empresa,Data da Análise,Preço de Fechamento,data,ano,PL,QNT,EBIT,AT,VM
ABEV3,AMBEV S/A,29/12/2022,14.52,2022-12-29,2022,833.27827,157.50217,176.87946,1379.58083,2286.9315084
ALPA4,ALPARGATAS,29/12/2022,15.08,2022-12-29,2022,57.59758,6.8306222199999995,3.86977,84.9968,103.0057830776
AMER3,AMERICANAS,29/12/2022,9.65,2022-12-29,2022,147.05555,9.09774507,11.65519,470.84128,87.7932399255
ARZZ3,AREZZO CO,29/12/2022,78.25,2022-12-29,2022,26.54593,1.10186077,5.50129,46.59264,86.22060525250001
ASAI3,ASSAI,29/12/2022,19.47,2022-12-29,2022,38.96,13.49165,28.06,406.18,262.68242549999997
AZUL4,AZUL,29/12/2022,11.01,2022-12-29,2022,-190.075,12.64588466,14.29555,187.21293,139.2311901066
B3SA3,B3,29/12/2022,13.21,2022-12-29,2022,202.83143,60.99,55.72314,475.94773,805.6779
BBAS3,BRASIL,29/12/2022,34.73,2022-12-29,2022,1630.77123,28.6541702,331.90566,20077.27977,995.1593310459999
BBDC3,BRADESCO,29/12/2022,13.47,2022-12-29,2022,1587.41264,106.58488,228.54023,17996.15675,1435.6983336
BBDC4,BRADESCO,29/12/2022,15.15,2022-12-29,2022,1587.41264,106.58488,228.54023,17996.15675,1614.760932
BBSE3,BBSEGURIDADE,29/12/2022,33.71,2022-12-29,2022,75.96101,20.0,36.81904,161.29832,674.2
BEEF3,MINERVA,29/12/2022,12.96,2022-12-29,2022,10.62495,6.07283407,24.23235,214.00128,78.7039295472
BPAC11,BTGP BANCO,29/12/2022,23.94,2022-12-29,2022,423.71767,115.06119928,62.46618,3695.8819,2754.5651107632
BPAN4,BANCO PAN,29/12/2022,6.07,2022-12-29,2022,71.24093,12.73179684,8.04261,556.26605,77.2820068188
BRAP4,BRADESPAR,29/12/2022,29.72,2022-12-29,2022,74.77001,3.93097,-0.51947,80.62022,116.82842839999999
BRFS3,BRF SA,29/12/2022,8.28,2022-12-29,2022,118.22869,10.824732460000002,-1.37365,578.54447,89.6287847688
BRML3,BR MALLS PAR,29/12/2022,8.3,2022-12-29,2022,112.65549,8.28274,8.75741,181.42137,68.74674200000001
CASH3,MELIUZ,29/12/2022,1.18,2022-12-29,2022,7.99198,8.64931939,-1.41501,13.57951,10.2061968802
CCRO3,CCR SA,29/12/2022,10.82,2022-12-29,2022,118.2275,20.2,98.58064,505.473,218.564
CIEL3,CIELO,29/12/2022,5.24,2022-12-29,2022,138.16772,27.168150609999998,26.84986,1097.84818,142.3611091964
CMIG4,CEMIG,29/12/2022,11.14,2022-12-29,2022,217.83266,22.01371,48.44634,536.70837,245.2327294
CMIN3,CSN MINERACA,29/12/2022,4.08,2022-12-29,2022,113.93427,54.853388380000005,46.36009,250.53595,223.80182459040003
COGN3,COGNA ON,29/12/2022,2.12,2022-12-29,2022,132.41388,18.766062100000003,3.05191,263.96751,39.78405165200001
