data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"0,15132777541",nd,130,"0,1513277740","0,1513277740","0,1513277740","0,1513277740","0,0169","2,00",1000,PN *,nd,nd
03/01/2001,"0,160640253896","6,1538461533",138,"0,1513277740","0,1513277740","0,1519912880","0,1606402524","0,03656","2,00",1000,PN *,nd,nd
04/01/2001,"0,168788672572","5,0724637681",145,"0,1687886710","0,1687886710","0,1687886710","0,1687886710","0,0029","1,00",1000,PN *,nd,nd
05/01/2001,"0,168788672572","0,0000000000",145,"0,1687886710","0,1687886710","0,1687886710","0,1687886710","0,00145","1,00",1000,PN *,nd,nd
08/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
09/01/2001,"0,168788672572","0,0000000000",145,"0,1664605514","0,1664605514","0,1685558590","0,1688003115","0,06806","8,00",1000,PN *,nd,nd
10/01/2001,"0,173444911816","2,7586206900",149,"0,1734449102","0,1734449102","0,1734449102","0,1734449102","0,00596","1,00",1000,PN *,nd,nd
11/01/2001,"0,172280852005","-0,6711409396",148,"0,1722808504","0,1722808504","0,1722808504","0,1722808504","0,00444","2,00",1000,PN *,nd,nd
12/01/2001,"0,172280852005","0,0000000000",148,"0,1722808504","0,1722808504","0,1722808504","0,1722808504","0,01628","4,00",1000,PN *,nd,nd
15/01/2001,"0,174608971627","1,3513513515",150,"0,1746089700","0,1734449102","0,1745274858","0,1746089700","0,02399","4,00",1000,PN *,nd,nd
16/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
17/01/2001,"0,180429270681","3,3333333331",155,"0,1804292690","0,1804292690","0,1804292690","0,1804292690","0,00155","1,00",1000,PN *,nd,nd
18/01/2001,"0,186249569735","3,2258064514",160,"0,1862495680","0,1862495680","0,1862495680","0,1862495680","0,0032","2,00",1000,PN *,nd,nd
19/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
22/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
23/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
24/01/2001,"0,197890167843","6,2499999997",170,"0,1920698670","0,1920698670","0,1949800165","0,1978901660","0,1005","6,00",1000,PN *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
29/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
30/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
31/01/2001,"0,200218287465","1,1764705883",172,"0,2002182856","0,2002182856","0,2002182856","0,2002182856","0,00172","1,00",1000,PN *,nd,nd
01/02/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
02/02/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
05/02/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
