data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"6,22771539739",nd,478,"6,1234858040","6,1234858040","6,3133138639","6,3840596680","4,0123","98,00",1000,PN *EJ,nd,nd
03/01/2001,"6,18875960442","-0,6255230126","475,01","6,2277153496","6,1645261875","6,2344902700","6,3840596680","11,55584","218,00",1000,PN *EJ,nd,nd
04/01/2001,"6,12348585099","-1,0547146375",470,"6,2407440428","6,0974284176","6,1692165171","6,3839293810","6,75227","143,00",1000,PN *EJ,nd,nd
05/01/2001,"5,96714153139","-2,5531914893",458,"6,1886292700","5,8630422269","5,9874662469","6,2277153496","5,79513","168,00",1000,PN *EJ,nd,nd
08/01/2001,"5,99319891799","0,4366812227",460,"6,0583423380","5,9671414856","6,0530005737","6,0974284176","4,07917","78,00",1000,PN *,nd,nd
09/01/2001,"6,09091411774","1,6304347826","467,5","6,2145563694","5,9931988720","6,1229646562","6,2145563694","10,73879","235,00",1000,PN *,nd,nd
10/01/2001,"6,18862931749","1,6042780748",475,"6,1234858040","6,0583423380","6,1095451022","6,1886292700","13,46767","112,00",1000,PN *,nd,nd
11/01/2001,"6,12335556406","-1,0547368420","469,99","6,1884989830","5,9931988720","6,1108479715","6,1886292700","6,42105","115,00",1000,PN *,nd,nd
12/01/2001,"6,09742846439","-0,4234132641",468,"6,1247886733","5,9997132186","6,0713710312","6,1247886733","4,72533","119,00",1000,PN *,nd,nd
15/01/2001,"6,09091411774","-0,1068376068","467,5","6,1234858040","6,0195168322","6,0613389374","6,1234858040","1,48875","50,00",1000,PN *,nd,nd
16/01/2001,"6,14954323759","0,9625668449",472,"6,0974284176","6,0387992982","6,0872660369","6,1495431904","2,95288","78,00",1000,PN *,nd,nd
17/01/2001,"6,30588755719","2,5423728813",484,"6,1495431904","6,1495431904","6,2321451052","6,3840596680","5,26657","131,00",1000,PN *,nd,nd
18/01/2001,"6,56646142319","4,1322314049",504,"6,3449735884","6,3319448952","6,4656192874","6,5793597790","8,61524","157,00",1000,PN *,nd,nd
19/01/2001,"6,67069096959","1,5873015873",512,"6,5927793330","6,5534326796","6,6385100461","6,6967483048","7,47992","113,00",1000,PN *,nd,nd
