data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"0,518255627944",nd,"6,33","0,4797753516","0,4797753516","0,5190743565","0,5305365663","0,36776","106,00",1000,ON *,nd,nd
03/01/2001,"0,555917174366","7,2669826223","6,79","0,5141619809","0,5117057931","0,5313552955","0,5632857370","0,91034","155,00",1000,ON *,nd,nd
04/01/2001,"0,545273693855","-1,9145802651","6,66","0,5403613175","0,5362676711","0,5600108199","0,5731104883","0,38856","98,00",1000,ON *,nd,nd
05/01/2001,"0,549367340206","0,7507507508","6,71","0,5485486109","0,5444549645","0,5510047987","0,5690168426","0,55672","82,00",1000,ON *,nd,nd
08/01/2001,"0,581297781738","5,8122205663","7,1","0,5485486109","0,5248054620","0,5698355719","0,5878476158","0,60801","93,00",1000,ON *,nd,nd
09/01/2001,"0,61814059889","6,3380281689","7,55","0,5853914273","0,5853914273","0,6115907639","0,6328777249","0,86163","158,00",1000,ON *,nd,nd
10/01/2001,"0,646796123342","4,6357615894","7,9","0,6336964549","0,6132282232","0,6418837476","0,6713580014","2,58915","220,00",1000,ON *,nd,nd
11/01/2001,"0,631240267211","-2,4050632911","7,71","0,6549834160","0,6222342452","0,6443399354","0,6672643550","0,43611","93,00",1000,ON *,nd,nd
12/01/2001,"0,638608830641","1,1673151750","7,8","0,6427024769","0,6140469525","0,6246904330","0,6427024769","0,35572","45,00",1000,ON *,nd,nd
15/01/2001,"0,662351979473","3,7179487180","8,09","0,6189593273","0,6189593273","0,6517084981","0,6631707078","0,39353","87,00",1000,ON *,nd,nd
16/01/2001,"0,659077062393","-0,4944375772","8,05","0,6623519786","0,6582583322","0,6705392713","0,6811827518","1,76701","164,00",1000,ON *,nd,nd
17/01/2001,"0,663170708743","0,6211180123","8,1","0,6590770623","0,6566208745","0,6623519794","0,6697205428","0,93982","141,00",1000,ON *,nd,nd
