data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"0,947631202906",nd,"1,17","0,9719294388","0,9314323788","0,9476312028","0,9881282627","6,78647","282,00",1000,PN *,nd,nd
03/01/2001,"1,00432708684","5,9829059828","1,24","0,9719294388","0,9476312028","0,9719294388","1,0124264987","13,58285","479,00",1000,PN *,nd,nd
04/01/2001,"0,98812826286","-1,6129032256","1,22","0,9800288507","0,9800288507","0,9881282627","1,0124264987","11,12765","356,00",1000,PN *,nd,nd
05/01/2001,"0,980028850869","-0,8196721311","1,21","0,9962276747","0,9719294388","0,9800288507","0,9962276747","4,07123","242,00",1000,PN *,nd,nd
08/01/2001,"0,963830026888","-1,6528925619","1,19","0,9962276746","0,9638300266","0,9719294386","0,9962276746","2,80288","201,00",1000,PN *,nd,nd
09/01/2001,"0,98812826286","2,5210084033","1,22","0,9638300268","0,9638300268","0,9800288507","1,0043270867","7,18589","396,00",1000,PN *,nd,nd
10/01/2001,"0,980028850869","-0,8196721311","1,21","0,9881282627","0,9638300268","0,9719294388","0,9881282627","6,77427","344,00",1000,PN *,nd,nd
11/01/2001,"0,963830026888","-1,6528925619","1,19","0,9881282626","0,9638300266","0,9719294386","0,9881282626","3,14662","256,00",1000,PN *,nd,nd
12/01/2001,"0,931432378925","-3,3613445378","1,15","0,9719294388","0,9314323788","0,9557306148","0,9881282627","5,25815","441,00",1000,PN *,nd,nd
15/01/2001,"0,939531790916","0,8695652174","1,16","0,9395317908","0,9314323788","0,9395317908","0,9476312028","2,2909","274,00",1000,PN *,nd,nd
16/01/2001,"0,931432378925","-0,8620689655","1,15","0,9476312028","0,9314323788","0,9395317908","0,9476312028","3,23262","274,00",1000,PN *,nd,nd
17/01/2001,"0,99622767485","6,9565217391","1,23","0,9395317908","0,9395317908","0,9638300268","0,9962276747","5,72943","442,00",1000,PN *,nd,nd
18/01/2001,"1,01242649883","1,6260162600","1,25","0,9881282627","0,9800288507","0,9962276747","1,0205259107","6,24614","457,00",1000,PN *,nd,nd
19/01/2001,"0,99622767485","-1,5999999998","1,23","1,0124264987","0,9962276747","1,0043270867","1,0286253227","5,33974","295,00",1000,PN *,nd,nd
22/01/2001,"0,98812826286","-0,8130081300","1,22","1,0043270867","0,9800288507","0,9881282627","1,0043270867","1,90791","210,00",1000,PN *,nd,nd
23/01/2001,"1,02052591082","3,2786885243","1,26","0,9962276747","0,9881282627","1,0043270867","1,0205259107","3,57299","273,00",1000,PN *,nd,nd
24/01/2001,"0,99622767485","-2,3809523807","1,23","1,0205259107","0,9800288507","0,9962276747","1,0286253227","2,03884","193,00",1000,PN *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"1,02052591082","2,4390243900","1,26","0,9881282627","0,9800288507","1,0043270867","1,0205259107","2,43699","192,00",1000,PN *,nd,nd
29/01/2001,"0,99622767485","-2,3809523807","1,23","0,9881282627","0,9881282627","0,9962276747","1,0205259107","1,47789","145,00",1000,PN *,nd,nd
30/01/2001,"0,99622767485","0,0000000000","1,23","0,9962276747","0,9881282627","0,9881282627","1,0043270867","2,28389","145,00",1000,PN *,nd,nd
31/01/2001,"0,971929438878","-2,4390243902","1,2","0,9962276747","0,9719294388","0,9800288507","0,9962276747","3,81179","232,00",1000,PN *,nd,nd
01/02/2001,"0,955730614897","-1,6666666666","1,18","0,9719294386","0,9395317907","0,9557306147","0,9881282626","5,2157","430,00",1000,PN *,nd,nd
02/02/2001,"0,963830026888","0,8474576271","1,19","0,9557306147","0,9395317907","0,9476312027","0,9638300266","1,6188","203,00",1000,PN *,nd,nd
05/02/2001,"0,963830026888","0,0000000000","1,19","0,9638300266","0,9395317907","0,9476312027","0,9638300266","1,27367","137,00",1000,PN *,nd,nd
06/02/2001,"0,963830026888","0,0000000000","1,19","0,9638300266","0,9557306147","0,9557306147","0,9719294386","1,44914","140,00",1000,PN *,nd,nd
07/02/2001,"0,939531790916","-2,5210084033","1,16","0,9638300268","0,9314323788","0,9395317908","0,9638300268","4,86084","213,00",1000,PN *,nd,nd
