data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
03/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
04/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
05/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
08/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
09/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
10/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
11/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
12/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
15/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
16/01/2001,"1,70903184666",nd,15,"1,7090318460","1,7090318460","1,7090318460","1,7090318460","0,003","2,00",1,ON,nd,nd
17/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
18/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
19/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
22/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
23/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
24/01/2001,"1,71131055579","0,1333333333","15,02","1,7113105551","1,7113105551","1,7113105551","1,7113105551","0,27937","3,00",1,ON,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
29/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
30/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
31/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
01/02/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
