data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"0,235",nd,235,"0,2350000000","0,2350000000","0,2350000000","0,2350000000","0,1081","5,00",1000,PN *,nd,nd
03/01/2001,"0,24","2,1276595744",240,"0,2350000000","0,2350000000","0,2370300000","0,2600000000","0,07585","10,00",1000,PN *,nd,nd
04/01/2001,"0,26","8,3333333333",260,"0,2500000000","0,2500000000","0,2610400000","0,2650000000","0,80924","29,00",1000,PN *,nd,nd
05/01/2001,"0,26","0,0000000000",260,"0,2650000000","0,2600000000","0,2648700000","0,2650000000","0,3152","8,00",1000,PN *,nd,nd
08/01/2001,"0,264","1,5384615384",264,"0,2600000000","0,2600000000","0,2626600000","0,2640000000","0,2364","10,00",1000,PN *,nd,nd
09/01/2001,"0,27","2,2727272727",270,"0,2700000000","0,2700000000","0,2700000000","0,2700000000","0,2754","16,00",1000,PN *,nd,nd
10/01/2001,"0,27","0,0000000000",270,"0,2610000000","0,2610000000","0,2664500000","0,2720000000","0,54091","13,00",1000,PN *,nd,nd
11/01/2001,"0,27","0,0000000000",270,"0,2700000000","0,2700000000","0,2700700000","0,2750000000","3,3841","25,00",1000,PN *,nd,nd
12/01/2001,"0,289","7,0370370370",289,"0,2750000000","0,2750000000","0,2817800000","0,2900000000","3,21516","55,00",1000,PN *,nd,nd
15/01/2001,"0,298","3,1141868512",298,"0,2840000000","0,2840000000","0,2971000000","0,3120000000","1,3132","39,00",1000,PN *,nd,nd
16/01/2001,"0,294","-1,3422818791",294,"0,2950000000","0,2900000000","0,2928000000","0,2950000000","0,60024","30,00",1000,PN *,nd,nd
17/01/2001,"0,31","5,4421768707",310,"0,3230000000","0,2990000000","0,3075200000","0,3230000000","4,2654","84,00",1000,PN *,nd,nd
18/01/2001,"0,312","0,6451612903",312,"0,3150000000","0,3120000000","0,3180700000","0,3220000000","10,41046","137,00",1000,PN *,nd,nd
19/01/2001,"0,3145","0,8012820512","314,5","0,3200000000","0,3145000000","0,3153500000","0,3200000000","1,23933","23,00",1000,PN *,nd,nd
22/01/2001,"0,301","-4,2925278219",301,"0,3199900000","0,2981100000","0,3027200000","0,3199900000","1,36225","27,00",1000,PN *,nd,nd
23/01/2001,"0,306","1,6611295681",306,"0,2970000000","0,2970000000","0,3051400000","0,3099900000","7,92154","93,00",1000,PN *,nd,nd
24/01/2001,"0,309","0,9803921568",309,"0,3060000000","0,2900000000","0,3044200000","0,3090000000","1,77174","37,00",1000,PN *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"0,3","-2,9126213592",300,"0,3050000000","0,2990000000","0,3000000000","0,3050000000","2,69702","40,00",1000,PN *,nd,nd
29/01/2001,"0,297","-1,0000000000",297,"0,3000000000","0,2970000000","0,2992400000","0,3000000000","2,17854","21,00",1000,PN *,nd,nd
30/01/2001,"0,3","1,0101010101",300,"0,3118000000","0,2960000000","0,3002200000","0,3118000000","0,72654","23,00",1000,PN *,nd,nd
31/01/2001,"0,297","-1,0000000000",297,"0,2999900000","0,2970000000","0,3009300000","0,3030000000","5,48902","52,00",1000,PN *,nd,nd
01/02/2001,"0,306","3,0303030303",306,"0,3049900000","0,3049900000","0,3061500000","0,3085000000","4,40865","49,00",1000,PN *,nd,nd
02/02/2001,"0,31299","2,2843137254","312,99","0,3060000000","0,3060000000","0,3177700000","0,3280000000","33,13048","331,00",1000,PN *,nd,nd
05/02/2001,"0,319","1,9201891434",319,"0,3150000000","0,3150000000","0,3259000000","0,3350000000","9,7933","289,00",1000,PN *,nd,nd
06/02/2001,"0,33249","4,2288401253","332,49","0,3239900000","0,3190100000","0,3266800000","0,3350000000","11,42757","273,00",1000,PN *,nd,nd
07/02/2001,"0,31","-6,7641132064",310,"0,3300000000","0,3050000000","0,3179300000","0,3300000000","7,21081","169,00",1000,PN *,nd,nd
08/02/2001,"0,3175","2,4193548387","317,5","0,3210000000","0,3150000000","0,3192600000","0,3229000000","7,0515","170,00",1000,PN *,nd,nd
09/02/2001,"0,306","-3,6220472440",306,"0,3170000000","0,3060000000","0,3086700000","0,3170000000","6,90818","136,00",1000,PN *,nd,nd
12/02/2001,"0,31","1,3071895424",310,"0,3120000000","0,3020000000","0,3094300000","0,3120000000","6,72392","107,00",1000,PN *,nd,nd
13/02/2001,"0,30799","-0,6483870967","307,99","0,3144800000","0,3020000000","0,3086900000","0,3144900000","8,42112","90,00",1000,PN *,nd,nd
14/02/2001,"0,30202","-1,9383746225","302,02","0,3079900000","0,3020000000","0,3051700000","0,3141400000","3,09146","35,00",1000,PN *,nd,nd
15/02/2001,"0,29706","-1,6422753460","297,06","0,3020400000","0,2960000000","0,3012300000","0,3049900000","1,05431","27,00",1000,PN *,nd,nd
16/02/2001,"0,29999","0,9863327273","299,99","0,3050000000","0,2950000000","0,3009000000","0,3050000000","0,24674","10,00",1000,PN *,nd,nd
19/02/2001,"0,29501","-1,6600553351","295,01","0,2999900000","0,2950000000","0,2962900000","0,3049900000","2,71402","22,00",1000,PN *,nd,nd
20/02/2001,"0,293","-0,6813328361",293,"0,3000000000","0,2930000000","0,2957500000","0,3000000000","1,56454","25,00",1000,PN *,nd,nd
