data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"0,399869885006",nd,"28,02","0,3853135926","0,3853135926","0,3977292528","0,4065771945","6,16889","218,00",1000,PN *,nd,nd
03/01/2001,"0,43526165213","8,8508208422","30,5","0,3928771557","0,3921636120","0,4194209809","0,4381158256","16,20948","481,00",1000,PN *,nd,nd
04/01/2001,"0,439542914282","0,9836065573","30,8","0,4349762334","0,4324074761","0,4431106314","0,4566679616","17,64139","406,00",1000,PN *,nd,nd
05/01/2001,"0,43526165213","-0,9740259740","30,5","0,4395429130","0,4281262140","0,4405418742","0,4522439907","10,54047","266,00",1000,PN *,nd,nd
08/01/2001,"0,443824176434","1,9672131147","31,1","0,4352616509","0,4252720392","0,4366887382","0,4485335635","11,82095","346,00",1000,PN *,nd,nd
09/01/2001,"0,46023568135","3,6977491960","32,25","0,4452512625","0,4452512625","0,4533856606","0,4602356800","32,53421","536,00",1000,PN *,nd,nd
10/01/2001,"0,462233603688","0,4341085272","32,39","0,4565252528","0,4495325247","0,4566679616","0,4622336023","12,42853","300,00",1000,PN *,nd,nd
11/01/2001,"0,468084661963","1,2658227849","32,8","0,4593794276","0,4523866994","0,4593794276","0,4680846606","8,89019","249,00",1000,PN *,nd,nd
12/01/2001,"0,458095050274","-2,1341463416","32,1","0,4680846606","0,4538137868","0,4575242140","0,4687982043","8,67108","196,00",1000,PN *,nd,nd
15/01/2001,"0,460949225042","0,6230529594","32,3","0,4602356800","0,4566679616","0,4602356800","0,4665148645","4,55397","145,00",1000,PN *,nd,nd
16/01/2001,"0,460949225042","0,0000000000","32,3","0,4589513014","0,4538137868","0,4588085926","0,4623763111","17,4354","211,00",1000,PN *,nd,nd
17/01/2001,"0,475790933836","3,2198142415","33,34","0,4623763111","0,4568106703","0,4717950878","0,4809284470","19,26132","405,00",1000,PN *,nd,nd
18/01/2001,"0,488920137769","2,7594481103","34,26","0,4757909324","0,4730794664","0,4879211752","0,4951993208","25,09003","519,00",1000,PN *,nd,nd
19/01/2001,"0,485209710571","-0,7589025101",34,"0,4884920101","0,4839253305","0,4913461849","0,4994805830","21,44576","446,00",1000,PN *,nd,nd
22/01/2001,"0,47550551636","-1,9999999999","33,32","0,4809284470","0,4737930101","0,4775034373","0,4823555344","13,34089","222,00",1000,PN *,nd,nd
23/01/2001,"0,497339953335","4,5918367345","34,85","0,4907753499","0,4780742723","0,4927732723","0,4994805830","28,00418","420,00",1000,PN *,nd,nd
24/01/2001,"0,501621215487","0,8608321377","35,15","0,4993378742","0,4867795053","0,4969118257","0,5037618451","16,43126","406,00",1000,PN *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"0,512324370868","2,1337126601","35,9","0,4994805830","0,4923451461","0,5044753888","0,5123243694","18,99267","429,00",1000,PN *,nd,nd
29/01/2001,"0,522884817509","2,0612813368","36,64","0,5037618451","0,5009076703","0,5184608451","0,5237410684","17,40038","389,00",1000,PN *,nd,nd
30/01/2001,"0,505331642686","-3,3569868994","35,41","0,5216004373","0,5037618451","0,5090420684","0,5216004373","19,8289","371,00",1000,PN *,nd,nd
31/01/2001,"0,510754574745","1,0731431798","35,79","0,5066160199","0,4996232917","0,5073295635","0,5166056315","13,73441","280,00",1000,PN *,nd,nd
01/02/2001,"0,485209710571","-5,0013970382",34,"0,5033337189","0,4837826218","0,4957701558","0,5083285247","24,99647","497,00",1000,PN *,nd,nd
02/02/2001,"0,490204516415","1,0294117646","34,35","0,4923451461","0,4780742723","0,4824982431","0,4937722334","15,1701","289,00",1000,PN *,nd,nd
05/02/2001,"0,489490972723","-0,1455604075","34,3","0,4852097092","0,4795013596","0,4837826218","0,4923451461","5,53649","174,00",1000,PN *,nd,nd
06/02/2001,"0,489205555246","-0,0583090379","34,28","0,4887774276","0,4816419907","0,4857805441","0,4966264082","9,99883","211,00",1000,PN *,nd,nd
07/02/2001,"0,485209710571","-0,8168028004",34,"0,4809284470","0,4782169810","0,4807857383","0,4852097092","7,24381","188,00",1000,PN *,nd,nd
08/02/2001,"0,496626409643","2,3529411764","34,8","0,4966264082","0,4866367965","0,4932013985","0,5066160199","11,88821","219,00",1000,PN *,nd,nd
09/02/2001,"0,488206594077","-1,6954022988","34,21","0,4937722334","0,4880638839","0,4926305635","0,4966264082","6,96319","129,00",1000,PN *,nd,nd
12/02/2001,"0,486636797955","-0,3215434082","34,1","0,4923451461","0,4866367965","0,4906326412","0,4949139033","12,96588","239,00",1000,PN *,nd,nd
13/02/2001,"0,490918060107","0,8797653958","34,4","0,4852097092","0,4823555344","0,4890628451","0,4959128645","12,06591","233,00",1000,PN *,nd,nd
14/02/2001,"0,492345147491","0,2906976744","34,5","0,4893482626","0,4816419907","0,4946284859","0,5037618451","15,85112","356,00",1000,PN *,nd,nd
15/02/2001,"0,482355535803","-2,0289855072","33,8","0,4923451461","0,4816419907","0,4906326412","0,4994805830","11,53547","212,00",1000,PN *,nd,nd
16/02/2001,"0,453813788122","-5,9171597633","31,8","0,4837826218","0,4481054373","0,4632325635","0,4980534956","25,02335","578,00",1000,PN *,nd,nd
19/02/2001,"0,44239708905","-2,5157232703",31,"0,4623763111","0,4423970878","0,4453939712","0,4623763111","5,24392","205,00",1000,PN *,nd,nd
20/02/2001,"0,447962729848","1,2580645161","31,39","0,4495325247","0,4395429130","0,4431106314","0,4509596120","7,56707","233,00",1000,PN *,nd,nd
21/02/2001,"0,43526165213","-2,8352978655","30,5","0,4495325247","0,4352616509","0,4421116703","0,4495325247","10,79229","297,00",1000,PN *,nd,nd
22/02/2001,"0,448105438586","2,9508196720","31,4","0,4423970878","0,4352616509","0,4426825052","0,4481054373","10,71133","254,00",1000,PN *,nd,nd
23/02/2001,"0,459522137658","2,5477707005","32,2","0,4481054373","0,4478200198","0,4513877382","0,4595221363","6,84664","161,00",1000,PN *,nd,nd
28/02/2001,"0,438115826898","-4,6583850930","30,7","0,4552408742","0,4284116314","0,4428252140","0,4552408742","8,2275","149,00",1000,PN *,nd,nd
01/03/2001,"0,446678351202","1,9543973940","31,3","0,4423970878","0,4409700004","0,4448231363","0,4538137868","8,92203","194,00",1000,PN *,nd,nd
02/03/2001,"0,44953252597","0,6389776357","31,5","0,4479627285","0,4395429130","0,4459648062","0,4509596120","12,93614","266,00",1000,PN *,nd,nd
05/03/2001,"0,45666796289","1,5873015872",32,"0,4552408742","0,4423970878","0,4532429518","0,4595221363","15,68866","232,00",1000,PN *,nd,nd
06/03/2001,"0,452386700738","-0,9374999999","31,7","0,4580950489","0,4495325247","0,4616627674","0,4669429907","17,36147","328,00",1000,PN *,nd,nd
07/03/2001,"0,443396050219","-1,9873817033","31,07","0,4652304858","0,4423970878","0,4446804276","0,4652304858","8,15809","232,00",1000,PN *,nd,nd
08/03/2001,"0,443681467696","0,0643707757","31,09","0,4552408742","0,4395429130","0,4478200198","0,4552408742","12,83794","308,00",1000,PN *,nd,nd
09/03/2001,"0,445393972557","0,3859761981","31,21","0,4411127091","0,4395429130","0,4426825052","0,4466783499","6,25797","173,00",1000,PN *,nd,nd
12/03/2001,"0,438115826898","-1,6340916373","30,7","0,4493898159","0,4368314470","0,4429679227","0,4552408742","8,73459","217,00",1000,PN *,nd,nd
13/03/2001,"0,433977273484","-0,9446254072","30,41","0,4381158256","0,4259855829","0,4335491460","0,4452512625","14,69045","253,00",1000,PN *,nd,nd
14/03/2001,"0,419563690906","-3,3212758959","29,4","0,4295533013","0,4138553402","0,4174230586","0,4295533013","16,4271","326,00",1000,PN *,nd,nd
15/03/2001,"0,412428253985","-1,7006802723","28,9","0,4352616509","0,4124282528","0,4257001654","0,4352616509","11,07576","317,00",1000,PN *,nd,nd
16/03/2001,"0,42099077829","2,0761245676","29,5","0,4209907771","0,4085751168","0,4188501460","0,4281262140","6,54966","247,00",1000,PN *,nd,nd
19/03/2001,"0,399584467529","-5,0847457628",28,"0,4251293305","0,3967302916","0,4041511460","0,4252720392","7,65098","340,00",1000,PN *,nd,nd
20/03/2001,"0,413855341369","3,5714285713",29,"0,4057209421","0,4045792722","0,4104303304","0,4195636897","9,0015","286,00",1000,PN *,nd,nd
21/03/2001,"0,416709516137","0,6896551723","29,2","0,4208480683","0,4024386411","0,4142834664","0,4208480683","4,9599","164,00",1000,PN *,nd,nd
22/03/2001,"0,392591739347","-5,7876712328","27,51","0,4067199033","0,3787489906","0,3877396411","0,4067199033","15,61536","549,00",1000,PN *,nd,nd
23/03/2001,"0,395160496639","0,6543075247","27,69","0,3944469518","0,3738968935","0,3850281751","0,3967302916","15,16764","522,00",1000,PN *,nd,nd
26/03/2001,"0,395160496639","0,0000000000","27,69","0,3997271751","0,3938761168","0,4008688450","0,4078615732","12,08543","337,00",1000,PN *,nd,nd
27/03/2001,"0,396730292761","0,3972553267","27,8","0,4052928159","0,3924490295","0,3973011265","0,4052928159","9,12955","258,00",1000,PN *,nd,nd
28/03/2001,"0,392449030609","-1,0791366906","27,5","0,3967302916","0,3824594178","0,3867406799","0,3967302916","6,20867","237,00",1000,PN *,nd,nd
