data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
03/01/2001,"0,569535193629",nd,"9,4","0,5028874574","0,4998580149","0,5150052275","0,5695351928","3,20037","155,00",1,ON  EJ,nd,nd
04/01/2001,"0,56347630859","-1,0638297873","9,3","0,5574174227","0,5452996527","0,5725646353","0,5816529628","5,39601","212,00",1,ON  EJ,nd,nd
05/01/2001,"0,569535193629","1,0752688172","9,4","0,5695351928","0,5604468652","0,5665057503","0,5701410813","0,72022","56,00",1,ON  EJ,nd,nd
08/01/2001,"0,571352859141","0,3191489362","9,43","0,5695351928","0,5604468652","0,5658998618","0,5743823008","1,12107","37,00",1,ON  EJ,nd,nd
09/01/2001,"0,571958747644","0,1060445385","9,44","0,5725646353","0,5634763077","0,5792294088","0,5877118479","0,94724","108,00",1,ON  EJ,nd,nd
10/01/2001,"0,564082197094","-1,3771186440","9,31","0,5695351928","0,5634763077","0,5683234158","0,5713528583","0,90982","50,00",1,ON  EJ,nd,nd
11/01/2001,"0,569535193629","0,9667024705","9,4","0,5513585377","0,5513585377","0,5598409767","0,5755940778","0,37623","55,00",1,ON  EJ,nd,nd
12/01/2001,"0,670718573774","17,7659574468","11,07","0,5665057503","0,5665057503","0,6495124752","0,6967717784","20,45972","672,00",1,ON  EJ,nd,nd
15/01/2001,"0,630124044015","-6,0523938573","10,4","0,6664773533","0,6058885030","0,6464830327","0,7210073185","9,35766","536,00",1,ON,nd,nd
16/01/2001,"0,624065158976","-0,9615384616","10,3","0,6301240431","0,6210357155","0,6313358201","0,6543595832","5,25355","259,00",1,ON,nd,nd
17/01/2001,"0,622853381969","-0,1941747571","10,28","0,6361829281","0,6186121615","0,6246710465","0,6361829281","2,96073","169,00",1,ON,nd,nd
18/01/2001,"0,636182929054","2,1400778210","10,5","0,6228533810","0,6161886075","0,6361829281","0,6422418131","2,82566","124,00",1,ON,nd,nd
