data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"0,29665756102",nd,"60,5","0,2928328814","0,2928328814","0,3018551938","0,3089161341","2,07457","60,00",1000,ON *EJ,nd,nd
03/01/2001,"0,311367853302","4,9586776859","63,5","0,3088670997","0,2942548763","0,3014138851","0,3162712801","35,1269","307,00",1000,ON *EJ,nd,nd
04/01/2001,"0,311367853302","0,0000000000","63,5","0,3098968202","0,3098477859","0,3145060450","0,3211747108","11,64825","213,00",1000,ON *EJ,nd,nd
05/01/2001,"0,311367853302","0,0000000000","63,5","0,3098968202","0,3064644187","0,3097006830","0,3138195648","10,74519","80,00",1000,ON *EJ,nd,nd
08/01/2001,"0,311318818994","-0,0157480316","63,49","0,3133292217","0,3079354479","0,3092103399","0,3133292217","2,76377","75,00",1000,ON *EJ,nd,nd
09/01/2001,"0,317497141753","1,9845644985","64,75","0,3138195648","0,3138195648","0,3162222458","0,3177423093","8,00409","187,00",1000,ON *EJ,nd,nd
10/01/2001,"0,315780940986","-0,5405405407","64,4","0,3138195648","0,3128388786","0,3154867312","0,3177423093","10,03806","154,00",1000,ON *EJ,nd,nd
11/01/2001,"0,31529059791","-0,1552795030","64,3","0,3157809370","0,3138195648","0,3162222458","0,3177423093","8,14397","156,00",1000,ON *EJ,nd,nd
12/01/2001,"0,314309911758","-0,3110419906","64,1","0,3152905940","0,3089161341","0,3134272903","0,3172029319","4,22513","79,00",1000,ON *,nd,nd
15/01/2001,"0,316222249755","0,6084243370","64,49","0,3152905940","0,3132801874","0,3147512166","0,3162222458","3,33814","59,00",1000,ON *,nd,nd
16/01/2001,"0,317202935907","0,3101256008","64,69","0,3162712801","0,3152905940","0,3168106575","0,3179874808","6,3129","98,00",1000,ON *,nd,nd
17/01/2001,"0,321616023592","1,3912505798","65,59","0,3187229955","0,3187229955","0,3202430590","0,3216650539","12,06287","174,00",1000,ON *,nd,nd
18/01/2001,"0,32902020404","2,3021802102","67,1","0,3211747108","0,3211747108","0,3277943422","0,3309815722","9,9741","167,00",1000,ON *,nd,nd
19/01/2001,"0,333433291725","1,3412816692",68,"0,3309815722","0,3295105430","0,3328448759","0,3339236306","4,99633","99,00",1000,ON *,nd,nd
22/01/2001,"0,334315909262","0,2647058823","68,18","0,3334332876","0,3312757780","0,3327958416","0,3349043168","2,74201","46,00",1000,ON *,nd,nd
23/01/2001,"0,342014295556","2,3027280726","69,75","0,3349043168","0,3349043168","0,3381896153","0,3422594628","6,05566","145,00",1000,ON *,nd,nd
24/01/2001,"0,344171805091","0,6308243728","70,19","0,3420142913","0,3417691197","0,3433872519","0,3442208351","13,55825","189,00",1000,ON *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"0,354518043996","3,0061262288","72,3","0,3442208351","0,3417691197","0,3483887512","0,3569697549","17,37913","280,00",1000,ON *,nd,nd
29/01/2001,"0,354959352764","0,1244813276","72,39","0,3567245834","0,3515759811","0,3544690053","0,3569697549","12,06035","133,00",1000,ON *,nd,nd
30/01/2001,"0,357852376913","0,8150297002","72,98","0,3530470104","0,3530470104","0,3552535542","0,3579014067","6,63013","167,00",1000,ON *,nd,nd
31/01/2001,"0,362853876289","1,3976431899",74,"0,3628048374","0,3554496914","0,3592253330","0,3628538718","4,09524","93,00",1000,ON *,nd,nd
01/02/2001,"0,346182211702","-4,5945945948","70,6","0,3555477600","0,3412787767","0,3488300599","0,3589311272","7,47771","202,00",1000,ON *,nd,nd
02/02/2001,"0,340788437866","-1,5580736541","69,5","0,3461822074","0,3358850029","0,3410826394","0,3481435797","8,81325","151,00",1000,ON *,nd,nd
05/02/2001,"0,332844880033","-2,3309352520","67,88","0,3407884336","0,3298537831","0,3331881160","0,3407884336","3,18697","73,00",1000,ON *,nd,nd
06/02/2001,"0,337356036333","1,3553329405","68,8","0,3339236306","0,3304912291","0,3317661211","0,3373560321","7,11183","134,00",1000,ON *,nd,nd
07/02/2001,"0,331962262497","-1,5988372090","67,7","0,3319622583","0,3261271758","0,3309815722","0,3334332876","4,96133","110,00",1000,ON *,nd,nd
08/02/2001,"0,342700775862","3,2348596747","69,89","0,3324526014","0,3324526014","0,3379444438","0,3432401490","2,53637","55,00",1000,ON *,nd,nd
09/02/2001,"0,333384257417","-2,7185577335","67,99","0,3422594628","0,3333842532","0,3423084971","0,3454466928","2,37247","32,00",1000,ON *,nd,nd
12/02/2001,"0,336620521719","0,9707309898","68,65","0,3335313562","0,3333842532","0,3363263117","0,3383367183","3,8003","86,00",1000,ON *,nd,nd
13/02/2001,"0,329755718654","-2,0393299344","67,25","0,3431911146","0,3290201999","0,3327958416","0,3431911146","3,95019","81,00",1000,ON *,nd,nd
14/02/2001,"0,331962262497","0,6691449816","67,7","0,3353946598","0,3295105430","0,3368166547","0,3431911146","5,59898","162,00",1000,ON *,nd,nd
15/02/2001,"0,330981576344","-0,2954209751","67,5","0,3301970233","0,3285298569","0,3310796408","0,3339236306","8,13672","108,00",1000,ON *,nd,nd
16/02/2001,"0,324705184971","-1,8962962961","66,22","0,3250974554","0,3197036816","0,3236264262","0,3261271758","3,41243","128,00",1000,ON *,nd,nd
19/02/2001,"0,330000890192","1,6309272121","67,3","0,3265684846","0,3265684846","0,3292163371","0,3333842532","4,42465","82,00",1000,ON *,nd,nd
20/02/2001,"0,340837472173","3,2838038632","69,51","0,3357869343","0,3334332876","0,3371598949","0,3417691197","8,80914","146,00",1000,ON *,nd,nd
21/02/2001,"0,343240153246","0,7049345418",70,"0,3407884336","0,3373560321","0,3452015212","0,3510856381","9,73645","199,00",1000,ON *,nd,nd
22/02/2001,"0,346623520471","0,9857142857","70,69","0,3457408986","0,3383367183","0,3444169723","0,3466235161","11,71647","101,00",1000,ON *,nd,nd
23/02/2001,"0,354518043996","2,2775498657","72,3","0,3604021564","0,3432401490","0,3486339227","0,3604021564","32,44414","134,00",1000,ON *,nd,nd
28/02/2001,"0,340788437866","-3,8727524205","69,5","0,3542728680","0,3363753460","0,3420142913","0,3544690053","29,58195","146,00",1000,ON *,nd,nd
01/03/2001,"0,351085642463","3,0215827336","71,6","0,3432401490","0,3432401490","0,3443189037","0,3550083826","11,8466","61,00",1000,ON *,nd,nd
02/03/2001,"0,353537357843","0,6983240222","72,1","0,3510856381","0,3496146089","0,3517721184","0,3540276965","1,36322","63,00",1000,ON *,nd,nd
05/03/2001,"0,360892503984","2,0804438280","73,6","0,3535373534","0,3515759811","0,3582446469","0,3638345579","3,22219","88,00",1000,ON *,nd,nd
06/03/2001,"0,348143584007","-3,5326086954",71,"0,3609415338","0,3481435797","0,3588330586","0,3672669594","7,47909","184,00",1000,ON *,nd,nd
07/03/2001,"0,350595299387","0,7042253520","71,5","0,3481435797","0,3481435797","0,3506443293","0,3515759811","8,76735","124,00",1000,ON *,nd,nd
08/03/2001,"0,348143584007","-0,6993006992",71,"0,3520663242","0,3442208351","0,3492713687","0,3520663242","16,52557","175,00",1000,ON *,nd,nd
09/03/2001,"0,343240153246","-1,4084507043",70,"0,3481435797","0,3402980905","0,3419162227","0,3481435797","4,90259","113,00",1000,ON *,nd,nd
12/03/2001,"0,344202090526","0,2802519667",48,"0,3513729632","0,3442020864","0,3502256229","0,3578267523","7,81979","206,00",1000,ON *EDJ,nd,nd
13/03/2001,"0,348863160502","1,3541666667","48,65","0,3513729632","0,3442020864","0,3475006897","0,3513729632","15,2088","219,00",1000,ON *EDJ,nd,nd
14/03/2001,"0,33703121364","-3,3915724563",47,"0,3442020864","0,3298603328","0,3343779851","0,3442020864","8,69831","150,00",1000,ON *EDJ,nd,nd
15/03/2001,"0,342624497611","1,6595744680","47,78","0,3406166480","0,3384653849","0,3415488619","0,3442020864","5,23066","134,00",1000,ON *EDJ,nd,nd
16/03/2001,"0,338465389017","-1,2138970280","47,2","0,3434849987","0,3370312096","0,3385370937","0,3434849987","3,53163","120,00",1000,ON *EDJ,nd,nd
19/03/2001,"0,331294512131","-2,1186440678","46,2","0,3391824726","0,3229045823","0,3299320415","0,3391824726","4,91848","131,00",1000,ON *EDJ,nd,nd
20/03/2001,"0,329860336754","-0,4329004328",46,"0,3277090697","0,3269919820","0,3284978662","0,3370312096","7,02348","162,00",1000,ON *EDJ,nd,nd
21/03/2001,"0,336314125951","1,9565217390","46,9","0,3440586688","0,3212552806","0,3266334382","0,3440586688","3,30721","120,00",1000,ON *EDJ,nd,nd
22/03/2001,"0,311933144539","-7,2494669508","43,5","0,3298603328","0,3097818777","0,3153034528","0,3298603328","12,01006","158,00",1000,ON *,nd,nd
23/03/2001,"0,317669846048","1,8390804598","44,3","0,3126502284","0,3011768256","0,3111443443","0,3191040176","2,91182","149,00",1000,ON *,nd,nd
26/03/2001,"0,327709073688","3,1602708802","45,7","0,3226894560","0,3226177472","0,3254860979","0,3298603328","2,26066","85,00",1000,ON *,nd,nd
27/03/2001,"0,329143249065","0,4376367614","45,9","0,3276373609","0,3255578067","0,3267768557","0,3291432451","4,14771","124,00",1000,ON *,nd,nd
28/03/2001,"0,32950179291","0,1089324620","45,95","0,3297169152","0,3226894560","0,3287847012","0,3348799465","2,76036","92,00",1000,ON *,nd,nd
29/03/2001,"0,33703121364","2,2850924917",47,"0,3261314768","0,3261314768","0,3348082377","0,3384653849","6,71006","177,00",1000,ON *,nd,nd
30/03/2001,"0,336242417183","-0,2340425530","46,89","0,3384653849","0,3333740624","0,3343779851","0,3384653849","9,92871","84,00",1000,ON *,nd,nd
02/04/2001,"0,326274898311","-2,9643847303","45,5","0,3362424131","0,3262748944","0,3312227993","0,3362424131","2,12036","51,00",1000,ON *,nd,nd
03/04/2001,"0,324123635245","-0,6593406594","45,2","0,3262748944","0,3226894560","0,3254143891","0,3262748944","4,08864","71,00",1000,ON *,nd,nd
04/04/2001,"0,320394779265","-1,1504424776","44,68","0,3241236313","0,3155185792","0,3227611647","0,3269919820","8,60709","157,00",1000,ON *,nd,nd
05/04/2001,"0,320896740647","0,1566696508","44,75","0,3226894560","0,3191040176","0,3231914173","0,3297886240","4,77315","96,00",1000,ON *,nd,nd
06/04/2001,"0,333445775197","3,9106145250","46,5","0,3208967368","0,3208967368","0,3325135572","0,3352384904","4,33579","111,00",1000,ON *,nd,nd
09/04/2001,"0,351014423568","5,2688172044","48,95","0,3355970342","0,3355970342","0,3464250582","0,3513729632","3,40159","122,00",1000,ON *,nd,nd
10/04/2001,"0,365643012415","4,1675178752","50,99","0,3464250582","0,3464250582","0,3587589663","0,3656430080","3,58272","116,00",1000,ON *,nd,nd
11/04/2001,"0,358543844298","-1,9415571680",50,"0,3657147168","0,3585438400","0,3666469307","0,3714514182","3,57976","122,00",1000,ON *,nd,nd
12/04/2001,"0,358615553067","0,0200000000","50,01","0,3571096646","0,3535242262","0,3565359944","0,3621292784","1,72055","49,00",1000,ON *,nd,nd
16/04/2001,"0,344202090526","-4,0191961608",48,"0,3556754892","0,3406883567","0,3495085352","0,3657147168","1,984","76,00",1000,ON *,nd,nd
17/04/2001,"0,345636265903","0,4166666666","48,2","0,3442020864","0,3406166480","0,3449191740","0,3506558755","4,70901","107,00",1000,ON *,nd,nd
18/04/2001,"0,350655879723","1,4522821576","48,9","0,3456362617","0,3442737951","0,3665035132","0,3764710320","5,89334","208,00",1000,ON *,nd,nd
19/04/2001,"0,344919178215","-1,6359918198","48,1","0,3513729632","0,3370312096","0,3451343003","0,3535242262","4,00521","126,00",1000,ON *,nd,nd
20/04/2001,"0,33201159982","-3,7422037422","46,3","0,3335174799","0,3305057117","0,3327286835","0,3369595008","4,98823","126,00",1000,ON *,nd,nd
23/04/2001,"0,365714721184","10,1511879049",51,"0,3298603328","0,3226894560","0,3381068411","0,3657147168","1,36784","73,00",1000,ON *,nd,nd
24/04/2001,"0,358543844298","-1,9607843137",50,"0,3585438400","0,3571096646","0,3644239589","0,3728855936","3,74576","124,00",1000,ON *,nd,nd
25/04/2001,"0,350655879723","-2,2000000001","48,9","0,3513729632","0,3485763212","0,3515163807","0,3549584016","8,06954","80,00",1000,ON *,nd,nd
26/04/2001,"0,3520900551","0,4089979549","49,1","0,3585438400","0,3477875248","0,3513012544","0,3585438400","2,33722","88,00",1000,ON *,nd,nd
27/04/2001,"0,358543844298","1,8329938902",50,"0,3585438400","0,3556754892","0,3586155487","0,3628463660","11,4286","111,00",1000,ON *,nd,nd
30/04/2001,"0,370734335004","3,3999999999","51,7","0,3599780153","0,3599780153","0,3690133201","0,3728855936","4,90981","126,00",1000,ON *,nd,nd
02/05/2001,"0,371451422693","0,1934235977","51,8","0,3707343305","0,3664318044","0,3710211656","0,3743197689","5,44351","137,00",1000,ON *,nd,nd
03/05/2001,"0,36786598425","-0,9652509652","51,3","0,3693001552","0,3664318044","0,3678659798","0,3700172428","7,96824","120,00",1000,ON *,nd,nd
04/05/2001,"0,369300159627","0,3898635477","51,5","0,3678659798","0,3671488921","0,3680093973","0,3714514182","4,42439","134,00",1000,ON *,nd,nd
07/05/2001,"0,368654780707","-0,1747572816","51,41","0,3682245236","0,3679376886","0,3689416113","0,3728855936","2,93795","77,00",1000,ON *,nd,nd
08/05/2001,"0,361412195052","-1,9645983272","50,4","0,3657147168","0,3606951030","0,3652844641","0,3685830675","2,06817","76,00",1000,ON *,nd,nd
09/05/2001,"0,358543844298","-0,7936507935",50,"0,3614121907","0,3498670790","0,3571813734","0,3628463660","5,619","131,00",1000,ON *,nd,nd
10/05/2001,"0,351372967412","-2,0000000000",49,"0,3585438400","0,3497953703","0,3535959350","0,3585438400","2,8209","67,00",1000,ON *,nd,nd
11/05/2001,"0,33703121364","-4,0816326530",47,"0,3457079705","0,3370312096","0,3420508233","0,3479309423","4,98466","141,00",1000,ON *,nd,nd
14/05/2001,"0,330649133211","-1,8936170214","46,11","0,3309359643","0,3298603328","0,3319398870","0,3384653849","2,91642","97,00",1000,ON *,nd,nd
15/05/2001,"0,336959504871","1,9084797225","46,99","0,3309359643","0,3309359643","0,3325852659","0,3370312096","2,14312","67,00",1000,ON *,nd,nd
16/05/2001,"0,344202090526","2,1493934880",48,"0,3370312096","0,3341628588","0,3365292482","0,3442020864","1,63816","63,00",1000,ON *,nd,nd
17/05/2001,"0,347787528969","1,0416666666","48,5","0,3477875248","0,3449191740","0,3477875248","0,3499387878","2,34302","87,00",1000,ON *,nd,nd
18/05/2001,"0,354814988317","2,0206185566","49,48","0,3463533494","0,3449191740","0,3494368264","0,3549584016","2,89955","71,00",1000,ON *,nd,nd
21/05/2001,"0,353452521709","-0,3839935326","49,29","0,3549584016","0,3513729632","0,3541696051","0,3549584016","16,26008","70,00",1000,ON *,nd,nd
22/05/2001,"0,347428985125","-1,7041996347","48,45","0,3513729632","0,3470704371","0,3478592335","0,3513729632","1,22763","49,00",1000,ON *,nd,nd
23/05/2001,"0,334162862886","-3,8183694530","46,6","0,3474289809","0,3320115958","0,3357404517","0,3474289809","2,08352","58,00",1000,ON *,nd,nd
24/05/2001,"0,342409371304","2,4678111585","47,75","0,3370312096","0,3355970342","0,3398278515","0,3434849987","3,59254","66,00",1000,ON *,nd,nd
25/05/2001,"0,339182476706","-0,9424083767","47,3","0,3424093672","0,3359555780","0,3384653849","0,3427679110","9,33223","103,00",1000,ON *,nd,nd
28/05/2001,"0,337748301329","-0,4228329809","47,1","0,3391824726","0,3363141219","0,3374614622","0,3391824726","1,68946","33,00",1000,ON *,nd,nd
29/05/2001,"0,344202090526","1,9108280253",48,"0,3534525174","0,3406166480","0,3429830373","0,3534525174","4,49162","64,00",1000,ON *,nd,nd
30/05/2001,"0,342839623918","-0,3958333332","47,81","0,3406166480","0,3391824726","0,3424093672","0,3456362617","3,85366","83,00",1000,ON *,nd,nd
31/05/2001,"0,344919178215","0,6065676636","48,1","0,3427679110","0,3406166480","0,3434849987","0,3456362617","4,05809","47,00",1000,ON *,nd,nd
01/06/2001,"0,355675493543","3,1185031182","49,6","0,3406166480","0,3370312096","0,3457796792","0,3556754892","2,78739","71,00",1000,ON *,nd,nd
04/06/2001,"0,35151638495","-1,1693548384","49,02","0,3513729632","0,3477875248","0,3512295456","0,3520900508","2,60617","61,00",1000,ON *,nd,nd
05/06/2001,"0,359978019675","2,4071807424","50,2","0,3442020864","0,3442020864","0,3561057418","0,3621292784","6,6453","122,00",1000,ON *,nd,nd
06/06/2001,"0,367148896561","1,9920318725","51,2","0,3599780153","0,3585438400","0,3647825028","0,3675074360","1,95852","73,00",1000,ON *,nd,nd
07/06/2001,"0,37037579116","0,8789062500","51,65","0,3693001552","0,3685830675","0,3701606604","0,3714514182","1,86877","76,00",1000,ON *,nd,nd
08/06/2001,"0,381490650333","3,0009680541","53,2","0,3728138848","0,3728138848","0,3766861583","0,3814906457","4,80726","82,00",1000,ON *,nd,nd
11/06/2001,"0,385217406054","0,9768930687","41,95","0,3994507038","0,3839318143","0,3925636227","0,4040420912","9,00348","194,00",1000,ON *EDJ,nd,nd
12/06/2001,"0,390267932236","1,3110846245","42,5","0,3857683693","0,3792485992","0,3820034316","0,3902679290","2,68343","83,00",1000,ON *EDJ,nd,nd
13/06/2001,"0,413133041678","5,8588235295","44,99","0,3911862064","0,3911862064","0,4071642346","0,4150614209","7,88917","274,00",1000,ON *EDJ,nd,nd
15/06/2001,"0,40404209455","-2,2004889977",44,"0,4132248660","0,3994507038","0,4035829524","0,4132248660","5,00688","98,00",1000,ON *EDJ,nd,nd
18/06/2001,"0,40404209455","0,0000000000",44,"0,3994507038","0,3948593164","0,3996343592","0,4040420912","2,99867","74,00",1000,ON *EDJ,nd,nd
19/06/2001,"0,408633481988","1,1363636363","44,5","0,3994507038","0,3949511441","0,4060623016","0,4086334786","5,88643","123,00",1000,ON *EDJ,nd,nd
20/06/2001,"0,408908965235","0,0674157305","44,53","0,4113883110","0,4040420912","0,4119392775","0,4141431434","3,80486","89,00",1000,ON *EDJ,nd,nd
21/06/2001,"0,414051319165","1,2575791599","45,09","0,4132248660","0,4113883110","0,4148777654","0,4168979759","7,02599","106,00",1000,ON *EDJ,nd,nd
22/06/2001,"0,408633481988","-1,3084941228","44,5","0,4168979759","0,4086334786","0,4153369042","0,4233259182","6,7042","143,00",1000,ON *,nd,nd
25/06/2001,"0,413224869426","1,1235955056",45,"0,4205710858","0,4086334786","0,4111128277","0,4205710858","4,37944","118,00",1000,ON *,nd,nd
26/06/2001,"0,413224869426","0,0000000000",45,"0,4132248660","0,3948593164","0,4115719665","0,4132248660","7,11773","82,00",1000,ON *,nd,nd
27/06/2001,"0,394859319674","-4,4444444443",43,"0,4086334786","0,3948593164","0,4014709142","0,4141431434","4,45958","101,00",1000,ON *,nd,nd
28/06/2001,"0,387237616527","-1,9302325580","42,17","0,3994507038","0,3856765416","0,3886150295","0,4003689812","3,00119","76,00",1000,ON *,nd,nd
29/06/2001,"0,394767491925","1,9445103152","42,99","0,3948593164","0,3875130965","0,3932064169","0,3985324263","3,34057","84,00",1000,ON *,nd,nd
02/07/2001,"0,394859319674","0,0232612236",43,"0,3902679290","0,3861356803","0,3936655556","0,3994507038","2,44762","59,00",1000,ON *,nd,nd
03/07/2001,"0,38108515736","-3,4883720929","41,5","0,3948593164","0,3792485992","0,3863193358","0,3971550101","2,167","66,00",1000,ON *,nd,nd
04/07/2001,"0,38108515736","0,0000000000","41,5","0,3847582641","0,3764937668","0,3807178432","0,3847582641","3,18873","66,00",1000,ON *,nd,nd
05/07/2001,"0,376493769922","-1,2048192770",41,"0,3810851542","0,3675864752","0,3836563311","0,3921044839","3,06735","142,00",1000,ON *,nd,nd
06/07/2001,"0,376493769922","0,0000000000",41,"0,3764937668","0,3654744370","0,3697903411","0,3810851542","1,4419","75,00",1000,ON *,nd,nd
09/07/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
10/07/2001,"0,353536832731","-6,0975609757","38,5","0,3764937668","0,3535368298","0,3597811166","0,3764937668","1,52759","91,00",1000,ON *,nd,nd
11/07/2001,"0,339762670417","-3,8961038960",37,"0,3489454424","0,3370078351","0,3403136340","0,3507819973","6,68189","231,00",1000,ON *,nd,nd
12/07/2001,"0,35362866048","4,0810810810","38,51","0,3381097681","0,3370078351","0,3464660932","0,3581282172","5,56181","158,00",1000,ON *,nd,nd
13/07/2001,"0,353536832731","-0,0259672812","38,5","0,3535368298","0,3517002748","0,3535368298","0,3581282172","2,50688","91,00",1000,ON *,nd,nd
16/07/2001,"0,357669081426","1,1688311690","38,95","0,3535368298","0,3471088874","0,3555570402","0,3627196046","0,62739","54,00",1000,ON *,nd,nd
17/07/2001,"0,363637885095","1,6688061616","39,6","0,3547305905","0,3544551072","0,3628114323","0,3667600255","2,34296","103,00",1000,ON *,nd,nd
18/07/2001,"0,367402822794","1,0353535352","40,01","0,3627196046","0,3627196046","0,3662090590","0,3691475469","3,43047","125,00",1000,ON *,nd,nd
19/07/2001,"0,390267932236","6,2234441390","42,5","0,3673109920","0,3673109920","0,3730043123","0,3902679290","7,60476","80,00",1000,ON *,nd,nd
20/07/2001,"0,388431377261","-0,4705882352","42,3","0,3946756609","0,3764937668","0,3834726756","0,3946756609","1,42418","62,00",1000,ON *,nd,nd
23/07/2001,"0,394859319674","1,6548463356",43,"0,3856765416","0,3856765416","0,3903597567","0,3948593164","6,81023","49,00",1000,ON *,nd,nd
