data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"5,5",nd,55,"5,5000000000","5,5000000000","5,5000000000","5,5000000000","0,143","4,00",1000,PN *,nd,nd
03/01/2001,"5,6","1,8181818181",56,"5,4500000000","5,3500000000","5,5190000000","5,7000000000","0,95495","32,00",1000,PN *,nd,nd
04/01/2001,"5,75","2,6785714285","57,5","5,6000000000","5,6000000000","5,6870000000","5,8000000000","1,67216","27,00",1000,PN *,nd,nd
05/01/2001,"5,95","3,4782608695","59,5","6,1980000000","5,9400000000","5,9820000000","6,1980000000","0,05983","9,00",1000,PN *,nd,nd
08/01/2001,"5,85","-1,6806722689","58,5","5,9000000000","5,8500000000","5,8540000000","5,9000000000","0,18735","6,00",1000,PN *,nd,nd
09/01/2001,"5,8","-0,8547008547",58,"5,8000000000","5,8000000000","5,8000000000","5,8000000000","0,957","14,00",1000,PN *,nd,nd
10/01/2001,"5,85","0,8620689655","58,5","5,8750000000","5,8500000000","5,8730000000","5,9000000000","0,47573","12,00",1000,PN *,nd,nd
11/01/2001,6,"2,5641025641",60,"5,8500000000","5,8500000000","5,8730000000","6,0000000000","0,5227","11,00",1000,PN *,nd,nd
12/01/2001,"6,15","2,5000000000","61,5","6,0000000000","6,0000000000","6,0300000000","6,1500000000","0,03015","3,00",1000,PN *,nd,nd
15/01/2001,6,"-2,4390243902",60,"6,0000000000","6,0000000000","6,0000000000","6,0000000000","0,66","5,00",1000,PN *,nd,nd
16/01/2001,"6,3","5,0000000000",63,"6,0000000000","6,0000000000","6,0100000000","6,3000000000","0,28249","14,00",1000,PN *,nd,nd
17/01/2001,"6,3","0,0000000000",63,"6,4000000000","6,3000000000","6,3140000000","6,4000000000","0,0884","4,00",1000,PN *,nd,nd
18/01/2001,"6,35","0,7936507936","63,5","6,2800000000","6,2800000000","6,3760000000","6,4000000000","1,68342","17,00",1000,PN *,nd,nd
19/01/2001,"6,38","0,4724409448","63,8","6,3400000000","6,3000000000","6,3720000000","6,3800000000","0,75832","11,00",1000,PN *,nd,nd
22/01/2001,"6,5","1,8808777429",65,"6,3000000000","6,3000000000","6,3840000000","6,5000000000","0,81077","14,00",1000,PN *,nd,nd
23/01/2001,"6,4","-1,5384615384",64,"6,4000000000","6,4000000000","6,4000000000","6,4000000000","1,728","8,00",1000,PN *,nd,nd
24/01/2001,"6,2","-3,1250000000",62,"6,2000000000","6,2000000000","6,2000000000","6,2000000000","0,0062","1,00",1000,PN *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"6,7","8,0645161290",67,"6,2000000000","6,2000000000","6,3740000000","6,7000000000","0,26136","9,00",1000,PN *,nd,nd
29/01/2001,"6,4","-4,4776119402",64,"6,4010000000","6,4000000000","6,4000000000","6,4010000000","0,3456","5,00",1000,PN *,nd,nd
30/01/2001,"6,3","-1,5625000000",63,"6,3990000000","6,3000000000","6,3040000000","6,3990000000","0,2585","5,00",1000,PN *,nd,nd
31/01/2001,"6,35","0,7936507936","63,5","6,3000000000","6,3000000000","6,3130000000","6,4000000000","0,16415","7,00",1000,PN *,nd,nd
01/02/2001,"6,3","-0,7874015748",63,"6,3500000000","6,3000000000","6,3240000000","6,3500000000","2,09965","10,00",1000,PN *,nd,nd
02/02/2001,"6,3","0,0000000000",63,"6,3000000000","6,3000000000","6,3000000000","6,3000000000","0,0063","1,00",1000,PN *,nd,nd
05/02/2001,"6,35","0,7936507936","63,5","6,4000000000","6,3500000000","6,3910000000","6,4000000000","0,03835","3,00",1000,PN *,nd,nd
06/02/2001,"6,35","0,0000000000","63,5","6,3500000000","6,3500000000","6,3500000000","6,3500000000","0,4445","2,00",1000,PN *,nd,nd
07/02/2001,"6,35","0,0000000000","63,5","6,3500000000","6,3500000000","6,3500000000","6,3500000000","0,51435","4,00",1000,PN *,nd,nd
08/02/2001,"6,45","1,5748031496","64,5","6,4000000000","6,3980000000","6,4120000000","6,5000000000","1,03889","18,00",1000,PN *,nd,nd
09/02/2001,"6,5","0,7751937984",65,"6,6000000000","6,5000000000","6,5700000000","6,6000000000","0,03285","3,00",1000,PN *,nd,nd
12/02/2001,"6,4","-1,5384615384",64,"6,4100000000","6,4000000000","6,4050000000","6,4100000000","0,07686","4,00",1000,PN *,nd,nd
13/02/2001,"6,45","0,7812500000","64,5","6,4500000000","6,4500000000","6,4500000000","6,4500000000","0,31605","2,00",1000,PN *,nd,nd
14/02/2001,"6,44","-0,1550387596","64,4","6,4400000000","6,4400000000","6,4400000000","6,4400000000","0,00644","1,00",1000,PN *,nd,nd
15/02/2001,"6,3","-2,1739130434",63,"6,4400000000","6,3000000000","6,3930000000","6,4400000000","0,01918","2,00",1000,PN *,nd,nd
16/02/2001,"6,2","-1,5873015873",62,"6,0000000000","5,9000000000","5,9800000000","6,2000000000","0,0299","4,00",1000,PN *,nd,nd
19/02/2001,"5,9","-4,8387096774",59,"6,0000000000","5,9000000000","5,9990000000","6,0000000000","2,7959","5,00",1000,PN *EJ,nd,nd
20/02/2001,"5,9","0,0000000000",59,"5,9000000000","5,8100000000","5,8970000000","5,9000000000","0,23591","6,00",1000,PN *EJ,nd,nd
21/02/2001,"5,95","0,8474576271","59,5","5,9000000000","5,9000000000","5,9480000000","5,9500000000","0,1725","7,00",1000,PN *EJ,nd,nd
22/02/2001,"5,95","0,0000000000","59,5","5,9500000000","5,9500000000","5,9500000000","5,9500000000","0,3094","4,00",1000,PN *EJ,nd,nd
23/02/2001,"5,95","0,0000000000","59,5","5,9500000000","5,9500000000","5,9520000000","6,3000000000","1,25605","14,00",1000,PN *EJ,nd,nd
28/02/2001,"5,95","0,0000000000","59,5","5,9500000000","5,9500000000","5,9500000000","5,9510000000","0,13685","4,00",1000,PN *EJ,nd,nd
01/03/2001,"6,25","5,0420168067","62,5","5,9900000000","5,9900000000","6,0560000000","6,2500000000","0,86007","10,00",1000,PN *EJ,nd,nd
02/03/2001,"6,25","0,0000000000","62,5","6,2500000000","6,2500000000","6,2500000000","6,2500000000","0,28125","5,00",1000,PN *EJ,nd,nd
05/03/2001,"6,25","0,0000000000","62,5","6,2500000000","6,2500000000","6,2500000000","6,2500000000","0,175","4,00",1000,PN *,nd,nd
06/03/2001,"6,3","0,8000000000",63,"6,4790000000","6,3000000000","6,3910000000","6,4790000000","0,37541","6,00",1000,PN *,nd,nd
07/03/2001,"6,389","1,4126984126","63,89","6,3890000000","6,3890000000","6,3890000000","6,3890000000","0,00639","1,00",1000,PN *,nd,nd
08/03/2001,"6,3","-1,3930192518",63,"6,3000000000","6,3000000000","6,3000000000","6,3000000000","0,0063","1,00",1000,PN *,nd,nd
09/03/2001,"6,15","-2,3809523809","61,5","6,2000000000","6,1500000000","6,1640000000","6,2000000000","0,04315","3,00",1000,PN *,nd,nd
12/03/2001,"5,85","-4,8780487804","58,5","5,9500000000","5,8500000000","5,8680000000","5,9500000000","0,2582","6,00",1000,PN *,nd,nd
13/03/2001,"5,85","0,0000000000","58,5","5,8010000000","5,8010000000","5,8610000000","5,8700000000","0,96136","13,00",1000,PN *,nd,nd
14/03/2001,"5,65","-3,4188034188","56,5","5,6000000000","5,6000000000","5,6120000000","5,6500000000","0,14031","6,00",1000,PN *,nd,nd
15/03/2001,"5,8","2,6548672566",58,"6,0000000000","5,8000000000","5,8060000000","6,0000000000","0,96393","9,00",1000,PN *,nd,nd
16/03/2001,"5,8","0,0000000000",58,"5,9000000000","5,8000000000","5,8010000000","5,9000000000","0,42352","12,00",1000,PN *,nd,nd
19/03/2001,"5,75","-0,8620689655","57,5","5,8000000000","5,7500000000","5,8000000000","5,8060000000","1,47912","15,00",1000,PN *,nd,nd
