data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"13,6892292936",nd,"28,88","13,9831116398","13,6892292934","14,1158326994","14,3623146673","11,17973","312,00",1000,PN *EJ,nd,nd
03/01/2001,"15,2629218578","11,4958448751","32,2","13,7034494070","13,5091078554","14,4571154242","15,2629218576","29,65091","687,00",1000,PN *EJ,nd,nd
04/01/2001,"15,6421248853","2,4844720495",33,"15,3150622739","15,3103222361","15,7321856042","16,0687282911","51,3436","767,00",1000,PN *EJ,nd,nd
05/01/2001,"15,2013013658","-2,8181818182","32,07","15,5473241283","15,0496201547","15,3672026902","15,8317263989","21,70115","465,00",1000,PN *EJ,nd,nd
08/01/2001,"15,2155214793","0,0935453692","32,1","14,9595594356","14,5993165595","15,0401400790","15,3103222361","21,32144","402,00",1000,PN *EJ,nd,nd
09/01/2001,"15,7369256422","3,4267912776","33,2","15,4525233714","15,3624626524","15,7701059069","16,0687282911","40,76922","702,00",1000,PN *EJ,nd,nd
10/01/2001,"15,6421248853","-0,6024096386",33,"15,6421248852","15,2250015549","15,6184246959","15,9691874964","24,71129","493,00",1000,PN *EJ,nd,nd
11/01/2001,"15,9360072316","1,8787878785","33,62","15,6895252636","15,5710243175","15,7985461340","16,0592482154","27,58266","494,00",1000,PN *EJ,nd,nd
12/01/2001,"15,6184246961","-1,9928613917","32,95","16,0639882533","15,5473241283","15,8980869287","16,2109294264","19,11659","419,00",1000,PN *,nd,nd
15/01/2001,"15,5947245069","-0,1517450681","32,9","16,1113886317","15,5947245067","15,7606258313","16,1113886317","5,1541","149,00",1000,PN *,nd,nd
16/01/2001,"14,8837188303","-4,5592705166","31,4","15,6895252636","14,7509977705","15,1254607602","15,7321856042","18,96156","445,00",1000,PN *,nd,nd
17/01/2001,"15,6373848475","5,0636942674","32,99","15,1728611386","15,1728611386","15,5520641661","15,7369256420","31,06357","498,00",1000,PN *,nd,nd
18/01/2001,"16,0213279128","2,4552894812","33,8","15,6421248852","15,5473241283","15,9170470801","16,1635290480","25,04647","487,00",1000,PN *,nd,nd
19/01/2001,"15,7843260206","-1,4792899408","33,3","16,1872292372","15,7132254528","16,0402880640","16,4005309402","14,48039","348,00",1000,PN *,nd,nd
22/01/2001,"15,49992375","-1,8018018015","32,7","15,8838668152","15,2629218576","15,4146030686","15,8838668152","12,90503","340,00",1000,PN *,nd,nd
23/01/2001,"15,7843260206","1,8348623850","33,3","15,4525233714","15,4051229930","15,6279047716","15,8791267774","28,86396","560,00",1000,PN *,nd,nd
24/01/2001,"15,2155214793","-3,6036036037","32,1","15,7843260205","15,0733203439","15,3055821982","16,4953316971","49,65984","908,00",1000,PN *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"15,2107814415","-0,0311526476","32,09","15,0970205331","15,0259199654","15,1918212900","15,4051229930","23,38731","431,00",1000,PN *,nd,nd
29/01/2001,"15,5473241284","2,2125272668","32,8","15,2107814413","15,0733203439","15,4762235606","15,8317263989","29,29976","581,00",1000,PN *,nd,nd
30/01/2001,"15,6847852259","0,8841463416","33,09","15,5473241283","15,4525233714","15,6279047716","15,7701059069","22,79426","510,00",1000,PN *,nd,nd
31/01/2001,"15,6895252638","0,0302206108","33,1","15,6895252636","15,4999237498","15,6184246959","15,7843260205","17,01024","401,00",1000,PN *,nd,nd
01/02/2001,"14,7320376193","-6,1027190332","31,08","15,6089446202","14,6941173164","15,1207207223","15,6089446202","25,49196","618,00",1000,PN *,nd,nd
02/02/2001,"14,2769939862","-3,0888030892","30,12","14,9311192086","14,0779123966","14,3765347808","14,9311192086","16,69841","443,00",1000,PN *,nd,nd
05/02/2001,"13,7461097477","-3,7184594951",29,"14,4571154242","13,5091078554","13,7366296719","14,4571154242","20,88182","637,00",1000,PN *,nd,nd
06/02/2001,"13,7413697099","-0,0344827583","28,99","13,7935101260","13,6039086122","13,7840300503","14,1490129643","15,64557","473,00",1000,PN *,nd,nd
07/02/2001,"13,4759275906","-1,9317005866","28,43","13,6987093691","13,3337264551","13,4617074769","13,7461097476","14,33306","473,00",1000,PN *,nd,nd
08/02/2001,"13,7461097477","2,0049243755",29,"13,7461097476","13,5802084230","13,6939693313","13,8883108829","24,31388","559,00",1000,PN *,nd,nd
09/02/2001,"13,3906069094","-2,5862068965","28,25","13,7935101260","13,2721059632","13,4522274012","13,7935101260","11,35001","425,00",1000,PN *,nd,nd
12/02/2001,"13,3669067202","-0,1769911502","28,2","13,5138478932","13,1773052063","13,3669067200","13,6418289150","14,47075","382,00",1000,PN *,nd,nd
13/02/2001,"13,6560490287","2,1631205674","28,81","13,5091078554","13,2721059632","13,5991685744","13,7413697097","13,14933","347,00",1000,PN *,nd,nd
14/02/2001,"13,2484057741","-2,9850746269","27,95","13,6513089907","13,1773052063","13,3811268336","13,8883108829","24,85446","761,00",1000,PN *,nd,nd
15/02/2001,"12,6322008544","-4,6511627905","26,65","13,2484057739","12,6322008542","13,0161439196","13,3669067200","22,16978","711,00",1000,PN *,nd,nd
16/02/2001,"11,8737947993","-6,0037523456","25,05","12,6085006650","11,7789940423","12,1013166157","12,6559010434","25,55631","1173,00",1000,PN *,nd,nd
19/02/2001,"11,8406145344","-0,2794411176","24,98","12,0396961237","11,8026942315","11,9306752533","12,2719579781","9,61225","478,00",1000,PN *,nd,nd
20/02/2001,"11,304990258","-4,5236188953","23,85","12,0870965022","11,2907701444","11,4945917717","12,1344968806","29,69806","981,00",1000,PN *,nd,nd
21/02/2001,"11,4471913933","1,2578616350","24,15","11,1864893118","10,8072862843","11,5040718473","11,8026942315","53,04738","1342,00",1000,PN *,nd,nd
22/02/2001,"11,9922957454","4,7619047622","25,3","11,6699731719","11,5656923393","11,7315936639","11,9922957453","29,49177","782,00",1000,PN *,nd,nd
23/02/2001,"12,1344968807","1,1857707508","25,6","11,8453545721","11,7552938531","11,9401553290","12,2387777132","13,78848","444,00",1000,PN *,nd,nd
28/02/2001,"11,6652331342","-3,8671874995","24,61","12,0823564643","11,4234912040","11,6747132097","12,0823564643","12,05939","318,00",1000,PN *,nd,nd
01/03/2001,"12,6037606273","8,0455099551","26,59","11,7552938531","11,6652331340","12,0349560859","12,6085006650","19,92394","559,00",1000,PN *,nd,nd
02/03/2001,"12,613240703","0,0752162468","26,61","12,5611002866","12,2292976375","12,7270016111","12,9877036925","16,77554","650,00",1000,PN *,nd,nd
05/03/2001,"12,764921914","1,2025554302","26,93","12,6559010434","12,6559010434","12,7838820652","13,0351040710","11,5823","411,00",1000,PN *,nd,nd
06/03/2001,"12,6085006651","-1,2253991834","26,6","12,7649219138","12,6085006650","12,8265424058","13,0208839574","16,0391","524,00",1000,PN *,nd,nd
07/03/2001,"12,5374000975","-0,5639097739","26,45","12,6085006650","12,5136999081","12,6748611948","12,8455025572","18,60901","470,00",1000,PN *,nd,nd
08/03/2001,"12,6085006651","0,5671077499","26,6","12,6559010434","12,4188991512","12,5658403244","12,8455025572","30,96271","555,00",1000,PN *,nd,nd
09/03/2001,"12,6559010436","0,3759398500","26,7","12,5800604379","12,3240983944","12,4805196432","12,6559010434","12,84471","328,00",1000,PN *,nd,nd
12/03/2001,"11,9922957454","-5,2434456931","25,3","12,4662995297","11,9922957453","12,4568194540","12,6085006650","13,68124","373,00",1000,PN *,nd,nd
13/03/2001,"11,7789940424","-1,7786561266","24,85","12,3193583565","11,7552938531","11,9780756317","12,3714987728","43,66113","742,00",1000,PN *,nd,nd
14/03/2001,"11,8500946101","0,6036217307",25,"11,7505538152","11,2812900687","11,6652331340","11,8974949884","26,9915","578,00",1000,PN *,nd,nd
15/03/2001,"12,0396961238","1,5999999994","25,4","12,0396961237","11,8500946100","12,0017758210","12,1818972590","21,99866","476,00",1000,PN *,nd,nd
16/03/2001,"12,1344968807","0,7874015749","25,6","12,0396961237","12,0396961237","12,1250168049","12,2909181294","20,00337","260,00",1000,PN *,nd,nd
19/03/2001,"11,8500946101","-2,3437499996",25,"12,2766980159","11,7789940423","11,9211951776","12,2766980159","12,10399","304,00",1000,PN *,nd,nd
20/03/2001,"11,5419921502","-2,6000000003","24,35","12,0396961237","11,4234912040","11,6747132097","12,1534570320","17,6861","414,00",1000,PN *,nd,nd
21/03/2001,"11,1011686307","-3,8193018480","23,42","11,6178327556","11,0916885549","11,3334304850","11,7552938531","13,64626","439,00",1000,PN *,nd,nd
22/03/2001,"10,243221781","-7,7284372325","21,61","10,9257872304","9,9540794724","10,2100415159","11,1864893118","45,89041","1086,00",1000,PN *,nd,nd
23/03/2001,"10,5655443544","3,1466913466","22,29","10,5987246191","9,7644779586","10,2527018565","10,7124855274","27,70428","800,00",1000,PN *,nd,nd
26/03/2001,"10,5702843922","0,0448631669","22,3","10,8546866627","10,4280832568","10,7172255652","10,9494874196","29,56563","743,00",1000,PN *,nd,nd
27/03/2001,"10,4991838245","-0,6726457402","22,15","10,7598859058","10,4423033703","10,6271648462","10,8072862843","14,60318","483,00",1000,PN *,nd,nd
28/03/2001,"10,1247208349","-3,5665914213","21,36","10,5513242407","10,0962806077","10,2053014781","10,5513242407","10,95249","484,00",1000,PN *,nd,nd
29/03/2001,"9,59857663417","-5,1966292138","20,25","10,2384817430","9,5748764448","9,9019390561","10,3238024242","17,19511","722,00",1000,PN *,nd,nd
30/03/2001,"9,62227682339","0,2469135802","20,3","9,7218176159","9,0534722801","9,3283944750","9,7218176159","25,12535","800,00",1000,PN *,nd,nd
02/04/2001,"9,00607190366","-6,4039408867",19,"9,7881781478","9,0060719036","9,2383337579","10,1436809861","18,05145","585,00",1000,PN *,nd,nd
03/04/2001,"9,00607190366","0,0000000000",19,"9,0392521685","8,7690700114","8,9254912602","9,1387929632","15,96393","577,00",1000,PN *,nd,nd
04/04/2001,"9,07717247132","0,7894736842","19,15","9,1008726604","8,7690700114","9,0866525469","9,2430737958","24,93815","727,00",1000,PN *,nd,nd
05/04/2001,"9,71707758027","7,0496083551","20,5","9,2335937201","9,2335937201","9,5938365962","9,8592787155","26,6912","680,00",1000,PN *,nd,nd
06/04/2001,"10,0062198888","2,9756097565","21,11","9,6270168611","9,4800756880","9,9588195102","10,1910813646","25,34041","775,00",1000,PN *,nd,nd
09/04/2001,"10,3332825","3,2685930834","21,8","10,1247208347","9,9682995859","10,2053014781","10,3806828783","12,25857","527,00",1000,PN *,nd,nd
10/04/2001,"10,6650851491","3,2110091744","22,5","10,4328232946","10,3806828783","10,7551458680","10,9494874196","20,98782","610,00",1000,PN *,nd,nd
11/04/2001,"10,2858821216","-3,5555555553","21,7","10,7598859058","10,2384817430","10,6034646570","10,9494874196","17,22941","539,00",1000,PN *,nd,nd
12/04/2001,"10,7504058303","4,5161290320","22,68","10,1484210240","9,9066790939","10,1768612510","10,7504058301","13,17196","432,00",1000,PN *,nd,nd
16/04/2001,"10,1863413268","-5,2469135807","21,49","10,5750244299","10,0725804185","10,2621819322","10,5750244299","8,17","313,00",1000,PN *,nd,nd
17/04/2001,"9,64123697476","-5,3513261980","20,34","10,1910813646","9,5748764448","9,7834381100","10,2384817430","16,25425","575,00",1000,PN *,nd,nd
18/04/2001,"10,8072862844","12,0943952803","22,8","9,9066790939","9,8592787155","10,5702843921","10,9020870412","25,64391","941,00",1000,PN *,nd,nd
19/04/2001,"10,5276240516","-2,5877192982","22,21","10,5845045056","10,4754836352","10,6650851490","10,9494874196","20,93879","562,00",1000,PN *,nd,nd
20/04/2001,"9,87823886697","-6,1683926159","20,84","10,0962806077","9,7644779586","9,9445993967","10,1958214024","16,36467","551,00",1000,PN *,nd,nd
23/04/2001,"10,1910813647","3,1669865645","21,5","9,9540794724","9,5985766341","9,8450586019","10,1910813646","19,4007","479,00",1000,PN *,nd,nd
24/04/2001,"10,0441401915","-1,4418604654","21,19","10,3759428405","9,9540794724","10,1484210240","10,3759428405","12,73569","382,00",1000,PN *,nd,nd
25/04/2001,"9,01081194151","-10,2878716374","19,01","9,4800756880","9,0108119414","9,1909333795","9,4895557636","44,39055","1450,00",1000,PN *,nd,nd
26/04/2001,"9,72046877564","7,8756147474","20,31","9,2562218662","9,2370776637","9,4237336373","9,7204687746","30,13786","686,00",1000,PN *ED,nd,nd
27/04/2001,"9,85926424314","1,4278680452","20,6","9,7300408758","9,7252548252","9,9214829000","10,1464272783","25,54668","661,00",1000,PN *ED,nd,nd
30/04/2001,"9,85926424314","0,0000000000","20,6","10,0507062663","9,5816733072","9,8544781915","10,1703575313","21,95967","555,00",1000,PN *ED,nd,nd
02/05/2001,"9,8066176865","-0,5339805825","20,49","9,3854452324","9,3806591818","9,5433849023","9,8114037361","21,11453","622,00",1000,PN *ED,nd,nd
03/05/2001,"9,78747348409","-0,1952171790","20,45","9,8114037361","9,6199617120","9,7587571795","9,9549852542","9,11797","323,00",1000,PN *ED,nd,nd
04/05/2001,"9,74439902865","-0,4400977996","20,36","9,8066176855","9,7108966734","9,8496921409","10,0028457602","8,92568","408,00",1000,PN *ED,nd,nd
07/05/2001,"9,57688725753","-1,7190569744","20,01","9,8114037361","9,5768872566","9,7300408758","9,8592642421","6,92558","338,00",1000,PN *ED,nd,nd
08/05/2001,"9,23707766469","-3,5482258869","19,3","9,6199617120","9,2322916131","9,3710870806","9,7396129771","10,07055","484,00",1000,PN *ED,nd,nd
09/05/2001,"9,31844052495","0,8808290155","19,47","9,2466497649","9,0934961457","9,2322916131","9,3519428782","13,5822","477,00",1000,PN *,nd,nd
10/05/2001,"9,50031044788","1,9517205957","19,85","9,5625291047","9,3806591818","9,5146685987","9,6438919650","9,4669","371,00",1000,PN *,nd,nd
11/05/2001,"9,18443110805","-3,3249370277","19,19","9,4763801939","8,9020541215","9,2275055625","9,5003104469","7,97239","434,00",1000,PN *,nd,nd
14/05/2001,"8,87812386943","-3,3350703491","18,55","9,1940032083","8,8063331095","8,9403425264","9,1940032083","12,37629","411,00",1000,PN *,nd,nd
15/05/2001,"9,00734723572","1,4555256064","18,82","8,9020541215","8,9020541215","9,0217053866","9,1413566517","9,96417","350,00",1000,PN *,nd,nd
16/05/2001,"9,14135665262","1,4877789585","19,1","9,0934961457","8,9068401721","9,0982821963","9,2370776637","10,76178","425,00",1000,PN *,nd,nd
17/05/2001,"9,28493817072","1,5706806282","19,4","9,2370776637","9,0934961457","9,3136544734","9,5242406999","10,55408","422,00",1000,PN *,nd,nd
