data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"6,30389504271",nd,"33,5","6,3979830276","6,2098070562","6,3189491196","6,3979830276","7,91976","153,00",1000,ON *EJ,nd,nd
03/01/2001,"6,95874742327","10,3880597015","36,98","6,1345366676","6,1345366676","6,5899225184","6,9625109418","9,96577","209,00",1000,ON *EJ,nd,nd
04/01/2001,"6,71788217984","-3,4613304489","35,7","6,8684229561","6,7178821789","6,9098216698","7,0547171677","7,72972","163,00",1000,ON *EJ,nd,nd
05/01/2001,"6,47325341699","-3,6414565826","34,4","6,8119701646","6,4732534161","6,5711049212","6,9060581503","6,24195","105,00",1000,ON *EJ,nd,nd
08/01/2001,"6,75551737413","4,3604651163","35,9","6,4920710133","6,4356182218","6,6576658681","6,9625109418","4,26443","91,00",1000,ON *EJ,nd,nd
09/01/2001,"7,09423412269","5,0139275765","37,7","6,9681562209","6,7743349704","6,9738015000","7,0942341217","11,82532","245,00",1000,ON *EJ,nd,nd
10/01/2001,"7,02084549384","-1,0344827585","37,31","7,0377813303","6,9060581503","6,9963826166","7,0942341217","9,35521","192,00",1000,ON *EJ,nd,nd
11/01/2001,"7,15445043355","1,9029750736","38,02","7,0170819735","6,9436933446","7,1356328354","7,2259573017","10,36088","204,00",1000,ON *EJ,nd,nd
12/01/2001,"7,30122769126","2,0515518148","38,8","7,2447748989","7,1525686729","7,3407446443","7,3953156760","13,42459","218,00",1000,ON *EJ,nd,nd
15/01/2001,"7,47058606554","2,3195876288","39,7","7,3012276903","7,2259573017","7,3652075205","7,4705860645","4,60302","104,00",1000,ON *EJ,nd,nd
16/01/2001,"7,28241009412","-2,5188916876","38,7","7,4705860645","7,2447748989","7,3125182486","7,4705860645","14,69835","216,00",1000,ON *EJ,nd,nd
17/01/2001,"7,48940366268","2,8423772608","39,8","7,2824100931","7,2824100931","7,4837583825","7,6004274848","11,22754","230,00",1000,ON *EJ,nd,nd
18/01/2001,"7,78860345725","3,9949748744","41,39","7,3388628846","7,3388628846","7,6851066719","7,9222083959","13,53318","226,00",1000,ON *EJ,nd,nd
19/01/2001,"7,65876203696","-1,6670693405","40,7","7,8093028131","7,6211268417","7,7453229828","7,9033907988","4,43322","82,00",1000,ON *EJ,nd,nd
22/01/2001,"7,7566135421","1,2776412776","41,22","7,6211268417","7,5834916474","7,6342991596","7,8093028131","4,13048","83,00",1000,ON *EJ,nd,nd
23/01/2001,"8,09344853095","4,3425521591","43,01","7,8093028131","7,7904852159","7,9560800707","8,1480195616","18,55903","249,00",1000,ON *,nd,nd
24/01/2001,"7,90339079982","-2,3482910949",42,"8,1480195616","7,9033907988","8,0633403744","8,1856547559","6,98125","104,00",1000,ON *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"8,09156677124","2,3809523808",43,"7,7152148274","7,7152148274","8,1197931659","8,4679187130","9,41744","182,00",1000,ON *,nd,nd
29/01/2001,"8,09533029067","0,0465116279","43,02","8,0915667702","8,0915667702","8,1894182753","8,2232899501","13,52698","82,00",1000,ON *,nd,nd
30/01/2001,"7,90339079982","-2,3709902370",42,"8,0915667702","7,8657556045","7,9805429470","8,1292019644","10,50111","141,00",1000,ON *,nd,nd
31/01/2001,"7,86575560553","-0,4761904762","41,8","7,9598435902","7,8657556045","7,9974787845","8,0915667702","10,72792","191,00",1000,ON *,nd,nd
01/02/2001,"7,48940366268","-4,7846889952","39,8","7,8093028131","7,4894036617","7,7076877885","7,8093028131","16,63984","317,00",1000,ON *,nd,nd
02/02/2001,"7,48940366268","0,0000000000","39,8","7,4875219020","7,4329508703","7,5213935768","7,6587620359","11,85954","160,00",1000,ON *,nd,nd
05/02/2001,"7,41413327411","-1,0050251256","39,4","7,4894036617","7,3388628846","7,4442414285","7,4894036617","8,13901","123,00",1000,ON *,nd,nd
06/02/2001,"7,5439746944","1,7512690356","40,09","7,7152148274","7,4329508703","7,5232753365","7,7152148274","7,72021","128,00",1000,ON *,nd,nd
07/02/2001,"7,54585645411","0,0249438762","40,1","7,3764980788","7,3764980788","7,4517684674","7,5834916474","5,31522","109,00",1000,ON *,nd,nd
08/02/2001,"7,82812041125","3,7406483791","41,6","7,5458564531","7,5458564531","7,7867216965","7,9033907988","9,62154","138,00",1000,ON *,nd,nd
09/02/2001,"7,83752920982","0,1201923076","41,65","7,7528500216","7,7528500216","7,8657556045","7,9598435902","5,73965","92,00",1000,ON *,nd,nd
12/02/2001,"7,92220839696","1,0804321728","42,1","7,9974787845","7,8469380073","7,9617253499","8,0915667702","13,6722","144,00",1000,ON *,nd,nd
