data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"6,70881885616",nd,90,"6,5604794139","6,4859369822","6,6640933939","6,7088188530","0,66872","66,00",1000,PN *,nd,nd
03/01/2001,"7,15532802226","6,6555555556","95,99","6,7013646098","6,6342764213","6,9078471456","7,2306158749","2,45992","123,00",1000,PN *,nd,nd
04/01/2001,"7,11880223071","-0,5104698406","95,5","7,1545825945","7,1188022273","7,3208122172","7,4542431700","4,1948","120,00",1000,PN *,nd,nd
05/01/2001,"7,22688875672","1,5183246072","96,95","6,7833612847","6,7833612847","7,1769453240","7,3797007383","1,29701","107,00",1000,PN *,nd,nd
08/01/2001,"7,30515831005","1,0830324910",98,"7,0815310115","7,0815310115","7,2626691205","7,3797007383","1,15658","56,00",1000,PN *,nd,nd
09/01/2001,"7,49151438938","2,5510204080","100,5","7,4542431700","7,3789553139","7,4549885943","7,5287856017","14,27847","180,00",1000,PN *,nd,nd
10/01/2001,"7,75017662751","3,4527363185","103,97","7,3066491552","7,3066491552","7,6845792839","7,8269553285","3,44115","113,00",1000,PN *,nd,nd
11/01/2001,"8,12512505913","4,8379340193",109,"7,5302764503","7,5302764503","7,9000069115","8,1251250553","9,96215","171,00",1000,PN *,nd,nd
12/01/2001,"7,97529477135","-1,8440366971","106,99","8,1996674870","7,7896841126","8,0632548369","8,2742099187","3,57071","90,00",1000,PN *,nd,nd
15/01/2001,"8,19892206655","2,8040003737","109,99","7,9760401919","7,9760401919","8,0580368667","8,1996674870","0,99136","86,00",1000,PN *,nd,nd
16/01/2001,"8,0505826274","-1,8092553868",108,"7,8344095716","7,8344095716","7,9730584946","8,0505826236","2,37788","58,00",1000,PN *,nd,nd
17/01/2001,"8,12512505913","0,9259259258",109,"8,0505826236","8,0505826236","8,1199070850","8,1996674870","1,90309","93,00",1000,PN *,nd,nd
18/01/2001,"8,57237964954","5,5045871559",115,"8,4232947821","8,1996674870","8,4769653329","9,0941766674","4,03488","162,00",1000,PN *,nd,nd
19/01/2001,"8,72146451301","1,7391304347",117,"8,9450918040","8,5723796455","8,6312681665","8,9450918040","6,89565","85,00",1000,PN *,nd,nd
22/01/2001,"8,57312507386","-1,7008547008","115,01","8,7214645089","8,4307490252","8,5455443700","8,7214645089","0,95617","49,00",1000,PN *,nd,nd
23/01/2001,"8,72146451301","1,7302843230",117,"8,6469220772","8,5716342211","8,6364861367","8,7952615162","6,21179","150,00",1000,PN *,nd,nd
24/01/2001,"8,6476675056","-0,8461538460","116,01","8,9450918040","8,5723796455","8,6364861367","8,9450918040","2,0845","67,00",1000,PN *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"8,53659928231","-1,2843720369","114,52","8,6476675015","8,5365992782","8,5895244047","8,6476675015","4,26615","127,00",1000,PN *,nd,nd
29/01/2001,"8,57237964954","0,4191407614",115,"8,5351084296","8,4605659979","8,5216907919","8,5723796455","2,20196","42,00",1000,PN *,nd,nd
30/01/2001,"8,57237964954","0,0000000000",115,"8,5723796455","8,4232947821","8,5358538539","8,5723796455","5,24921","74,00",1000,PN *,nd,nd
31/01/2001,"8,49783721781","-0,8695652173",114,"8,5723796455","8,4255310550","8,5708887968","8,7140102657","4,46015","109,00",1000,PN *,nd,nd
01/02/2001,"8,57237964954","0,8771929823",115,"8,2749553430","8,0505826236","8,1907223951","8,5723796455","2,46682","131,00",1000,PN *,nd,nd
02/02/2001,"8,52019994733","-0,6086956521","114,3","8,2816641618","8,2742099187","8,4598205736","8,5723796455","1,30292","58,00",1000,PN *,nd,nd
05/02/2001,"8,19146782338","-3,8582677165","109,89","8,3494977747","8,1251250553","8,1884861222","8,3494977747","2,15764","93,00",1000,PN *,nd,nd
06/02/2001,"8,12437963482","-0,8190008189","108,99","8,0513280479","8,0513280479","8,1318338741","8,1996674870","0,77239","62,00",1000,PN *,nd,nd
07/02/2001,"8,05281890035","-0,8808147536","108,03","7,8269553285","7,8269553285","7,9872215566","8,1251250553","0,74368","44,00",1000,PN *,nd,nd
08/02/2001,"8,57237964954","6,4519115060",115,"8,0505826236","8,0505826236","8,3002997697","8,5723796455","1,14054","67,00",1000,PN *,nd,nd
09/02/2001,"8,42329478607","-1,7391304347",113,"8,3487523504","8,3487523504","8,4121134173","8,4359669954","1,21548","47,00",1000,PN *,nd,nd
12/02/2001,"8,2742099226","-1,7699115044",111,"8,4232947821","8,2742099187","8,3524794719","8,4232947821","1,10263","50,00",1000,PN *,nd,nd
13/02/2001,"8,34875235434","0,9009009009",112,"8,1094711446","8,1094711446","8,2831550105","8,8698039479","1,2457","40,00",1000,PN *,nd,nd
14/02/2001,"8,42329478607","0,8928571427",113,"8,3405526829","8,2734644943","8,3748422014","8,5351084296","3,10447","181,00",1000,PN *,nd,nd
15/02/2001,"8,39347781338","-0,3539823008","112,6","8,4218039334","8,3860235662","8,4203130848","8,4240402064","2,29327","58,00",1000,PN *,nd,nd
16/02/2001,"8,19966749087","-2,3090586145",110,"8,3487523504","7,7531583211","8,0319470156","8,3487523504","1,24452","80,00",1000,PN *,nd,nd
19/02/2001,"7,94622322297","-3,0909090909","106,6","8,0513280479","7,8344095716","7,9469686435","8,0513280479","1,11201","36,00",1000,PN *,nd,nd
20/02/2001,"7,9387689798","-0,0938086303","106,5","7,9014977602","7,8269553285","7,9014977602","7,9387689760","2,72314","83,00",1000,PN *,nd,nd
