data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"8,37118595345",nd,13,"7,7336879458","7,7336879458","8,2230803553","8,3711859530","11,9889","344,00",1,ON  EJ,nd,nd
03/01/2001,"9,65906071552","15,3846153846",15,"8,3647465791","8,2102016077","9,1374714363","9,7878481912","20,05585","652,00",1,ON,nd,nd
04/01/2001,"9,2726982869","-3,9999999999","14,4","9,6590607150","9,1439108102","9,6912575840","10,3029980960","13,05305","469,00",1,ON,nd,nd
05/01/2001,"9,2726982869","0,0000000000","14,4","9,5302732388","8,9249721006","9,2147439221","9,9810294055","8,32773","344,00",1,ON,nd,nd
08/01/2001,"9,46587950121","2,0833333333","14,7","9,4336826316","9,0537595768","9,2791376602","9,4658795007","6,10639","267,00",1,ON,nd,nd
09/01/2001,"10,1742106203","7,4829931967","15,8","9,4658795007","9,4658795007","9,8908781721","10,2901193483","20,75373","584,00",1,ON,nd,nd
10/01/2001,"10,0389837703","-1,3291139238","15,59","10,0454231436","9,6912575840","9,9166356674","10,1355743769","13,56457","494,00",1,ON,nd,nd
11/01/2001,"9,4014857631","-6,3502245026","14,6","9,7878481912","9,1439108102","9,4723188745","9,8522419293","14,15704","621,00",1,ON,nd,nd
12/01/2001,"9,337092025","-0,6849315068","14,5","9,4336826316","8,9507295959","9,1761076792","9,7170150792","18,86922","576,00",1,ON,nd,nd
15/01/2001,"9,46587950121","1,3793103448","14,7","9,4014857626","9,2726982864","9,3692888935","9,5302732388","1,73686","117,00",1,ON,nd,nd
16/01/2001,"9,43368263216","-0,3401360544","14,65","9,6139850983","9,2726982864","9,3886070149","9,6139850983","3,81852","195,00",1,ON,nd,nd
17/01/2001,"9,81360568697","4,0273037542","15,24","9,4336826316","9,4336826316","9,6783788364","9,8522419293","6,03209","298,00",1,ON,nd,nd
18/01/2001,"10,2965587227","4,9212598420","15,99","9,9810294055","9,7814088173","10,1548924983","10,2965587221","17,80896","541,00",1,ON,nd,nd
19/01/2001,"10,084059387","-2,0637898682","15,66","10,3029980960","10,0776200126","10,1742106198","10,3673918341","3,50335","189,00",1,ON,nd,nd
22/01/2001,"9,85224192983","-2,2988505746","15,3","10,0711806388","9,6719394626","9,8200450602","10,1098168817","4,72355","198,00",1,ON,nd,nd
23/01/2001,"10,2901193489","4,4444444441","15,98","9,9166356674","9,9166356674","10,1742106198","10,2965587221","5,49046","229,00",1,ON,nd,nd
24/01/2001,"10,2708012275","-0,1877346680","15,95","10,3029980960","10,2064074888","10,3223162174","10,4961793103","6,78106","257,00",1,ON,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"10,1098168822","-1,5673981195","15,7","10,3029980960","9,7234544531","10,0196656483","10,3029980960","5,07178","177,00",1,ON,nd,nd
29/01/2001,"10,3094374704","1,9745222937","16,01","10,2064074888","10,1484531245","10,3029980960","10,3738312079","12,01128","293,00",1,ON,nd,nd
30/01/2001,"10,4961793109","1,8113678950","16,3","10,3029980960","10,1742106198","10,5283761793","10,6507242817","13,20311","341,00",1,ON,nd,nd
31/01/2001,"10,2386043584","-2,4539877308","15,9","10,5283761793","10,1420137507","10,3545130864","10,5605730484","5,58402","238,00",1,ON,nd,nd
01/02/2001,"9,91663566793","-3,1446540876","15,4","10,2386043579","9,9166356674","10,0647412650","10,3609524602","10,25268","372,00",1,ON,nd,nd
02/02/2001,"9,98102940603","0,6493506493","15,5","10,0969381340","9,8651206769","10,0261050221","10,1098168817","3,48514","126,00",1,ON,nd,nd
05/02/2001,"9,85224192983","-1,2903225805","15,3","9,9810294055","9,3435313983","9,8200450602","9,9810294055","3,40134","122,00",1,ON,nd,nd
06/02/2001,"10,0067869013","1,5686274512","15,54","9,8522419293","9,8522419293","9,9295144150","10,0132262745","1,36992","92,00",1,ON,nd,nd
07/02/2001,"9,85224192983","-1,5444015446","15,3","9,8522419293","9,7234544531","9,8007269388","9,8844387983","1,59436","85,00",1,ON,nd,nd
08/02/2001,"10,1355743775","2,8758169936","15,74","9,9810294055","9,7556513221","10,0261050221","10,1677712459","2,37246","104,00",1,ON,nd,nd
09/02/2001,"10,2064074894","0,6988564166","15,85","10,2064074888","9,9745900316","10,1291350031","10,2192862364","9,55289","178,00",1,ON,nd,nd
12/02/2001,"10,2064074894","0,0000000000","15,85","10,2386043579","10,1613318721","10,2192862364","10,3029980960","3,72464","145,00",1,ON,nd,nd
13/02/2001,"10,3029980966","0,9463722401",16,"10,2708012269","10,2386043579","10,3094374698","10,3673918341","4,58693","137,00",1,ON,nd,nd
14/02/2001,"10,3029980966","0,0000000000",16,"10,2386043579","10,1999681150","10,3351949650","10,4897399364","4,27697","198,00",1,ON,nd,nd
15/02/2001,"10,2708012275","-0,3125000004","15,95","10,3995887031","10,1742106198","10,2901193483","10,4961793103","2,70989","114,00",1,ON,nd,nd
16/02/2001,"9,85224192983","-4,0752351096","15,3","10,0454231436","9,6655000888","9,9488325364","10,1742106198","3,39074","174,00",1,ON,nd,nd
19/02/2001,"9,91663566793","0,6535947712","15,4","9,9166356674","9,7298938269","9,8651206769","10,0454231436","1,53854","57,00",1,ON,nd,nd
20/02/2001,"9,94883253698","0,3246753246","15,45","9,9166356674","9,7298938269","9,9230750412","9,9810294055","4,27942","94,00",1,ON,nd,nd
21/02/2001,"9,78784819172","-1,6181229773","15,2","10,1098168817","9,6719394626","9,7878481912","10,1098168817","2,1752","110,00",1,ON,nd,nd
22/02/2001,"9,71701507981","-0,7236842104","15,09","9,7749694435","9,5946669769","9,6719394626","9,7878481912","2,71898","117,00",1,ON,nd,nd
23/02/2001,"9,84580255602","1,3253810470","15,29","9,7170150792","9,5624701078","9,6268638459","9,8522419293","2,49083","103,00",1,ON,nd,nd
28/02/2001,"10,0132262751","1,7004578156","15,55","9,8458025554","9,8264844340","9,9745900316","10,1742106198","2,19109","98,00",1,ON,nd,nd
01/03/2001,"10,1033775084","0,9003215429","15,69","9,9810294055","9,8522419293","10,0132262745","10,2386043579","3,3106","91,00",1,ON,nd,nd
02/03/2001,"10,2321649846","1,2746972593","15,89","10,2386043579","10,0389837697","10,2128468626","10,2836799745","1,39466","65,00",1,ON,nd,nd
05/03/2001,"10,1162562561","-1,1327879160","15,71","10,2321649840","10,0454231436","10,1355743769","10,2386043579","1,25784","73,00",1,ON,nd,nd
06/03/2001,"10,1033775084","-0,1273074482","15,69","10,1742106198","9,9488325364","10,0840593864","10,2386043579","2,71143","95,00",1,ON,nd,nd
