data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"0,552549879757",nd,"16,81","0,5768739071","0,5423600836","0,5555082068","0,5785174225","2,42955","173,00",1000,PN *EJ,nd,nd
03/01/2001,"0,598239608065","8,2688875668","18,2","0,5538646914","0,5423600836","0,5640544869","0,6081006998","3,94529","217,00",1000,PN *EJ,nd,nd
04/01/2001,"0,62124882376","3,8461538461","18,9","0,6081006998","0,5982396074","0,6330821340","0,6567487558","6,01546","373,00",1000,PN *EJ,nd,nd
05/01/2001,"0,621577526841","0,0529100528","18,91","0,6281515877","0,6215775261","0,6350543524","0,6508321003","2,68613","207,00",1000,PN *EJ,nd,nd
08/01/2001,"0,645901554862","3,9132734004","19,65","0,6228923384","0,6209201200","0,6297951031","0,6459015541","2,14714","139,00",1000,PN *EJ,nd,nd
09/01/2001,"0,642614524048","-0,5089058524","19,55","0,6468876634","0,6396561956","0,6429432264","0,6508321003","5,28272","262,00",1000,PN *EJ,nd,nd
10/01/2001,"0,648859882594","0,9718670077","19,74","0,6409710079","0,6376839771","0,6478737726","0,6551052404","2,34982","143,00",1000,PN *EJ,nd,nd
11/01/2001,"0,634396947014","-2,2289766971","19,3","0,6426145233","0,6317673216","0,6399848987","0,6482024757","8,33227","196,00",1000,PN *EJ,nd,nd
12/01/2001,"0,629466400794","-0,7772020724","19,15","0,6570774589","0,6212488230","0,6373552740","0,6574061620","1,76639","143,00",1000,PN *,nd,nd
15/01/2001,"0,637683977828","1,3054830287","19,4","0,6265080723","0,6265080723","0,6389987894","0,6439293356","0,42595","61,00",1000,PN *,nd,nd
16/01/2001,"0,632753431607","-0,7731958763","19,25","0,6409710079","0,6278228847","0,6327534309","0,6412997110","2,42959","76,00",1000,PN *,nd,nd
17/01/2001,"0,634068243933","0,2077922078","19,29","0,6353830555","0,6245358539","0,6357117586","0,6426145233","4,83907","182,00",1000,PN *,nd,nd
18/01/2001,"0,654119131895","3,1622602383","19,9","0,6376839771","0,6278228847","0,6455728510","0,6606931928","4,0937","229,00",1000,PN *,nd,nd
19/01/2001,"0,680415378404","4,0201005026","20,7","0,6574061620","0,6574061620","0,6728552068","0,6912625793","6,05496","297,00",1000,PN *,nd,nd
22/01/2001,"0,690605173926","1,4975845410","21,01","0,6869894392","0,6741700191","0,6938922039","0,7034245933","11,43377","451,00",1000,PN *,nd,nd
23/01/2001,"0,716572717353","3,7601142313","21,8","0,6955357193","0,6955357193","0,7073690303","0,7198597473","10,56109","341,00",1000,PN *,nd,nd
24/01/2001,"0,742868963861","3,6697247705","22,6","0,7228180751","0,7149292011","0,7290634336","0,7428689630","7,23808","336,00",1000,PN *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
