data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"0,549166735815",nd,"33,75","0,5450988311","0,5369630277","0,5444479668","0,5491667328","0,09035","9,00",1000,PN *EJ,nd,nd
03/01/2001,"0,561370441056","2,2222222223","34,5","0,5369630277","0,5369630277","0,5540482149","0,5693435254","0,36434","12,00",1000,PN *EJ,nd,nd
04/01/2001,"0,598632421056","6,6376811593","36,79","0,5693435254","0,5693435254","0,5839879716","0,6004222946","1,90967","57,00",1000,PN *EJ,nd,nd
05/01/2001,"0,591635630052","-1,1687958683","36,36","0,5939136518","0,5776420449","0,5859405644","0,5986324178","2,07434","26,00",1000,PN *EJ,nd,nd
08/01/2001,"0,585777851537","-0,9900990098",36,"0,5808963663","0,5776420449","0,5810590823","0,5857778484","0,12501","7,00",1000,PN *EJ,nd,nd
09/01/2001,"0,585615135467","-0,0277777777","35,99","0,5857778484","0,5776420449","0,5854524162","0,5857778484","2,21641","57,00",1000,PN *EJ,nd,nd
10/01/2001,"0,580570937301","-0,8613503751","35,68","0,5849642680","0,5784556252","0,5805709341","0,5849642680","0,29618","18,00",1000,PN *EJ,nd,nd
11/01/2001,"0,577479331973","-0,5325112108","35,49","0,5805709341","0,5743877235","0,5784556252","0,5805709341","0,13509","12,00",1000,PN *EJ,nd,nd
12/01/2001,"0,577642048043","0,0281769512","35,5","0,5792692056","0,5695062415","0,5729232789","0,5857778484","0,32045","26,00",1000,PN *,nd,nd
15/01/2001,"0,58170994979","0,7042253521","35,75","0,5776420449","0,5727605628","0,5732487110","0,5817099466","0,13388","6,00",1000,PN *,nd,nd
16/01/2001,"0,572760565947","-1,5384615384","35,2","0,5735741432","0,5695062415","0,5716215503","0,5735741432","0,2143","11,00",1000,PN *,nd,nd
17/01/2001,"0,573574146296","0,1420454544","35,25","0,5735741432","0,5695062415","0,5711334021","0,5735741432","0,70924","28,00",1000,PN *,nd,nd
18/01/2001,"0,579269208742","0,9929078015","35,6","0,5808963663","0,5735741432","0,5787810574","0,5825235270","2,30506","65,00",1000,PN *,nd,nd
19/01/2001,"0,595540815729","2,8089887640","36,6","0,5849642680","0,5849642680","0,5939136518","0,5971679732","0,58405","36,00",1000,PN *,nd,nd
