data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"0,220307331255",nd,"1,9","0,2145097697","0,2145097697","0,2191478188","0,2226263556","6,65106","215,00",1,PN  EJ,nd,nd
03/01/2001,"0,235380990762","6,8421052631","2,03","0,2203073311","0,2168287943","0,2249453801","0,2388595274","11,74115","361,00",1,PN  EJ,nd,nd
04/01/2001,"0,233061966222","-0,9852216750","2,01","0,2307429415","0,2272644047","0,2319024538","0,2365405028","4,78422","255,00",1,PN  EJ,nd,nd
05/01/2001,"0,228423917143","-1,9900497512","1,97","0,2272644047","0,2261048924","0,2307429415","0,2365405028","6,63983","201,00",1,PN  EJ,nd,nd
08/01/2001,"0,230742941683","1,0152284266","1,99","0,2261048924","0,2261048924","0,2295834292","0,2330619660","3,34045","135,00",1,PN  EJ,nd,nd
09/01/2001,"0,231902453953","0,5025125629",2,"0,2330619660","0,2307429415","0,2330619660","0,2353809906","10,08105","273,00",1,PN,nd,nd
10/01/2001,"0,235380990762","1,4999999998","2,03","0,2284239169","0,2284239169","0,2319024538","0,2353809906","5,68167","161,00",1,PN,nd,nd
11/01/2001,"0,233061966222","-0,9852216750","2,01","0,2295834292","0,2295834292","0,2307429415","0,2342214783","4,94382","153,00",1,PN,nd,nd
12/01/2001,"0,228423917143","-1,9900497512","1,97","0,2330619660","0,2261048924","0,2272644047","0,2330619660","4,10565","113,00",1,PN,nd,nd
15/01/2001,"0,230742941683","1,0152284266","1,99","0,2307429415","0,2284239169","0,2295834292","0,2307429415","1,10426","69,00",1,PN,nd,nd
16/01/2001,"0,231902453953","0,5025125629",2,"0,2307429415","0,2295834292","0,2307429415","0,2319024538","2,71332","111,00",1,PN,nd,nd
17/01/2001,"0,233061966222","0,4999999996","2,01","0,2319024538","0,2295834292","0,2330619660","0,2365405028","3,84076","193,00",1,PN,nd,nd
18/01/2001,"0,242338064381","3,9800995028","2,09","0,2353809906","0,2342214783","0,2365405028","0,2423380642","12,75046","251,00",1,PN,nd,nd
