data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"796,61934616",nd,"15,8","794,0983988605","794,0983988605","799,1402934564","806,7031353504","0,01427","3,00",1000,ON *ERJ,nd,nd
03/01/2001,"831,912608332","4,4303797468","16,5","806,1989458924","806,1989458924","827,3749031953","831,9126083317","0,01477","4,00",1000,ON *ANT,nd,nd
04/01/2001,"854,601134014","2,7272727272","16,95","831,9126083317","831,9126083317","846,5341026600","867,2058705034","0,02015","5,00",1000,ON *ERJ,nd,nd
05/01/2001,"811,745029948","-5,0147492625","16,1","811,7450299479","811,7450299479","811,7450299479","811,7450299479","0,00483","1,00",1000,ON *ERJ,nd,nd
08/01/2001,"822,837198059","1,3664596273","16,32","822,8371980574","822,8371980574","822,8371980574","822,8371980574","0,00163","1,00",1000,ON *ERJ,nd,nd
09/01/2001,"824,349766438","0,1838235294","16,35","824,3497664378","824,3497664378","824,3497664378","824,3497664378","0,00491","1,00",1000,ON *ANT,nd,nd
10/01/2001,"844,517344822","2,4464831804","16,75","844,5173448216","844,5173448216","844,5173448216","844,5173448216","0,0067","1,00",1000,ON *ANT,nd,nd
11/01/2001,"831,912608332","-1,4925373134","16,5","831,9126083317","831,9126083317","831,9126083317","831,9126083317","0,00165","1,00",1000,ON *ANT,nd,nd
12/01/2001,"841,996397524","1,2121212121","16,7","841,9963975236","841,9963975236","841,9963975236","841,9963975236","0,1503","6,00",1000,ON *ANT,nd,nd
15/01/2001,"841,996397524","0,0000000000","16,7","841,9963975236","841,9963975236","855,6095129327","857,1220813115","0,08999","9,00",1000,ON *ANT,nd,nd
16/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
17/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
18/01/2001,"821,82881914","-2,3952095808","16,3","821,8288191398","821,8288191398","821,8288191398","821,8288191398","0,00163","1,00",1000,ON *ANT,nd,nd
19/01/2001,"821,82881914","0,0000000000","16,3","831,9126083317","816,7869245439","825,8623348166","836,9545029277","2,07143","28,00",1000,ON *ANT,nd,nd
22/01/2001,"821,82881914","0,0000000000","16,3","831,9126083317","816,7869245439","823,3413875186","831,9126083317","0,19439","14,00",1000,ON *ANT,nd,nd
23/01/2001,"845,525723741","2,8834355828","16,77","824,3497664378","824,3497664378","834,9377450893","845,5257237408","0,00331","2,00",1000,ON *ANT,nd,nd
24/01/2001,"877,289659695","3,7567084078","17,4","847,0382921179","847,0382921179","877,7938491531","882,3315542895","0,02264","7,00",1000,ON *ANT,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"897,457238079","2,2988505747","17,8","897,4572380773","897,4572380773","897,4572380773","897,4572380773","0,0089","1,00",1000,ON *ANT,nd,nd
29/01/2001,"918,129005923","2,3033707865","18,21","918,1290059224","918,1290059224","918,1290059224","918,1290059224","0,01821","2,00",1000,ON *ANT,nd,nd
30/01/2001,"917,624816463","-0,0549148819","18,2","932,7505002507","917,6248164629","950,3971313365","957,9599732305","0,06976","5,00",1000,ON *ANT,nd,nd
31/01/2001,"913,087111327","-0,4945054944","18,11","910,0619745689","910,0619745689","910,5661640285","913,0871113265","0,01626","3,00",1000,ON *ANT,nd,nd
01/02/2001,"882,331554291","-3,3683048040","17,5","894,9362907793","882,3315542895","891,4069645621","894,9362907793","0,00708","2,00",1000,ON *ANT,nd,nd
02/02/2001,"857,122081312","-2,8571428570",17,"857,1220813115","857,1220813115","857,1220813115","857,1220813115","0,0085","1,00",1000,ON *ANT,nd,nd
05/02/2001,"841,996397524","-1,7647058823","16,7","841,9963975236","841,9963975236","841,9963975236","841,9963975236","0,01169","3,00",1000,ON *ANT,nd,nd
06/02/2001,"847,03829212","0,5988023952","16,8","847,0382921196","847,0382921196","847,0382921196","847,0382921196","0,01008","2,00",1000,ON *ANT,nd,nd
