data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"1,19044963959",nd,"47,09","1,1578380422","1,1578380422","1,1924720623","1,2076402462","47,94851","674,00",1,PN,nd,nd
03/01/2001,"1,25516722458","5,4363983857","49,65","1,1907024408","1,1780622875","1,2276116884","1,2564312380","92,18237","1232,00",1,PN,nd,nd
04/01/2001,"1,2640153319","0,7049345415",50,"1,2571896472","1,2531447981","1,2609816932","1,2678073759","71,92835","996,00",1,PN,nd,nd
05/01/2001,"1,25213358778","-0,9400000000","49,53","1,2640153300","1,2463191153","1,2688185882","1,2918236672","64,8817","917,00",1,PN,nd,nd
08/01/2001,"1,24859434485","-0,2826569756","49,39","1,2640153300","1,2412630540","1,2533976012","1,2715994219","55,7296","678,00",1,PN,nd,nd
09/01/2001,"1,27488586376","2,1056894113","50,43","1,2640153300","1,2539032073","1,2708410127","1,2817115446","68,31271","846,00",1,PN,nd,nd
10/01/2001,"1,2662905595","-0,6742018642","50,09","1,2715994219","1,2539032073","1,2670489667","1,2817115446","61,50623","688,00",1,PN,nd,nd
11/01/2001,"1,28423957721","1,4174485922","50,8","1,2665433606","1,2640153300","1,2822171507","1,2915708641","54,69837","616,00",1,PN,nd,nd
12/01/2001,"1,29687973053","0,9842519685","51,3","1,2905596519","1,2867676059","1,2978909408","1,3095198818","62,22425","612,00",1,PN,nd,nd
15/01/2001,"1,29687973053","0,0000000000","51,3","1,3019357899","1,2892956366","1,3009245776","1,3069918512","15,2904","317,00",1,PN,nd,nd
16/01/2001,"1,32544647703","2,2027290447","52,43","1,2968797285","1,2968797285","1,3221600351","1,3348001884","79,42784","934,00",1,PN,nd,nd
17/01/2001,"1,34946276834","1,8119397294","53,38","1,3385922344","1,3378338252","1,3572996613","1,3853608016","126,00642","1484,00",1,PN,nd,nd
18/01/2001,"1,36766458912","1,3488197827","54,1","1,3487043571","1,3398562498","1,3575524644","1,3752486790","66,13161","754,00",1,PN,nd,nd
19/01/2001,"1,39724254789","2,1626617377","55,27","1,3777767097","1,3297441271","1,3924392875","1,4028042132","103,64902","1096,00",1,PN,nd,nd
22/01/2001,"1,38030474244","-1,2122308668","54,6","1,3904168630","1,3752486790","1,3833383771","1,3954729243","53,81369","613,00",1,PN,nd,nd
23/01/2001,"1,41089391347","2,2161172159","55,81","1,3878888323","1,3853608016","1,4058378500","1,4207532309","77,64207","826,00",1,PN,nd,nd
24/01/2001,"1,39294489576","-1,2721734454","55,1","1,4108939113","1,3904168630","1,4065962592","1,4232812615","67,87569","628,00",1,PN,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"1,37398466578","-1,3611615246","54,35","1,3904168630","1,3575524644","1,3742374667","1,3904168630","44,30024","637,00",1,PN,nd,nd
29/01/2001,"1,37524868111","0,0919963200","54,4","1,4030570163","1,3550244337","1,3727206483","1,4030570163","45,06392","545,00",1,PN,nd,nd
30/01/2001,"1,37651269644","0,0919117645","54,45","1,3752486790","1,3648837533","1,3775239066","1,3878888323","42,86284","533,00",1,PN,nd,nd
31/01/2001,"1,37802951484","0,1101928375","54,51","1,3765126943","1,3701926177","1,3853608016","1,4002761825","59,60167","662,00",1,PN,nd,nd
01/02/2001,"1,36008049713","-1,3025133000","53,8","1,3777767097","1,3499683724","1,3585636766","1,3853608016","73,39653","741,00",1,PN,nd,nd
02/02/2001,"1,36008049713","0,0000000000","53,8","1,3474403417","1,3474403417","1,3621029196","1,3739846637","29,5382","388,00",1,PN,nd,nd
05/02/2001,"1,3550244358","-0,3717472120","53,6","1,3600804950","1,3474403417","1,3540132214","1,3651365564","36,63461","341,00",1,PN,nd,nd
06/02/2001,"1,37044542285","1,1380597015","54,21","1,3727206483","1,3550244337","1,3638725410","1,3904168630","43,02213","518,00",1,PN,nd,nd
07/02/2001,"1,36791739219","-0,1844678100","54,11","1,3689286023","1,3398562498","1,3600804950","1,3777767097","49,02012","583,00",1,PN,nd,nd
08/02/2001,"1,40836588281","2,9569395674","55,71","1,3878888323","1,3777767097","1,3947145151","1,4106411082","48,4736","623,00",1,PN,nd,nd
09/02/2001,"1,4159499748","0,5385029616","56,01","1,4083658806","1,3980009549","1,4116523205","1,4220172462","41,07087","406,00",1,PN,nd,nd
12/02/2001,"1,40861868587","-0,5177646852","55,72","1,4156971696","1,4030570163","1,4151915634","1,4333933842","31,89216","432,00",1,PN,nd,nd
13/02/2001,"1,44097747837","2,2972002873",57,"1,4093770929","1,4030570163","1,4288429290","1,4409774762","47,13406","524,00",1,PN,nd,nd
14/02/2001,"1,4715666494","2,1228070174","58,21","1,4308653535","1,4258092922","1,4556400540","1,4738418747","76,43471","911,00",1,PN,nd,nd
15/02/2001,"1,46398255741","-0,5153753649","57,91","1,4409774762","1,4409774762","1,4677746011","1,4862292250","68,33229","632,00",1,PN,nd,nd
16/02/2001,"1,42606209745","-2,5902262132","56,41","1,4612017214","1,4035626224","1,4293485351","1,4687858134","85,68619","903,00",1,PN,nd,nd
19/02/2001,"1,40684906441","-1,3472788509","55,65","1,4258092922","1,3985065611","1,4088714868","1,4308653535","58,25605","757,00",1,PN,nd,nd
20/02/2001,"1,44097747837","2,4258760106",57,"1,4081130776","1,4033098193","1,4177195941","1,4409774762","56,66725","558,00",1,PN,nd,nd
21/02/2001,"1,41190512574","-2,0175438593","55,85","1,4356686118","1,3904168630","1,4119051236","1,4384494455","47,71251","642,00",1,PN,nd,nd
22/02/2001,"1,41569717173","0,2685765439",56,"1,4156971696","1,3954729243","1,4111467144","1,4207532309","57,22393","582,00",1,PN,nd,nd
23/02/2001,"1,40811307974","-0,5357142856","55,7","1,4144331542","1,3904168630","1,4002761825","1,4182252002","38,80303","427,00",1,PN,nd,nd
28/02/2001,"1,3881416375","-1,4183123875","54,91","1,4662577828","1,3853608016","1,4136747450","1,4662577828","45,08874","327,00",1,PN,nd,nd
01/03/2001,"1,41316914107","1,8029502821","55,9","1,3891528476","1,3757542851","1,3921864844","1,4207532309","33,64948","475,00",1,PN,nd,nd
02/03/2001,"1,42833732505","1,0733452591","56,5","1,4068490622","1,3980009549","1,4220172462","1,4409774762","38,13003","467,00",1,PN,nd,nd
05/03/2001,"1,43844944771","0,7079646021","56,9","1,4308653535","1,4207532309","1,4316237627","1,4498255835","36,44474","448,00",1,PN,nd,nd
06/03/2001,"1,43971346304","0,0878734620","56,95","1,4384494455","1,4159499726","1,4422414915","1,4561456601","46,83803","467,00",1,PN,nd,nd
07/03/2001,"1,44856157036","0,6145741876","57,3","1,4536176295","1,4283373229","1,4445167191","1,4561456601","31,57755","451,00",1,PN,nd,nd
08/03/2001,"1,44856157036","0,0000000000","57,3","1,4485615681","1,4283373229","1,4485615681","1,4612017214","56,96488","628,00",1,PN,nd,nd
09/03/2001,"1,44350550903","-0,3490401397","57,1","1,4455279313","1,4280845198","1,4392078547","1,4485615681","34,27971","384,00",1,PN,nd,nd
12/03/2001,"1,37828231791","-4,5183887911","54,52","1,4435055068","1,3782823158","1,4177195941","1,4435055068","36,05397","387,00",1,PN,nd,nd
13/03/2001,"1,39041686509","0,8804108579",55,"1,3853608016","1,3777767097","1,3853608016","1,4005289856","56,62648","614,00",1,PN,nd,nd
14/03/2001,"1,36513655846","-1,8181818176",54,"1,3878888323","1,3449123111","1,3603332981","1,3929448936","55,06673","578,00",1,PN,nd,nd
15/03/2001,"1,27286343923","-6,7592592593","50,35","1,3775239066","1,2589592686","1,3001661684","1,3777767097","164,70681","1802,00",1,PN,nd,nd
16/03/2001,"1,29106526001","1,4299900695","51,07","1,2632569208","1,2437910847","1,2837339691","1,3196320045","98,42385","1447,00",1,PN,nd,nd
19/03/2001,"1,29157086614","0,0391619343","51,09","1,3069918512","1,2640153300","1,2781723016","1,3092670788","49,50153","656,00",1,PN,nd,nd
20/03/2001,"1,26148730124","-2,3292229399","49,9","1,2968797285","1,2539032073","1,2698298005","1,3019357899","103,53735","1046,00",1,PN,nd,nd
21/03/2001,"1,28676760788","2,0040080161","50,9","1,2564312380","1,2488471460","1,2733690434","1,3019357899","71,87043","615,00",1,PN,nd,nd
22/03/2001,"1,21092668796","-5,8939096271","47,9","1,2640153300","1,1831183488","1,2240724455","1,2642681330","98,81321","1047,00",1,PN,nd,nd
23/03/2001,"1,22584206888","1,2317327769","48,49","1,2159827474","1,1631469066","1,1907024408","1,2387350234","69,40845","981,00",1,PN,nd,nd
26/03/2001,"1,26088129649","2,8583802513","47,5","1,2741537264","1,2422998832","1,2606158430","1,2741537264","52,99581","681,00",1,PN  EX,nd,nd
27/03/2001,"1,28981520413","2,2947368416","48,59","1,2664557143","1,2476088571","1,2839753280","1,3001676983","49,18784","667,00",1,PN  EDJ,nd,nd
28/03/2001,"1,2823826407","-0,5762502571","48,31","1,2868952636","1,2768082133","1,2829135332","1,3137055816","24,27638","322,00",1,PN  EDJ,nd,nd
29/03/2001,"1,24760886179","-2,7116539016",47,"1,2823826358","1,2343364224","1,2643321247","1,2980441087","32,84077","462,00",1,PN  EDJ,nd,nd
30/03/2001,"1,24681251571","-0,0638297870","46,97","1,2505287927","1,2104460400","1,2290274485","1,2505287927","47,88621","490,00",1,PN  EDJ,nd,nd
02/04/2001,"1,19319187952","-4,3006174155","44,95","1,2526523822","1,1839011707","1,2040752714","1,2526523822","44,41541","576,00",1,PN  EDJ,nd,nd
03/04/2001,"1,19319187952","0,0000000000","44,95","1,1971736054","1,1839011707","1,1929264263","1,1998280923","29,4415","536,00",1,PN  EDJ,nd,nd
04/04/2001,"1,22902745321","3,0033370411","46,3","1,1998280923","1,1998280923","1,2255766155","1,2396453963","46,00035","573,00",1,PN  EDJ,nd,nd
