data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,309,nd,"2,06","316,5000000000","306,0000000000","318,0000000000","325,5000000000","25,83236","538,00",1,PN,nd,nd
03/01/2001,"343,5","11,1650485436","2,29","310,5000000000","301,5000000000","321,0000000000","346,5000000000","46,95634","973,00",1,PN,nd,nd
04/01/2001,351,"2,1834061135","2,34","342,0000000000","339,0000000000","352,5000000000","360,0000000000","33,98458","741,00",1,PN,nd,nd
05/01/2001,333,"-5,1282051282","2,22","351,0000000000","328,5000000000","336,0000000000","354,0000000000","32,32247","708,00",1,PN,nd,nd
08/01/2001,"340,5","2,2522522522","2,27","330,0000000000","327,0000000000","334,5000000000","343,5000000000","30,05188","607,00",1,PN,nd,nd
09/01/2001,"346,5","1,7621145374","2,31","345,0000000000","339,0000000000","346,5000000000","355,5000000000","43,18506","861,00",1,PN,nd,nd
10/01/2001,342,"-1,2987012987","2,28","345,0000000000","337,5000000000","343,5000000000","351,0000000000","27,62665","524,00",1,PN,nd,nd
11/01/2001,"346,5","1,3157894736","2,31","340,5000000000","340,5000000000","343,5000000000","349,5000000000","22,17675","449,00",1,PN,nd,nd
12/01/2001,"340,5","-1,7316017316","2,27","346,5000000000","340,5000000000","343,5000000000","351,0000000000","14,07975","342,00",1,PN,nd,nd
15/01/2001,345,"1,3215859030","2,3","339,0000000000","339,0000000000","343,5000000000","348,0000000000","5,45179","192,00",1,PN,nd,nd
16/01/2001,336,"-2,6086956521","2,24","346,5000000000","336,0000000000","340,5000000000","348,0000000000","13,43873","324,00",1,PN,nd,nd
17/01/2001,"352,5","4,9107142857","2,35","342,0000000000","340,5000000000","348,0000000000","354,0000000000","18,90838","547,00",1,PN,nd,nd
18/01/2001,357,"1,2765957446","2,38","354,0000000000","349,5000000000","354,0000000000","360,0000000000","24,78346","538,00",1,PN,nd,nd
19/01/2001,351,"-1,6806722689","2,34","357,0000000000","351,0000000000","357,0000000000","366,0000000000","41,10135","587,00",1,PN,nd,nd
22/01/2001,348,"-0,8547008547","2,32","355,5000000000","345,0000000000","348,0000000000","355,5000000000","18,87824","324,00",1,PN,nd,nd
23/01/2001,"352,5","1,2931034482","2,35","346,5000000000","345,0000000000","352,5000000000","357,0000000000","23,85676","400,00",1,PN,nd,nd
24/01/2001,348,"-1,2765957446","2,32","357,0000000000","343,5000000000","349,5000000000","358,5000000000","16,12265","388,00",1,PN,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,345,"-0,8620689655","2,3","351,0000000000","339,0000000000","343,5000000000","352,5000000000","19,59759","434,00",1,PN,nd,nd
29/01/2001,"337,5","-2,1739130434","2,25","348,0000000000","334,5000000000","337,5000000000","348,0000000000","23,39395","572,00",1,PN,nd,nd
30/01/2001,330,"-2,2222222222","2,2","337,5000000000","328,5000000000","331,5000000000","339,0000000000","19,39409","475,00",1,PN,nd,nd
31/01/2001,"328,5","-0,4545454545","2,19","330,0000000000","325,5000000000","330,0000000000","334,5000000000","29,59387","601,00",1,PN,nd,nd
01/02/2001,"307,5","-6,3926940639","2,05","328,5000000000","307,5000000000","315,0000000000","328,5000000000","33,63885","811,00",1,PN,nd,nd
02/02/2001,"307,5","0,0000000000","2,05","307,5000000000","303,0000000000","307,5000000000","312,0000000000","13,99608","486,00",1,PN,nd,nd
05/02/2001,300,"-2,4390243902",2,"306,0000000000","291,0000000000","295,5000000000","309,0000000000","13,98554","501,00",1,PN,nd,nd
06/02/2001,300,"0,0000000000",2,"301,5000000000","294,0000000000","300,0000000000","306,0000000000","15,54773","521,00",1,PN,nd,nd
07/02/2001,"292,5","-2,5000000000","1,95","300,0000000000","291,0000000000","292,5000000000","300,0000000000","12,59764","429,00",1,PN,nd,nd
08/02/2001,"298,5","2,0512820512","1,99","295,5000000000","295,5000000000","298,5000000000","304,5000000000","22,61176","461,00",1,PN,nd,nd
09/02/2001,303,"1,5075376884","2,02","301,5000000000","297,0000000000","300,0000000000","304,5000000000","14,38085","381,00",1,PN,nd,nd
12/02/2001,"289,5","-4,4554455445","1,93","304,5000000000","289,5000000000","297,0000000000","304,5000000000","14,08766","466,00",1,PN,nd,nd
13/02/2001,303,"4,6632124352","2,02","292,5000000000","288,0000000000","295,5000000000","303,0000000000","12,3112","397,00",1,PN,nd,nd
14/02/2001,"301,5","-0,4950495049","2,01","297,0000000000","295,5000000000","301,5000000000","306,0000000000","22,57426","556,00",1,PN,nd,nd
15/02/2001,297,"-1,4925373134","1,98","300,0000000000","297,0000000000","298,5000000000","303,0000000000","10,82521","281,00",1,PN,nd,nd
16/02/2001,282,"-5,0505050505","1,88","295,5000000000","280,5000000000","288,0000000000","297,0000000000","28,77234","718,00",1,PN,nd,nd
19/02/2001,"274,5","-2,6595744680","1,83","282,0000000000","265,5000000000","273,0000000000","286,5000000000","23,89483","746,00",1,PN,nd,nd
20/02/2001,264,"-3,8251366120","1,76","277,5000000000","262,5000000000","267,0000000000","280,5000000000","17,5945","600,00",1,PN,nd,nd
21/02/2001,"247,5","-6,2500000000","1,65","259,5000000000","247,5000000000","255,0000000000","267,0000000000","27,54498","1044,00",1,PN,nd,nd
22/02/2001,264,"6,6666666666","1,76","253,5000000000","247,5000000000","256,5000000000","264,0000000000","28,74395","885,00",1,PN,nd,nd
23/02/2001,276,"4,5454545454","1,84","261,0000000000","258,0000000000","265,5000000000","276,0000000000","12,43211","441,00",1,PN,nd,nd
28/02/2001,"259,5","-5,9782608695","1,73","276,0000000000","259,5000000000","265,5000000000","276,0000000000","9,67553","331,00",1,PN,nd,nd
01/03/2001,"274,5","5,7803468208","1,83","259,5000000000","258,0000000000","270,0000000000","274,5000000000","8,67469","328,00",1,PN,nd,nd
02/03/2001,"274,5","0,0000000000","1,83","268,5000000000","267,0000000000","271,5000000000","277,5000000000","20,57165","484,00",1,PN,nd,nd
05/03/2001,"265,5","-3,2786885245","1,77","277,5000000000","264,0000000000","268,5000000000","277,5000000000","8,8809","379,00",1,PN,nd,nd
06/03/2001,"256,5","-3,3898305084","1,71","270,0000000000","255,0000000000","262,5000000000","271,5000000000","16,15581","569,00",1,PN,nd,nd
07/03/2001,255,"-0,5847953216","1,7","256,5000000000","249,0000000000","253,5000000000","265,5000000000","15,53512","607,00",1,PN,nd,nd
08/03/2001,"247,5","-2,9411764705","1,65","256,5000000000","246,0000000000","252,0000000000","259,5000000000","18,98925","696,00",1,PN,nd,nd
09/03/2001,"238,5","-3,6363636363","1,59","246,0000000000","238,5000000000","243,0000000000","249,0000000000","18,95603","669,00",1,PN,nd,nd
12/03/2001,231,"-3,1446540880","1,54","240,0000000000","231,0000000000","235,5000000000","240,0000000000","13,2684","606,00",1,PN,nd,nd
13/03/2001,237,"2,5974025974","1,58","232,5000000000","229,5000000000","234,0000000000","237,0000000000","10,81795","568,00",1,PN,nd,nd
14/03/2001,"229,5","-3,1645569620","1,53","232,5000000000","226,5000000000","229,5000000000","235,5000000000","13,42124","524,00",1,PN,nd,nd
