data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"0,103855412189",nd,"2,25","0,1038554120","0,1038554120","0,1038554120","0,1038554120","0,01125","3,00",1,PN  EJ,nd,nd
03/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
04/01/2001,"0,106163310238","2,2222222225","2,3","0,1084712081","0,1061633100","0,1070864692","0,1084712081","1,38231","19,00",1,PN  EJ,nd,nd
05/01/2001,"0,106163310238","0,0000000000","2,3","0,1061633100","0,1052401508","0,1066248896","0,1103175265","1,41467","11,00",1,PN  EJ,nd,nd
08/01/2001,"0,108471208287","2,1739130438","2,35","0,1084712081","0,1084712081","0,1084712081","0,1084712081","0,01528","4,00",1,PN,nd,nd
09/01/2001,"0,108471208287","0,0000000000","2,35","0,1084712081","0,1070864692","0,1080096285","0,1103175265","0,82484","28,00",1,PN,nd,nd
10/01/2001,"0,108471208287","0,0000000000","2,35","0,1084712081","0,1075480488","0,1084712081","0,1103175265","1,38398","6,00",1,PN,nd,nd
11/01/2001,"0,108471208287","0,0000000000","2,35","0,1107791061","0,1084712081","0,1084712081","0,1107791061","0,07875","5,00",1,PN,nd,nd
12/01/2001,"0,109394367506","0,8510638293","2,37","0,1103175265","0,1084712081","0,1084712081","0,1103175265","1,14963","11,00",1,PN,nd,nd
15/01/2001,"0,109394367506","0,0000000000","2,37","0,1093943673","0,1093943673","0,1093943673","0,1093943673","0,6873","8,00",1,PN,nd,nd
16/01/2001,"0,109394367506","0,0000000000","2,37","0,1093943673","0,1093943673","0,1093943673","0,1093943673","0,00474","1,00",1,PN,nd,nd
17/01/2001,"0,108471208287","-0,8438818561","2,35","0,1093943673","0,1084712081","0,1084712081","0,1093943673","1,29965","8,00",1,PN,nd,nd
18/01/2001,"0,108471208287","0,0000000000","2,35","0,1084712081","0,1084712081","0,1084712081","0,1098559469","1,32378","44,00",1,PN,nd,nd
19/01/2001,"0,109394367506","0,8510638293","2,37","0,1098559469","0,1070864692","0,1084712081","0,1098559469","0,18611","20,00",1,PN,nd,nd
22/01/2001,"0,109394367506","0,0000000000","2,37","0,1084712081","0,1084712081","0,1084712081","0,1093943673","0,11624","14,00",1,PN,nd,nd
23/01/2001,"0,109394367506","0,0000000000","2,37","0,1093943673","0,1089327877","0,1089327877","0,1093943673","0,26639","17,00",1,PN,nd,nd
24/01/2001,"0,108932787896","-0,4219409285","2,36","0,1093943673","0,1089327877","0,1089327877","0,1093943673","0,06849","3,00",1,PN,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"0,113087004384","3,8135593224","2,45","0,1089327877","0,1089327877","0,1107791061","0,1172412206","0,0623","14,00",1,PN,nd,nd
29/01/2001,"0,115394902433","2,0408163268","2,5","0,1144717430","0,1144717430","0,1144717430","0,1153949022","0,19881","6,00",1,PN,nd,nd
30/01/2001,"0,114471743213","-0,8000000004","2,48","0,1153949022","0,1130870042","0,1135485838","0,1153949022","0,1617","18,00",1,PN,nd,nd
31/01/2001,"0,114471743213","0,0000000000","2,48","0,1149333226","0,1130870042","0,1140101634","0,1149333226","0,44819","13,00",1,PN,nd,nd
01/02/2001,"0,113087004384","-1,2096774191","2,45","0,1130870042","0,1130870042","0,1130870042","0,1200106983","0,98718","21,00",1,PN,nd,nd
02/02/2001,"0,123703335408","9,3877551022","2,68","0,1177028002","0,1177028002","0,1232417556","0,1292422905","1,35968","64,00",1,PN,nd,nd
05/02/2001,"0,124626494627","0,7462686563","2,7","0,1200106983","0,1200106983","0,1218570167","0,1269343924","0,09479","18,00",1,PN,nd,nd
06/02/2001,"0,121857016969","-2,2222222219","2,64","0,1246264944","0,1200106983","0,1204722779","0,1269343924","0,76425","36,00",1,PN,nd,nd
07/02/2001,"0,118625959701","-2,6515151514","2,57","0,1246264944","0,1186259595","0,1195491187","0,1246264944","0,16378","10,00",1,PN,nd,nd
08/02/2001,"0,124626494627","5,0583657583","2,7","0,1269343924","0,1223185963","0,1250880740","0,1315501885","0,13948","26,00",1,PN,nd,nd
09/02/2001,"0,124626494627","0,0000000000","2,7","0,1269343924","0,1237033352","0,1241649148","0,1269343924","0,77089","11,00",1,PN,nd,nd
12/02/2001,"0,123241755798","-1,1111111109","2,67","0,1246264944","0,1223185963","0,1227801759","0,1246264944","0,34417","14,00",1,PN,nd,nd
13/02/2001,"0,122318596579","-0,7490636700","2,65","0,1223185963","0,1223185963","0,1223185963","0,1232417556","0,06682","8,00",1,PN,nd,nd
14/02/2001,"0,124164915018","1,5094339623","2,69","0,1223185963","0,1223185963","0,1232417556","0,1246264944","0,2677","13,00",1,PN,nd,nd
15/02/2001,"0,122780176188","-1,1152416363","2,66","0,1227801759","0,1227801759","0,1227801759","0,1237033352","0,55371","11,00",1,PN,nd,nd
