data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
03/01/2001,"52,5197880417",nd,"0,65","48,4798043461","48,4798043461","50,0957978243","52,5197880416","0,00125","2,00",1,ON,nd,nd
04/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
05/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
08/01/2001,"54,943778259","4,6153846153","0,68","52,5197880416","52,5197880416","53,3277847807","55,7517749980","0,19059","21,00",1,ON,nd,nd
09/01/2001,"57,3677684763","4,4117647058","0,71","56,5597717371","54,1357815198","55,7517749980","57,3677684762","0,02209","8,00",1,ON,nd,nd
10/01/2001,"58,9837619546","2,8169014086","0,73","58,1757652154","58,1757652154","58,1757652154","58,9837619545","0,02953","4,00",1,ON,nd,nd
11/01/2001,"58,9837619546","0,0000000000","0,73","56,5597717372","55,7517749981","55,7517749981","58,9837619545","0,05166","8,00",1,ON,nd,nd
12/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
15/01/2001,"59,7917586937","1,3698630136","0,74","59,7917586936","59,7917586936","59,7917586936","59,7917586936","0,00074","1,00",1,ON,nd,nd
16/01/2001,"61,4077521719","2,7027027026","0,76","56,5597717372","56,5597717372","59,7917586936","61,4077521718","0,0037","4,00",1,ON,nd,nd
17/01/2001,"61,4077521719","0,0000000000","0,76","58,1757652154","58,1757652154","59,7917586936","61,4077521718","0,00148","2,00",1,ON,nd,nd
18/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
19/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
22/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
23/01/2001,"58,1757652155","-5,2631578947","0,72","58,1757652154","58,1757652154","58,1757652154","58,1757652154","0,01584","3,00",1,ON,nd,nd
