data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"2,81950830903",nd,"172,01","2,8437677714","2,7865613070","2,8331132723","2,8685189925","1,52446","92,00",1000,ON *EJS,nd,nd
03/01/2001,"3,19454667953","13,3015522351","194,89","2,8275401497","2,8193443812","3,0796419903","3,2125773562","10,68721","374,00",1000,ON *EJS,nd,nd
04/01/2001,"3,11455597813","-2,5039766021","190,01","3,1143920490","3,1143920490","3,1755324823","3,2092990488","5,87373","182,00",1000,ON *EJS,nd,nd
05/01/2001,"3,09816444096","-0,5262880900","189,01","3,1447163926","3,0488259006","3,1088189263","3,1447163926","2,92659","115,00",1000,ON *EJS,nd,nd
08/01/2001,"3,11406423202","0,5132003598","189,98","3,0357126709","3,0324343635","3,0665287606","3,1140642182","2,08046","108,00",1000,ON *EJS,nd,nd
09/01/2001,"3,11455597813","0,0157911357","190,01","3,1143920490","3,1143920490","3,1612718451","3,1881539659","5,6201","184,00",1000,ON *EJS,nd,nd
10/01/2001,"3,14733905248","1,0525761803","192,01","3,1143920490","3,0978365965","3,1638944910","3,2289688933","6,22314","137,00",1000,ON *EJS,nd,nd
11/01/2001,"3,1848756726","1,1926462161","194,3","3,2125773562","3,1143920490","3,1673367138","3,2125773562","2,81928","84,00",1000,ON *EJS,nd,nd
12/01/2001,"3,17176244286","-0,4117344313","193,5","3,1717624288","3,1471751232","3,1722541749","3,1963497345","2,79471","82,00",1000,ON *EJS,nd,nd
15/01/2001,"3,13078359993","-1,2919896640",191,"3,1717624288","3,1143920490","3,1375041163","3,1717624288","0,95518","61,00",1000,ON *INT,nd,nd
16/01/2001,"3,08160898842","-1,5706806280",188,"3,1160312027","3,0816089748","3,0919356431","3,1307835861","1,9467","42,00",1000,ON *INT,nd,nd
17/01/2001,"3,15537090569","2,3936170210","192,5","3,1143920490","3,1140642182","3,1394711007","3,1635666603","2,45542","125,00",1000,ON *INT,nd,nd
18/01/2001,"3,2289689076","2,3324675326","196,99","3,1797942820","3,0488259006","3,1991362958","3,2455243458","3,65358","156,00",1000,ON *INT,nd,nd
19/01/2001,"3,27830743448","1,5279963447",200,"3,2291328087","3,2291328087","3,2814218120","3,3110904942","6,67455","211,00",1000,ON *INT,nd,nd
22/01/2001,"3,44205889084","4,9950000002","209,99","3,3110904942","3,2783074200","3,3276459466","3,4420588756","7,22338","206,00",1000,ON *INT,nd,nd
23/01/2001,"3,65350972036","6,1431496736","222,89","3,4422227910","3,4422227910","3,5810591102","3,6799000789","10,81955","405,00",1000,ON *INT,nd,nd
24/01/2001,"3,60613817793","-1,2966037059",220,"3,6880958475","3,5733550878","3,6140060998","3,7372704588","5,83843","176,00",1000,ON *INT,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"3,6880958638","2,2727272729",225,"3,5979423934","3,5979423934","3,6761300254","3,7207150063","3,3081","157,00",1000,ON *INT,nd,nd
29/01/2001,"3,58974664076","-2,6666666668",219,"3,6880958475","3,5897466249","3,6572797577","3,7126831531","2,98994","98,00",1000,ON *INT,nd,nd
30/01/2001,"3,52418049207","-1,8264840182",215,"3,6061381620","3,4422227910","3,5113950775","3,6061381620","1,82091","105,00",1000,ON *INT,nd,nd
31/01/2001,"3,62252971511","2,7906976745",221,"3,5405720136","3,5405720136","3,6054825005","3,6717043104","7,37762","183,00",1000,ON *INT,nd,nd
01/02/2001,"3,53237626066","-2,4886877828","215,5","3,5243443918","3,5241804765","3,5453255593","3,5897466249","4,68068","173,00",1000,ON *INT,nd,nd
02/02/2001,"3,565159335","0,9280742458","217,5","3,4913974023","3,4913974023","3,5364741293","3,5733550878","4,24819","122,00",1000,ON *INT,nd,nd
