data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"2,59691357406",nd,"3,85","2,6980920248","2,5901683438","2,6711111045","2,7318181751","0,66895","80,00",1000,ON *EJ,nd,nd
03/01/2001,"2,9679012275","14,2857142858","4,4","2,5631874235","2,5631874235","2,7722895554","2,9679012272","1,61229","138,00",1000,ON *EJ,nd,nd
04/01/2001,"3,03535352813","2,2727272728","4,5","2,9206846168","2,8329966260","3,0555892180","3,1635128990","2,33535","224,00",1000,ON *EJ,nd,nd
05/01/2001,"2,9679012275","-2,2222222223","4,4","3,0016273775","2,9341750769","3,0286082978","3,1365319788","0,45935","71,00",1000,ON *EJ,nd,nd
08/01/2001,"3,10280582875","4,5454545454","4,6","2,9341750769","2,8667227763","2,9948821475","3,1028058285","0,33046","60,00",1000,ON *EJ,nd,nd
09/01/2001,"3,30516273063","6,5217391305","4,9","3,1297867487","3,1028058285","3,2444556598","3,3658698009","2,18869","192,00",1000,ON *EJ,nd,nd
10/01/2001,"3,27818181038","-0,8163265306","4,86","3,2377104297","3,1028058285","3,2309651996","3,3591245708","0,87299","79,00",1000,ON *EJ,nd,nd
11/01/2001,"3,26469135025","-0,4115226338","4,84","3,2377104297","3,0353535279","3,1904938193","3,2714365800","0,63299","92,00",1000,ON *EJ,nd,nd
12/01/2001,"3,15002243919","-3,5123966941","4,67","3,2646913500","3,1365319788","3,2512008898","3,3388888806","0,88677","36,00",1000,ON *,nd,nd
15/01/2001,"3,17700335944","0,8565310492","4,71","3,1028058285","3,0690796782","3,1904938193","3,2377104297","0,55679","43,00",1000,ON *,nd,nd
16/01/2001,"3,10280582875","-2,3354564756","4,6","3,1702581291","3,0825701383","3,1028058285","3,1702581291","0,62666","34,00",1000,ON *,nd,nd
17/01/2001,"3,10280582875","0,0000000000","4,6","3,0960605984","3,0353535279","3,0825701383","3,1702581291","1,06784","107,00",1000,ON *,nd,nd
18/01/2001,"3,021863068","-2,6086956521","4,48","3,1365319788","2,9679012272","3,0286082978","3,1365319788","1,69186","106,00",1000,ON *,nd,nd
19/01/2001,"2,94766553731","-2,4553571429","4,37","3,0488439880","2,9476655370","3,0016273775","3,1432772088","0,91757","110,00",1000,ON *,nd,nd
22/01/2001,"2,86672277656","-2,7459954233","4,25","2,9611559972","2,8329966260","2,8869584665","2,9679012272","0,52365","71,00",1000,ON *,nd,nd
23/01/2001,"2,97464645756","3,7647058823","4,41","2,9004489266","2,9004489266","2,9813916874","3,0083726076","1,89849","156,00",1000,ON *,nd,nd
24/01/2001,"3,01511783794","1,3605442178","4,47","3,0420987579","3,0151178377","3,0420987579","3,0960605984","1,23871","139,00",1000,ON *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"3,021863068","0,2237136464","4,48","2,9679012272","2,9679012272","3,0488439880","3,1095510585","0,9271","120,00",1000,ON *,nd,nd
29/01/2001,"3,08931536863","2,2321428573","4,58","3,1028058285","3,0488439880","3,0960605984","3,1702581291","1,43861","92,00",1000,ON *,nd,nd
