data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,67,nd,"1,34","65,0000000000","65,0000000000","67,5000000000","69,0000000000","1,49336","142,00",1000,PN *,nd,nd
03/01/2001,"72,5","8,2089552238","1,45","65,5000000000","65,0000000000","69,5000000000","72,5000000000","2,8131","263,00",1000,PN *,nd,nd
04/01/2001,"73,5","1,3793103448","1,47","73,0000000000","73,0000000000","75,0000000000","76,5000000000","2,01954","232,00",1000,PN *,nd,nd
05/01/2001,"70,5","-4,0816326530","1,41","73,5000000000","70,5000000000","73,0000000000","75,0000000000","1,47878","168,00",1000,PN *,nd,nd
08/01/2001,"71,5","1,4184397163","1,43","71,5000000000","69,5000000000","71,0000000000","72,5000000000","2,18975","120,00",1000,PN *,nd,nd
09/01/2001,75,"4,8951048951","1,5","72,5000000000","72,5000000000","74,5000000000","76,0000000000","1,86942","211,00",1000,PN *,nd,nd
10/01/2001,"72,5","-3,3333333333","1,45","73,5000000000","72,0000000000","73,0000000000","74,0000000000","0,91707","113,00",1000,PN *,nd,nd
11/01/2001,"72,5","0,0000000000","1,45","73,5000000000","70,5000000000","71,5000000000","73,5000000000","1,22008","138,00",1000,PN *,nd,nd
12/01/2001,71,"-2,0689655172","1,42","72,5000000000","70,5000000000","71,5000000000","73,5000000000","0,55567","117,00",1000,PN *,nd,nd
15/01/2001,72,"1,4084507042","1,44","72,0000000000","71,5000000000","72,5000000000","73,5000000000","0,19285","79,00",1000,PN *,nd,nd
16/01/2001,"69,5","-3,4722222222","1,39","72,0000000000","69,0000000000","70,0000000000","72,5000000000","0,38529","81,00",1000,PN *,nd,nd
17/01/2001,"73,5","5,7553956834","1,47","71,5000000000","69,5000000000","71,5000000000","74,0000000000","1,36872","217,00",1000,PN *,nd,nd
18/01/2001,73,"-0,6802721088","1,46","74,0000000000","72,0000000000","74,0000000000","75,5000000000","1,15851","186,00",1000,PN *,nd,nd
19/01/2001,73,"0,0000000000","1,46","74,0000000000","73,0000000000","74,0000000000","76,0000000000","0,77829","99,00",1000,PN *,nd,nd
22/01/2001,73,"0,0000000000","1,46","75,0000000000","72,0000000000","72,0000000000","75,0000000000","0,63528","64,00",1000,PN *,nd,nd
23/01/2001,"73,5","0,6849315068","1,47","72,5000000000","72,5000000000","73,0000000000","74,5000000000","2,95653","188,00",1000,PN *,nd,nd
24/01/2001,80,"8,8435374149","1,6","74,5000000000","74,0000000000","78,0000000000","80,0000000000","8,83198","459,00",1000,PN *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,87,"8,7500000000","1,74","80,5000000000","80,5000000000","86,5000000000","89,5000000000","8,88502","544,00",1000,PN *,nd,nd
29/01/2001,"87,5","0,5747126436","1,75","89,0000000000","86,5000000000","87,5000000000","90,0000000000","4,67997","316,00",1000,PN *,nd,nd
30/01/2001,"86,5","-1,1428571428","1,73","87,5000000000","84,0000000000","86,0000000000","88,0000000000","4,78102","235,00",1000,PN *,nd,nd
31/01/2001,84,"-2,8901734104","1,68","87,0000000000","83,0000000000","85,5000000000","88,5000000000","1,8847","190,00",1000,PN *,nd,nd
01/02/2001,77,"-8,3333333333","1,54","85,0000000000","75,5000000000","79,0000000000","85,0000000000","4,05068","328,00",1000,PN *,nd,nd
02/02/2001,"77,5","0,6493506493","1,55","76,5000000000","74,5000000000","76,0000000000","80,0000000000","2,14382","194,00",1000,PN *,nd,nd
05/02/2001,"77,5","0,0000000000","1,55","77,5000000000","73,5000000000","75,5000000000","79,5000000000","2,36383","116,00",1000,PN *,nd,nd
06/02/2001,"78,5","1,2903225806","1,57","77,5000000000","76,0000000000","78,0000000000","79,5000000000","1,28854","133,00",1000,PN *,nd,nd
07/02/2001,"75,5","-3,8216560509","1,51","77,0000000000","74,0000000000","75,5000000000","77,0000000000","1,5311","155,00",1000,PN *,nd,nd
08/02/2001,80,"5,9602649006","1,6","76,0000000000","76,0000000000","79,0000000000","81,0000000000","2,50091","188,00",1000,PN *,nd,nd
09/02/2001,77,"-3,7500000000","1,54","78,0000000000","76,0000000000","77,0000000000","79,5000000000","0,63967","90,00",1000,PN *,nd,nd
12/02/2001,"75,5","-1,9480519480","1,51","78,0000000000","74,5000000000","75,0000000000","78,0000000000","0,70839","98,00",1000,PN *,nd,nd
13/02/2001,79,"4,6357615894","1,58","77,0000000000","75,0000000000","78,0000000000","80,0000000000","0,84548","113,00",1000,PN *,nd,nd
14/02/2001,78,"-1,2658227848","1,56","79,0000000000","77,5000000000","79,5000000000","81,5000000000","1,72865","216,00",1000,PN *,nd,nd
15/02/2001,77,"-1,2820512820","1,54","80,0000000000","76,5000000000","77,5000000000","80,0000000000","0,73305","106,00",1000,PN *,nd,nd
16/02/2001,74,"-3,8961038961","1,48","77,5000000000","73,0000000000","74,0000000000","77,5000000000","1,72926","192,00",1000,PN *,nd,nd
19/02/2001,"73,5","-0,6756756756","1,47","74,5000000000","70,5000000000","73,0000000000","75,0000000000","0,58964","86,00",1000,PN *,nd,nd
