data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"3,70440270319",nd,26,"3,8155347830","3,6331641885","3,7086770128","3,8155347830","3,35312","153,00",1000,PN *ANT,nd,nd
03/01/2001,"4,0605952708","9,6153846152","28,5","3,6901549993","3,6616595939","3,8454549587","4,0605952695","2,83978","162,00",1000,PN *ANT,nd,nd
04/01/2001,"4,01072831134","-1,2280701752","28,15","4,0605952695","3,9195430127","4,0335246343","4,1318337830","1,95656","124,00",1000,PN *ANT,nd,nd
05/01/2001,"3,81695955455","-4,8312611014","26,79","4,0178521614","3,8169595533","3,9394897965","4,0605952695","3,80207","103,00",1000,PN *ANT,nd,nd
08/01/2001,"3,84687973023","0,7838745800",27,"3,8212338641","3,7756412155","3,7927384587","3,8468797290","1,81054","92,00",1000,PN *ANT,nd,nd
09/01/2001,"3,9109943924","1,6666666666","27,45","3,9181182425","3,8483044992","3,9238173235","3,9622861208","5,00484","197,00",1000,PN *ANT,nd,nd
10/01/2001,"3,80413662212","-2,7322404370","26,7","3,8753751344","3,7970127695","3,8397558776","3,8824989857","3,83279","136,00",1000,PN *ANT,nd,nd
11/01/2001,"3,86112743294","1,4981273408","27,1","3,8183843236","3,7471458101","3,8269329452","3,8824989857","3,6996","147,00",1000,PN *ANT,nd,nd
12/01/2001,"3,96798520322","2,7675276751","27,85","3,8611274317","3,8611274317","3,9109943911","3,9679852019","1,79289","100,00",1000,PN *ANT,nd,nd
15/01/2001,"4,00360445998","0,8976660681","28,1","3,9679852019","3,9679852019","3,9765338235","4,0036044587","1,0274","72,00",1000,PN *ANT,nd,nd
16/01/2001,"3,93236594646","-1,7793594305","27,6","4,0178521614","3,8682512830","3,9095696208","4,0178521614","0,97138","64,00",1000,PN *ANT,nd,nd
17/01/2001,"3,97510905458","1,0869565218","27,9","3,9580118100","3,9181182425","3,9551622695","3,9893567560","3,32915","150,00",1000,PN *ANT,nd,nd
18/01/2001,"4,03067509512","1,3978494621","28,29","4,0007549181","3,9181182425","3,9765338235","4,0320998641","2,48181","138,00",1000,PN *ANT,nd,nd
19/01/2001,"4,07484297351","1,0957935667","28,6","4,0392237154","3,9751090533","4,0221264722","4,1019136073","1,70808","107,00",1000,PN *ANT,nd,nd
22/01/2001,"3,99933014917","-1,8531468532","28,07","3,9907815262","3,9751090533","3,9865072154","4,0320998641","1,5421","83,00",1000,PN *ANT,nd,nd
23/01/2001,"4,05347141945","1,3537584610","28,45","3,9893567560","3,9608613506","4,0021796884","4,0534714181","2,56182","125,00",1000,PN *ANT,nd,nd
24/01/2001,"4,31705391949","6,5026362040","30,3","4,0890906749","4,0036044587","4,2173199992","4,3170539181","6,8916","240,00",1000,PN *ANT,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"4,55926486546","5,6105610559",32,"4,3441245532","4,2386915532","4,4794777288","4,6020079721","6,33087","262,00",1000,PN *ANT,nd,nd
29/01/2001,"4,57921164925","0,4375000000","32,14","4,5592648640","4,4880263505","4,5478667018","4,6290786072","4,25826","157,00",1000,PN *ANT,nd,nd
30/01/2001,"4,48090250059","-2,1468574984","31,45","4,5735125667","4,4324603099","4,4680795667","4,5735125667","2,96745","73,00",1000,PN *ANT,nd,nd
31/01/2001,"4,55214101411","1,5898251191","31,95","4,6305033775","4,5307694586","4,5820611883","4,6305033775","6,16911","214,00",1000,PN *ANT,nd,nd
01/02/2001,"4,52934468978","-0,5007824726","31,79","4,5592648640","4,4395841613","4,5136722153","4,5735125667","3,85595","209,00",1000,PN *ANT,nd,nd
02/02/2001,"4,41393829788","-2,5479710599","30,98","4,4880263505","4,1318337830","4,3911419721","4,5578400937","3,38428","130,00",1000,PN *ANT,nd,nd
05/02/2001,"4,38829243301","-0,5810200129","30,8","4,4182126072","4,2600631073","4,3156291478","4,4224869180","1,7424","71,00",1000,PN *ANT,nd,nd
06/02/2001,"4,47377864924","1,9480519481","31,4","4,5165217559","4,3882924316","4,4609557153","4,5165217559","2,79","106,00",1000,PN *ANT,nd,nd
07/02/2001,"4,45953094653","-0,3184713377","31,3","4,5307694586","4,3740447289","4,4110887559","4,5307694586","3,35065","127,00",1000,PN *ANT,nd,nd
08/02/2001,"4,51509698708","1,2460063898","31,69","4,4880263505","4,3056557559","4,4794777288","4,5150969856","3,07819","108,00",1000,PN *ANT,nd,nd
09/02/2001,"4,45953094653","-1,2306721363","31,3","4,4609557153","4,4196373775","4,4609557153","4,5150969856","0,98952","56,00",1000,PN *ANT,nd,nd
12/02/2001,"4,3740447303","-1,9169329074","30,7","4,5165217559","4,2899832829","4,3711951883","4,5578400937","1,31043","72,00",1000,PN *ANT,nd,nd
13/02/2001,"4,31705391949","-1,3029315959","30,3","4,3740447289","4,2458154046","4,3213282289","4,3740447289","2,52414","106,00",1000,PN *ANT,nd,nd
14/02/2001,"4,34412455462","0,6270627060","30,49","4,2315677019","4,1318337830","4,2700364991","4,4011153640","2,00862","162,00",1000,PN *ANT,nd,nd
15/02/2001,"4,29568236543","-1,1151197112","30,15","4,3455493235","4,2743108100","4,2956823640","4,3455493235","1,4776","78,00",1000,PN *ANT,nd,nd
16/02/2001,"4,18882459514","-2,4875621891","29,4","4,2743108100","4,1175860803","4,1646034992","4,2743108100","3,21548","144,00",1000,PN *ANT,nd,nd
19/02/2001,"4,2728860411","2,0068027211","29,99","4,2458154046","4,1888245938","4,2415410937","4,2743108100","1,62584","69,00",1000,PN *ANT,nd,nd
20/02/2001,"4,2586383384","-0,3334444813","29,89","4,2885585127","4,1888245938","4,2486649451","4,3028062154","6,42137","161,00",1000,PN *ANT,nd,nd
21/02/2001,"4,26006310867","0,0334560053","29,9","4,0605952695","4,0605952695","4,2543640262","4,3028062154","3,68475","139,00",1000,PN *ANT,nd,nd
22/02/2001,"4,32987685192","1,6387959865","30,39","4,3170539181","4,2030722965","4,2700364991","4,3298768505","2,89871","145,00",1000,PN *ANT,nd,nd
23/02/2001,"4,38829243301","1,3491280026","30,8","4,2743108100","4,2030722965","4,2871337424","4,3882924316","0,90576","81,00",1000,PN *ANT,nd,nd
28/02/2001,"4,33130162219","-1,2987012987","30,4","4,2044970667","4,1489310262","4,2657621883","4,3313016208","0,93118","91,00",1000,PN *ANT,nd,nd
01/03/2001,"4,50084928437","3,9144736841","31,59","4,2743108100","4,2600631073","4,3597970262","4,5008492829","1,18742","69,00",1000,PN *ANT,nd,nd
02/03/2001,"4,44528324383","-1,2345679010","31,2","4,4595309451","4,3954162829","4,4353098505","4,4737786478","2,43797","89,00",1000,PN *ANT,nd,nd
05/03/2001,"4,40254013571","-0,9615384616","30,9","4,4452832424","4,3597970262","4,3996905937","4,4880263505","1,35882","98,00",1000,PN *ANT,nd,nd
06/03/2001,"4,41678783842","0,3236245955",31,"4,4167878370","4,3455493235","4,4239116883","4,4737786478","3,335","154,00",1000,PN *ANT,nd,nd
07/03/2001,"4,47377864924","1,2903225806","31,4","4,4025401343","4,3170539181","4,4139382964","4,5307694586","1,09981","94,00",1000,PN *ANT,nd,nd
08/03/2001,"4,38829243301","-1,9108280255","30,8","4,4452832424","4,2743108100","4,3526731748","4,4452832424","2,45689","156,00",1000,PN *ANT,nd,nd
09/03/2001,"4,38829243301","0,0000000000","30,8","4,3455493235","4,2743108100","4,3555227153","4,3882924316","2,11899","94,00",1000,PN *ANT,nd,nd
12/03/2001,"4,23869155461","-3,4090909091","29,75","4,3882924316","4,1674530397","4,2643374181","4,3882924316","4,48205","104,00",1000,PN *ANT,nd,nd
13/03/2001,"4,26006310867","0,5042016807","29,9","4,2458154046","4,2044970667","4,2315677019","4,2728860397","1,17624","74,00",1000,PN *ANT,nd,nd
14/03/2001,"4,18882459514","-1,6722408028","29,4","4,1617539586","4,1318337830","4,1589044181","4,2016475262","2,14901","139,00",1000,PN *ANT,nd,nd
15/03/2001,"4,20307229785","0,3401360545","29,5","4,2044970667","4,1332585532","4,1945236748","4,2458154046","2,54429","128,00",1000,PN *ANT,nd,nd
16/03/2001,"4,21732000055","0,3389830507","29,6","4,2714612694","4,1617539586","4,2059218370","4,2714612694","1,71832","90,00",1000,PN *ANT,nd,nd
19/03/2001,"4,13183378433","-2,0270270268",29,"4,1745768911","4,0890906749","4,1261347019","4,2030722965","2,18677","137,00",1000,PN *ANT,nd,nd
20/03/2001,"4,14608148703","0,3448275860","29,1","4,2030722965","4,0890906749","4,1389576343","4,2030722965","1,17078","105,00",1000,PN *ANT,nd,nd
21/03/2001,"4,08909067621","-1,3745704467","28,7","4,1460814857","4,0463475668","4,0890906749","4,1460814857","1,77686","89,00",1000,PN *ANT,nd,nd
22/03/2001,"3,81838432483","-6,6202090590","26,8","4,0605952695","3,7756412155","3,8668265127","4,0605952695","1,70743","111,00",1000,PN *ANT,nd,nd
23/03/2001,"3,96086135187","3,7313432834","27,8","3,9893567560","3,7913136884","3,8639769722","3,9893567560","2,96777","178,00",1000,PN *ANT,nd,nd
26/03/2001,"4,05917050053","2,4820143884","28,49","4,1318337830","3,9893567560","4,0605952695","4,1318337830","2,6762","116,00",1000,PN *ANT,nd,nd
27/03/2001,"4,08624113567","0,6669006669","28,68","4,1318337830","3,9907815262","4,0677191208","4,1318337830","2,08431","86,00",1000,PN *ANT,nd,nd
28/03/2001,"4,03209986539","-1,3249651325","28,3","4,0748429722","3,9893567560","4,0278255532","4,0748429722","1,23865","75,00",1000,PN *ANT,nd,nd
29/03/2001,"3,91811824376","-2,8268551235","27,5","4,0320998641","3,8468797290","3,9323659452","4,0320998641","1,69765","109,00",1000,PN *ANT,nd,nd
