data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"20,6386156479",nd,"42,6","20,8324054651","20,4932732831","20,7694237741","20,9293003742","61,53156","837,00",1000,PN *,nd,nd
03/01/2001,"21,7044596485","5,1643192488","44,8","20,5417207376","20,2994834648","21,1085559561","21,8013545565","118,7486","1486,00",1000,PN *,nd,nd
04/01/2001,"22,2906738488","2,7008928570","46,01","21,8013545565","21,7965098110","22,3003633385","22,6249612841","141,91897","1606,00",1000,PN *,nd,nd
05/01/2001,"21,9466969214","-1,5431427947","45,3","22,1743999566","21,9466969202","22,3294318113","22,8623538115","79,29434","1013,00",1000,PN *,nd,nd
08/01/2001,"22,2422263942","1,3465783660","45,91","21,7529071019","21,6802359200","22,0193681020","22,3342765567","56,81457","725,00",1000,PN *,nd,nd
09/01/2001,"22,7751483945","2,3959921585","47,01","22,5280663750","22,4311714659","22,7363904297","23,1094358298","111,57211","1323,00",1000,PN *,nd,nd
10/01/2001,"22,9350249946","0,7019783025","47,34","22,6249612841","22,3827240113","22,7896826297","23,1578832844","89,66583","981,00",1000,PN *,nd,nd
11/01/2001,"23,3952758131","2,0067596115","48,29","22,8671985570","22,6734087387","23,1239700662","23,4970154664","92,59957","975,00",1000,PN *,nd,nd
12/01/2001,"22,6249612854","-3,2926071650","46,7","23,4485680118","22,5280663750","23,2111754844","23,8361476484","111,40051","1041,00",1000,PN *,nd,nd
15/01/2001,"22,8187511037","0,8565310492","47,1","22,7218561933","22,5765138296","22,7751483933","23,0125409207","19,66826","351,00",1000,PN *,nd,nd
16/01/2001,"22,2616053761","-2,4416135881","45,95","22,7945273751","22,2373816476","22,5280663750","22,9156460116","62,71236","876,00",1000,PN *,nd,nd
17/01/2001,"23,2063307402","4,2437431988","47,9","22,6249612841","22,5280663750","23,1094358298","23,4001205573","101,98756","1098,00",1000,PN *,nd,nd
