data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"4,5801719964",nd,115,"4,5793754358","4,5403444050","4,5606564720","4,5801719875","0,2863","5,00",1000,UNT*,nd,nd
03/01/2001,"4,7394823267","3,4782608693",119,"4,5204306137","4,5005168225","4,5953064688","4,7394823175","5,66543","21,00",1000,UNT*,nd,nd
04/01/2001,"4,97844782217","5,0420168068",125,"4,7793099000","4,7793099000","4,9402133333","5,0182753950","2,6917","29,00",1000,UNT*,nd,nd
05/01/2001,"4,77930990928","-4,0000000000",120,"4,7793099000","4,7793099000","4,7793099000","4,7793099000","0,012","1,00",1000,UNT*,nd,nd
08/01/2001,"4,77930990928","0,0000000000",120,"4,7793099000","4,7793099000","4,7793099000","4,7793099000","2,28","9,00",1000,UNT*,nd,nd
09/01/2001,"4,79922370057","0,4166666666","120,5","4,8788788562","4,7992236912","4,8478133419","4,8788788562","0,9738","12,00",1000,UNT*,nd,nd
10/01/2001,"4,77930990928","-0,4149377593",120,"4,8191374825","4,7793099000","4,8183409308","4,8191374825","0,6654","7,00",1000,UNT*,nd,nd
11/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
12/01/2001,"4,81913749186","0,8333333333",121,"4,7793099000","4,7793099000","4,7952409330","4,8191374825","1,0355","7,00",1000,UNT*,nd,nd
15/01/2001,"4,81913749186","0,0000000000",121,"4,8191374825","4,8191374825","4,8191374825","4,8191374825","0,121","7,00",1000,UNT*,nd,nd
16/01/2001,"4,80002025222","-0,3966942149","120,52","4,8310857572","4,8000202429","4,8358650671","4,8390512737","3,12067","17,00",1000,UNT*,nd,nd
17/01/2001,"4,89879265701","2,0577497510",123,"4,8983943716","4,8983943716","4,8983943716","4,8987926475","0,1107","4,00",1000,UNT*,nd,nd
18/01/2001,"4,85896507444","-0,8130081299",122,"4,8191374825","4,8191374825","4,8231202407","4,8589650650","0,1211","2,00",1000,UNT*,nd,nd
19/01/2001,"4,97844782217","2,4590163933",125,"4,9784478125","4,9784478125","4,9784478125","4,9784478125","0,0125","1,00",1000,UNT*,nd,nd
22/01/2001,"5,01827540475","0,8000000000",126,"4,9784478125","4,9784478125","4,9959719488","5,0581029775","0,3638","8,00",1000,UNT*,nd,nd
23/01/2001,"5,07801677861","1,1904761903","127,5","5,0581029775","5,0178771191","5,0393840137","5,0979305600","2,9357","13,00",1000,UNT*ED,nd,nd
24/01/2001,"5,13775815248","1,1764705883",129,"5,1377581425","5,0780167687","5,0999219391","5,1377581425","0,62745","10,00",1000,UNT*ED,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
