data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"0,595791865272",nd,"5,7","0,5957918650","0,5957918650","0,5957918650","0,5957918650","0,0114","1,00",1,ON,nd,nd
03/01/2001,"0,648054309594","8,7719298245","6,2","0,6062443538","0,6062443538","0,6135610960","0,6480543093","0,06529","14,00",1,ON,nd,nd
04/01/2001,"0,648054309594","0,0000000000","6,2","0,6470090604","0,6470090604","0,6470090604","0,6480543093","0,03717","6,00",1,ON,nd,nd
05/01/2001,"0,648054309594","0,0000000000","6,2","0,6480543093","0,6480543093","0,6480543093","0,6480543093","0,03348","7,00",1,ON,nd,nd
08/01/2001,"0,648054309594","0,0000000000","6,2","0,6480543093","0,6480543093","0,6480543093","0,6480543093","0,02108","1,00",1,ON,nd,nd
09/01/2001,"0,637601820729","-1,6129032258","6,1","0,6480543093","0,6376018204","0,6470090604","0,6490995582","0,03467","12,00",1,ON,nd,nd
10/01/2001,"0,637601820729","0,0000000000","6,1","0,6376018204","0,6376018204","0,6376018204","0,6376018204","0,00732","3,00",1,ON,nd,nd
11/01/2001,"0,668959287322","4,9180327868","6,4","0,6689592870","0,6689592870","0,6689592870","0,6689592870","0,032","5,00",1,ON,nd,nd
12/01/2001,"0,668959287322","0,0000000000","6,4","0,6689592870","0,6689592870","0,6689592870","0,6689592870","0,00256","3,00",1,ON,nd,nd
15/01/2001,"0,684638020619","2,3437500000","6,55","0,6846380203","0,6846380203","0,6846380203","0,6846380203","0,00131","1,00",1,ON,nd,nd
16/01/2001,"0,668959287322","-2,2900763359","6,4","0,6689592870","0,6689592870","0,6689592870","0,6689592870","0,01472","2,00",1,ON,nd,nd
17/01/2001,"0,699271505029","4,5312500000","6,69","0,6741855314","0,6741855314","0,6909095136","0,6992715047","0,00397","2,00",1,ON,nd,nd
18/01/2001,"0,730628971622","4,4843049327","6,99","0,6898642647","0,6898642647","0,6982262558","0,7306289713","0,03742","6,00",1,ON,nd,nd
19/01/2001,"0,731674220509","0,1430615165",7,"0,7306289713","0,7306289713","0,7306289713","0,7316742202","0,01119","3,00",1,ON,nd,nd
22/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
23/01/2001,"0,731674220509","0,0000000000",7,"0,7369004646","0,7316742202","0,7337647179","0,7369004646","0,00492","4,00",1,ON,nd,nd
24/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"0,742126709373","1,4285714285","7,1","0,7630316867","0,7421267090","0,7640769356","0,7839366645","0,09581","6,00",1,ON,nd,nd
29/01/2001,"0,783936664831","5,6338028169","7,5","0,7630316867","0,7630316867","0,7734841756","0,7839366645","0,13997","3,00",1,ON,nd,nd
30/01/2001,"0,783936664831","0,0000000000","7,5","0,7839366645","0,7828914156","0,7828914156","0,7839366645","0,0824","3,00",1,ON,nd,nd
31/01/2001,"0,815294131424","3,9999999999","7,8","0,7630316867","0,7630316867","0,7891629089","0,8152941310","0,0151","2,00",1,ON,nd,nd
01/02/2001,"0,784981913717","-3,7179487179","7,51","0,7849819133","0,7849819133","0,7849819133","0,7849819133","1,62817","10,00",1,ON,nd,nd
02/02/2001,"0,784981913717","0,0000000000","7,51","0,7849819133","0,7849819133","0,7849819133","0,7849819133","0,751","2,00",1,ON,nd,nd
05/02/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
06/02/2001,"0,783936664831","-0,1331557922","7,5","0,7839366645","0,7839366645","0,7839366645","0,7839366645","0,09825","5,00",1,ON,nd,nd
07/02/2001,"0,783936664831","0,0000000000","7,5","0,7839366645","0,7828914156","0,7828914156","0,7839366645","0,0585","4,00",1,ON,nd,nd
08/02/2001,"0,783936664831","0,0000000000","7,5","0,7839366645","0,7839366645","0,7839366645","0,7839366645","0,0015","1,00",1,ON,nd,nd
09/02/2001,"0,783936664831","0,0000000000","7,5","0,7839366645","0,7734841756","0,7797556689","0,7839366645","0,01568","5,00",1,ON,nd,nd
12/02/2001,"0,783936664831","0,0000000000","7,5","0,7839366645","0,7839366645","0,7839366645","0,7839366645","0,0015","1,00",1,ON,nd,nd
13/02/2001,"0,783936664831","0,0000000000","7,5","0,7839366645","0,7839366645","0,7839366645","0,7839366645","0,0015","1,00",1,ON,nd,nd
