data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"8,078966647",nd,"52,52","8,1851069156","8,0774283807","8,1389589721","8,4604563120","2,36536","48,00",1000,PN *EJ,nd,nd
03/01/2001,"8,4604563135","4,7220106626",55,"8,1220380595","7,9528289332","8,1081936764","8,4604563120","3,87996","109,00",1000,PN *EJ,nd,nd
04/01/2001,"8,82963986173","4,3636363636","57,4","8,6911960296","8,6142827904","8,7650327392","8,8604051558","6,65076","142,00",1000,PN *EJ,nd,nd
05/01/2001,"8,76810927036","-0,6968641114",57,"8,8296398601","8,7142700013","8,8511755671","8,9527010428","2,40537","83,00",1000,PN *EJ,nd,nd
08/01/2001,"8,84502250957","0,8771929824","57,5","8,6142827904","8,6142827904","8,7850301814","8,8450225080","5,74005","93,00",1000,PN *EJ,nd,nd
09/01/2001,"9,22958870564","4,3478260869",60,"8,8450225080","8,8450225080","9,0726856960","9,2295887040","6,736","138,00",1000,PN *,nd,nd
10/01/2001,"9,15267546642","-0,8333333334","59,5","9,0773004903","9,0757622256","9,1603667887","9,2911192953","2,71553","83,00",1000,PN *,nd,nd
11/01/2001,"9,30650194485","1,6806722689","60,5","9,1526754648","8,9250122767","9,1972851435","9,3065019432","3,98262","68,00",1000,PN *,nd,nd
12/01/2001,"9,07576222721","-2,4793388429",59,"9,3834151824","8,9988489864","9,1188336395","9,3834151824","2,71547","47,00",1000,PN *,nd,nd
15/01/2001,"8,92193574878","-1,6949152542",58,"8,9988489864","8,7681092688","8,8973235106","9,0757622256","0,56688","44,00",1000,PN *,nd,nd
16/01/2001,"8,84502250957","-0,8620689654","57,5","8,7696475335","8,7373439731","8,7758005927","8,8911704515","1,88284","38,00",1000,PN *,nd,nd
17/01/2001,"8,92193574878","0,8695652173",58,"8,8911704515","8,8450225080","8,8911704515","9,0726856960","3,23128","103,00",1000,PN *,nd,nd
