data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"195,5",nd,"19,55","201,1000000000","195,5000000000","202,6000000000","207,0000000000","5,20394","210,00",1000,PN *EJ,nd,nd
03/01/2001,230,"17,6470588235",23,"198,0000000000","191,9000000000","213,1000000000","230,5000000000","21,48916","511,00",1000,PN *EJ,nd,nd
04/01/2001,"227,6","-1,0434782608","22,76","231,0000000000","225,1000000000","234,8000000000","243,0000000000","27,55779","631,00",1000,PN *EJ,nd,nd
05/01/2001,"228,5","0,3954305799","22,85","225,2000000000","225,2000000000","230,0000000000","234,0000000000","14,68377","333,00",1000,PN *EJ,nd,nd
08/01/2001,"226,5","-0,8752735229","22,65","230,0000000000","225,0000000000","228,1000000000","231,0000000000","6,49249","201,00",1000,PN *EJ,nd,nd
09/01/2001,230,"1,5452538631",23,"234,0000000000","228,0000000000","231,1000000000","235,9000000000","34,97649","579,00",1000,PN *EJ,nd,nd
10/01/2001,"225,9","-1,7826086956","22,59","229,0000000000","225,0000000000","227,9000000000","230,0000000000","20,80318","362,00",1000,PN *EJ,nd,nd
11/01/2001,"219,9","-2,6560424966","21,99","226,0000000000","219,0000000000","222,5000000000","229,9000000000","15,02815","404,00",1000,PN *EJ,nd,nd
12/01/2001,218,"-0,8640291041","21,8","222,5000000000","211,0000000000","217,9000000000","227,0000000000","20,21545","522,00",1000,PN *,nd,nd
15/01/2001,"219,6","0,7339449541","21,96","221,9000000000","216,0000000000","219,7000000000","222,9000000000","5,32636","241,00",1000,PN *,nd,nd
16/01/2001,"208,1","-5,2367941712","20,81","220,0000000000","200,1000000000","211,2000000000","221,8000000000","18,10196","538,00",1000,PN *,nd,nd
17/01/2001,211,"1,3935607880","21,1","208,0000000000","207,0000000000","213,3000000000","220,0000000000","19,96241","539,00",1000,PN *,nd,nd
18/01/2001,212,"0,4739336492","21,2","213,9000000000","206,0000000000","211,0000000000","216,9000000000","28,61979","844,00",1000,PN *,nd,nd
19/01/2001,"206,5","-2,5943396226","20,65","219,7000000000","206,0000000000","210,6000000000","221,0000000000","24,65043","707,00",1000,PN *,nd,nd
22/01/2001,"206,6","0,0484261501","20,66","210,0000000000","203,1000000000","205,9000000000","210,0000000000","27,91033","624,00",1000,PN *,nd,nd
23/01/2001,214,"3,5818005808","21,4","211,8000000000","206,5000000000","211,6000000000","214,8000000000","67,88478","1503,00",1000,PN *,nd,nd
24/01/2001,"229,4","7,1962616822","22,94","217,0000000000","214,0000000000","227,2000000000","235,0000000000","114,87206","2555,00",1000,PN *,nd,nd
25/01/2001,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
26/01/2001,"226,8","-1,1333914559","22,68","230,0000000000","225,2000000000","227,7000000000","230,0000000000","58,14715","1267,00",1000,PN *,nd,nd
29/01/2001,"228,9","0,9259259259","22,89","228,0000000000","224,2000000000","228,4000000000","230,3000000000","24,37454","693,00",1000,PN *,nd,nd
30/01/2001,218,"-4,7619047619","21,8","230,4000000000","218,0000000000","223,7000000000","230,4000000000","28,01674","930,00",1000,PN *,nd,nd
31/01/2001,"215,1","-1,3302752293","21,51","220,1000000000","215,1000000000","219,2000000000","222,9000000000","23,11231","795,00",1000,PN *,nd,nd
01/02/2001,"205,5","-4,4630404463","20,55","215,0000000000","202,2000000000","209,8000000000","216,0000000000","31,865","1054,00",1000,PN *,nd,nd
02/02/2001,"200,8","-2,2871046228","20,08","204,0000000000","196,1000000000","202,8000000000","209,8000000000","29,6842","1085,00",1000,PN *,nd,nd
05/02/2001,"196,8","-1,9920318725","19,68","202,0000000000","195,1000000000","197,1000000000","203,9000000000","10,58767","524,00",1000,PN *,nd,nd
06/02/2001,"201,8","2,5406504065","20,18","202,0000000000","200,0000000000","201,3000000000","203,5000000000","19,74158","522,00",1000,PN *,nd,nd
07/02/2001,"197,7","-2,0317145688","19,77","198,0000000000","195,0000000000","196,8000000000","199,8000000000","13,40621","538,00",1000,PN *,nd,nd
08/02/2001,201,"1,6691957511","20,1","201,0000000000","198,5000000000","200,8000000000","205,0000000000","26,90969","707,00",1000,PN *,nd,nd
09/02/2001,"199,1","-0,9452736318","19,91","201,5000000000","198,6000000000","199,7000000000","201,5000000000","18,43409","420,00",1000,PN *,nd,nd
12/02/2001,"191,6","-3,7669512807","19,16","202,0000000000","190,5000000000","194,6000000000","202,0000000000","18,39564","602,00",1000,PN *,nd,nd
13/02/2001,"198,5","3,6012526096","19,85","195,0000000000","191,7000000000","196,9000000000","200,0000000000","17,143","545,00",1000,PN *,nd,nd
14/02/2001,"201,5","1,5113350125","20,15","198,5000000000","194,0000000000","201,0000000000","204,5000000000","21,06719","682,00",1000,PN *,nd,nd
15/02/2001,205,"1,7369727047","20,5","200,0000000000","199,0000000000","204,2000000000","208,9000000000","31,63125","718,00",1000,PN *,nd,nd
16/02/2001,"196,6","-4,0975609756","19,66","204,0000000000","195,0000000000","200,8000000000","205,0000000000","26,1716","816,00",1000,PN *,nd,nd
19/02/2001,"196,3","-0,1525940996","19,63","199,9000000000","196,0000000000","198,4000000000","205,9000000000","28,46448","376,00",1000,PN *,nd,nd
20/02/2001,"185,5","-5,5017829852","18,55","200,0000000000","185,0000000000","190,5000000000","200,9000000000","13,64509","617,00",1000,PN *,nd,nd
21/02/2001,176,"-5,1212938005","17,6","185,1000000000","176,0000000000","181,2000000000","188,0000000000","22,36974","922,00",1000,PN *,nd,nd
22/02/2001,181,"2,8409090909","18,1","179,0000000000","175,1000000000","179,4000000000","182,5000000000","21,21783","669,00",1000,PN *,nd,nd
23/02/2001,"181,5","0,2762430939","18,15","181,0000000000","177,5000000000","180,1000000000","182,0000000000","11,23911","423,00",1000,PN *,nd,nd
28/02/2001,"187,5","3,3057851239","18,75","190,0000000000","185,0000000000","188,2000000000","190,0000000000","12,51967","320,00",1000,PN *,nd,nd
01/03/2001,184,"-1,8666666666","18,4","186,1000000000","183,9000000000","185,9000000000","189,8000000000","22,18881","523,00",1000,PN *,nd,nd
02/03/2001,188,"2,1739130434","18,8","185,7000000000","184,0000000000","188,0000000000","192,9000000000","19,02209","472,00",1000,PN *,nd,nd
05/03/2001,"185,5","-1,3297872340","18,55","191,5000000000","183,0000000000","185,4000000000","193,0000000000","8,95159","417,00",1000,PN *,nd,nd
06/03/2001,"180,5","-2,6954177897","18,05","188,3000000000","179,1000000000","184,5000000000","190,5000000000","13,8516","628,00",1000,PN *,nd,nd
07/03/2001,"172,4","-4,4875346260","17,24","183,9000000000","170,3000000000","173,5000000000","183,9000000000","41,18179","1638,00",1000,PN *,nd,nd
08/03/2001,"164,4","-4,6403712296","16,44","174,5000000000","164,0000000000","167,1000000000","175,0000000000","71,45408","2368,00",1000,PN *,nd,nd
09/03/2001,164,"-0,2433090024","16,4","164,9000000000","162,3000000000","164,5000000000","168,2000000000","50,41023","1669,00",1000,PN *,nd,nd
12/03/2001,"156,5","-4,5731707317","15,65","163,5000000000","156,5000000000","160,5000000000","164,0000000000","26,12255","914,00",1000,PN *,nd,nd
13/03/2001,"160,7","2,6837060702","16,07","159,2000000000","156,9000000000","158,7000000000","161,0000000000","23,48381","900,00",1000,PN *,nd,nd
14/03/2001,"152,1","-5,3515868077","15,21","156,6000000000","150,9000000000","153,4000000000","157,0000000000","33,20118","1194,00",1000,PN *,nd,nd
15/03/2001,"154,1","1,3149243918","15,41","155,0000000000","151,5000000000","154,3000000000","157,0000000000","26,3971","1027,00",1000,PN *,nd,nd
16/03/2001,"155,2","0,7138221933","15,52","153,5000000000","153,0000000000","155,2000000000","157,9000000000","12,87182","629,00",1000,PN *,nd,nd
19/03/2001,"148,2","-4,5103092783","14,82","158,1000000000","147,5000000000","150,0000000000","158,1000000000","15,06555","733,00",1000,PN *,nd,nd
20/03/2001,"146,5","-1,1470985155","14,65","151,0000000000","146,0000000000","149,9000000000","153,0000000000","13,69471","582,00",1000,PN *,nd,nd
21/03/2001,147,"0,3412969283","14,7","146,7000000000","145,0000000000","147,5000000000","151,9000000000","11,74601","566,00",1000,PN *,nd,nd
22/03/2001,134,"-8,8435374149","13,4","142,2000000000","130,5000000000","134,2000000000","144,5000000000","34,10195","1187,00",1000,PN *,nd,nd
23/03/2001,"133,3","-0,5223880597","13,33","138,0000000000","129,5000000000","132,8000000000","138,0000000000","22,87531","971,00",1000,PN *,nd,nd
26/03/2001,"137,5","3,1507876969","13,75","137,1000000000","132,1000000000","135,6000000000","138,0000000000","19,93492","887,00",1000,PN *,nd,nd
27/03/2001,"139,3","1,3090909090","13,93","137,5000000000","136,5000000000","139,6000000000","142,0000000000","18,32765","653,00",1000,PN *,nd,nd
28/03/2001,"135,1","-3,0150753768","13,51","138,4000000000","134,2000000000","135,7000000000","139,0000000000","10,55071","487,00",1000,PN *,nd,nd
29/03/2001,130,"-3,7749814951",13,"135,5000000000","128,5000000000","131,5000000000","136,3000000000","16,6852","641,00",1000,PN *,nd,nd
30/03/2001,"126,8","-2,4615384615","12,68","130,0000000000","123,5000000000","125,6000000000","130,0000000000","31,65514","862,00",1000,PN *,nd,nd
02/04/2001,124,"-2,2082018927","12,4","126,0000000000","123,5000000000","125,2000000000","132,0000000000","12,87357","509,00",1000,PN *,nd,nd
03/04/2001,124,"0,0000000000","12,4","123,8000000000","120,5000000000","122,9000000000","124,9000000000","21,11023","788,00",1000,PN *,nd,nd
04/04/2001,"126,4","1,9354838709","12,64","129,9000000000","124,5000000000","127,3000000000","129,9000000000","26,02242","806,00",1000,PN *,nd,nd
05/04/2001,"137,5","8,7816455696","13,75","129,6000000000","128,5000000000","133,5000000000","138,9000000000","23,58656","778,00",1000,PN *,nd,nd
06/04/2001,140,"1,8181818181",14,"135,0000000000","134,0000000000","138,1000000000","142,0000000000","20,63669","775,00",1000,PN *,nd,nd
09/04/2001,"143,5","2,5000000000","14,35","140,0000000000","139,9000000000","142,8000000000","144,9000000000","17,31672","718,00",1000,PN *,nd,nd
10/04/2001,"148,5","3,4843205574","14,85","145,0000000000","143,5000000000","148,8000000000","151,0000000000","26,75641","888,00",1000,PN *,nd,nd
11/04/2001,145,"-2,3569023569","14,5","149,9000000000","141,1000000000","146,4000000000","151,8000000000","23,20955","790,00",1000,PN *ED,nd,nd
12/04/2001,154,"6,2068965517","15,4","144,0000000000","140,1000000000","147,0000000000","154,0000000000","23,8567","599,00",1000,PN *ED,nd,nd
16/04/2001,143,"-7,1428571428","14,3","148,9000000000","142,0000000000","145,5000000000","150,0000000000","20,73894","629,00",1000,PN *ED,nd,nd
17/04/2001,"139,5","-2,4475524475","13,95","142,0000000000","137,4000000000","140,8000000000","144,6000000000","21,93533","751,00",1000,PN *ED,nd,nd
18/04/2001,"142,9","2,4372759856","14,29","140,5000000000","138,0000000000","144,0000000000","147,5000000000","25,12292","1089,00",1000,PN *ED,nd,nd
