data,fech_ajustado,variacao(pct),fech_historico,abertura_ajustado,min_ajustado,medio_ajustado,max_ajustado,vol_(mm_r$),negocios,fator,tipo,quant_em_aluguel,vol_em_aluguel(mm_r$)
02/01/2001,"1,79915226756",nd,"17,55","1,7745484754","1,7745484754","1,8186302689","1,8452843766","0,24483","22,00",1000,ON *ANT,nd,nd
03/01/2001,"1,94369954376","8,0341880343","18,96","1,7940264772","1,7940264772","1,8432340606","1,9436995433","1,01658","50,00",1000,ON *ANT,nd,nd
04/01/2001,"1,94369954376","0,0000000000","18,96","1,9990580746","1,9436995433","1,9990580746","2,0400643941","0,5304","45,00",1000,ON *ANT,nd,nd
05/01/2001,"1,94369954376","0,0000000000","18,96","1,9478001753","1,9272970155","1,9426743853","1,9580517551","0,17248","25,00",1000,ON *ANT,nd,nd
08/01/2001,"1,99290712715","2,5316455698","19,44","1,8985925919","1,8985925919","1,9601020711","1,9929071267","0,27737","35,00",1000,ON *ANT,nd,nd
09/01/2001,"2,02981281469","1,8518518518","19,8","1,9929071267","1,9929071267","2,0308379722","2,0605675538","0,66568","54,00",1000,ON *ANT,nd,nd
10/01/2001,"2,08107071405","2,5252525252","20,3","2,0298128142","2,0195612343","2,0533914479","2,0810707136","0,93969","74,00",1000,ON *ANT,nd,nd
11/01/2001,"2,20306451453","5,8620689655","21,49","2,0605675538","2,0595423958","2,1477059827","2,2030645140","0,725","60,00",1000,ON *ANT,nd,nd
12/01/2001,"2,17846072283","-1,1167985112","21,25","2,2543224134","2,1528317727","2,1856368282","2,2553475714","0,78707","62,00",1000,ON *ANT,nd,nd
15/01/2001,"2,15283177315","-1,1764705882",21,"2,2235676738","2,1528317727","2,1794858803","2,2235676738","0,11268","15,00",1000,ON *ANT,nd,nd
16/01/2001,"2,07081913418","-3,8095238091","20,2","2,1733349324","2,0503159740","2,0810707136","2,1733349324","0,48125","46,00",1000,ON *ANT,nd,nd
17/01/2001,"2,13232861341","2,9702970295","20,8","2,0810707136","2,0810707136","2,1200267171","2,1425801928","0,25237","26,00",1000,ON *ANT,nd,nd
