ticker,nome_da_empresa,data_da_analise,patrimonio_liquido,quant_on_pn,ebit12_meses,preco_de_fechamento,ativo_total,fator_cotacao,retorno12_meses
ABEV3,AMBEV S/A,29/12/2022,86436867000,15753833000,18412913000,"14,52",135466722000,1,"-0,875125319484"
ALPA4,ALPARGATAS,29/12/2022,5512355000,683062222,23403000,"15,08",8127527000,1,"-59,0849419223"
AMER3,AMERICANAS,29/12/2022,14705555000,909774507,1165519000,"9,65",47084128000,1,"-68,8323426225"
ARZZ3,AREZZO CO,29/12/2022,2741961000,110186077,493801000,"78,25",5131922000,1,"4,44070390573"
ASAI3,ASSAI,29/12/2022,3980000000,1350256000,2896000000,"19,47",39089000000,1,"51,7402976037"
AZUL4,AZUL,29/12/2022,-19726752000,1264588466,1747430000,"11,01",17402236000,1,"-54,802955665"
B3SA3,B3,29/12/2022,20559657000,6099000000,5501567000,"13,21",45806400000,1,"22,9974824325"
BBAS3,BRASIL,29/12/2022,168133312000,2865417020,36731922000,"34,73","2,089927595E+12",1,"34,9241001553"
BBDC3,BRADESCO,29/12/2022,163046282000,10658488000,18568353000,"13,47","1,828731521E+12",1,"-6,22235628048"
BBDC4,BRADESCO,29/12/2022,163046282000,10658488000,18568353000,"15,15","1,828731521E+12",1,"-11,2941604298"
BBSE3,BBSEGURIDADE,29/12/2022,10047334000,2000000000,3844609000,"33,71",14397844000,1,"74,8777903249"
BEEF3,MINERVA,29/12/2022,1056831000,607283407,2273087000,"12,96",20221388000,1,"27,3982810403"
BPAC11,BTGP BANCO,29/12/2022,44207586000,11506119928,5923406000,"23,94",367168994000,1,"17,4965284608"
BPAN4,BANCO PAN,29/12/2022,7213752000,1273192392,659390000,"6,07",56547200000,1,"-40,5972506312"
BRAP4,BRADESPAR,29/12/2022,7434838000,393097000,-52026000,"29,72",8017832000,1,"34,2864908988"
BRFS3,BRF SA,29/12/2022,10857054000,1078116849,210368000,"8,28",57742806000,1,"-63,2326820604"
BRML3,BR MALLS PAR,29/12/2022,11392188000,828274000,842056000,"8,3",18005279000,1,"0,447104163065"
CASH3,MELIUZ,29/12/2022,790190000,865180443,-155632000,"1,18",1247034000,1,"-63,5802469137"
CCRO3,CCR SA,29/12/2022,12454743000,2020000000,5238979000,"10,82",50784482000,1,"-3,88762472256"
CIEL3,CIELO,29/12/2022,14074509000,2716815061,2998070000,"5,24",100074287000,1,"142,093499281"
CMIG4,CEMIG,29/12/2022,22797430000,2201371000,5102422000,"11,14",54085360000,1,"24,939198089"
CMIN3,CSN MINERACA,29/12/2022,12089845000,5485338838,3711673000,"4,08",28099792000,1,"-25,1649523665"
COGN3,COGNA ON,29/12/2022,13289154000,1876606210,405666000,"2,12",25825690000,1,"-13,8211382116"
CPFE3,CPFL ENERGIA,29/12/2022,19185907000,1152254440,10594153000,"33,2",72470214000,1,"35,9339466091"
CRFB3,CARREFOUR BR,29/12/2022,21665000000,2104765615,4955000000,"14,78",87919000000,1,"-1,15814622677"
CSAN3,COSAN,29/12/2022,47493020000,1874070932,8402310000,"17,12",131954488000,1,"-19,2647271908"
CSNA3,SID NACIONAL,29/12/2022,21692851000,1326093947,4426482000,"14,55",86595892000,1,"-31,7327076191"
CVCB3,CVC BRASIL,29/12/2022,190218000,277247309,-57044000,"4,49",3732732000,1,"-66,5424739194"
CYRE3,CYRELA REALT,29/12/2022,7870905000,399743000,699112000,"13,07",16321140000,1,"-13,9172604496"
DXCO3,DEXCO,29/12/2022,6035184000,837059000,1348349000,"6,78",15625433000,1,"-47,8275319945"
ECOR3,ECORODOVIAS,29/12/2022,2631712000,696334000,1826187000,"4,45",19277195000,1,"-39,0921204009"
EGIE3,ENGIE BRASIL,29/12/2022,9248206000,815927740,5193568000,"37,88",39605625000,1,"6,09383763762"
ELET3,ELETROBRAS,29/12/2022,111017341000,2307099000,6274467000,"42,12",267830877000,1,"28,431953972"
EMBR3,EMBRAER,29/12/2022,14082568000,740465000,-654119000,"14,31",53129321000,1,"-42,3448831588"
ENBR3,ENERGIAS BR,29/12/2022,12366216000,581165000,3220950000,"20,79",37252581000,1,"9,59665155438"
ENEV3,ENEVA,29/12/2022,13933206000,1584572000,1685254000,"11,93",41947742000,1,"-15,6890459365"
ENGI11,ENERGISA,29/12/2022,14217278000,2039086540,5754986000,"44,21",61964005000,1,"7,55150048098"
EQTL3,EQUATORIAL,29/12/2022,20867323000,1129315455,5881363000,"27,02",92834649000,1,"22,5639628487"
EZTC3,EZTEC,29/12/2022,4567735000,220989103,108518000,"13,43",5601273000,1,"-31,4095945782"
